P_inst (ln_comp_coarse=3e-07) X,P_inst (ln_comp_coarse=3e-07) Y
1.030315150018274e-06,0.0002103449593704287
1.030316811239934e-06,0.0002500431029301694
1.03031813310482e-06,0.0002807281588952419
1.03031952775424e-06,0.0003067389575603832
1.030320673487358e-06,0.0003252669656340665
1.030322933497578e-06,0.0003563320912910722
1.030324524991649e-06,0.0003735931924966169
1.030326004529839e-06,0.0003868692592693011
1.030327584552338e-06,0.0003981411833416855
1.030330744597336e-06,0.0004126178753960871
1.030335059618889e-06,0.0004183994315046448
1.030340467502176e-06,0.0004130862572266329
1.030345886785032e-06,0.0004130278042886413
1.030351930426345e-06,0.0004423649383763571
1.030356640125727e-06,0.0004640007813633592
1.030359938284445e-06,0.0004558896657031227
1.030363602933131e-06,0.0004465698524167757
1.03036513208614e-06,0.000454722811639826
1.030366263013726e-06,0.0004551456536339369
1.030367392788929e-06,0.0004420811073434296
1.030368618630079e-06,0.0004167358947782514
1.030369506018209e-06,0.0003985649728785594
1.030370598976229e-06,0.0003764602193539086
1.030371368565862e-06,0.0003605457716645307
1.030372192423855e-06,0.0003447824688282502
1.030372947182324e-06,0.000333281402580225
1.030373870891633e-06,0.0003222755183642362
1.030374906205018e-06,0.0003124310075353317
1.030375741564295e-06,0.0003059722080390303
1.030376704114271e-06,0.0002997869387097609
1.030378053767306e-06,0.0002926043302234136
1.030380216273811e-06,0.0002830218512273347
1.030382517230103e-06,0.000274150747765923
1.030385208674214e-06,0.0002647501402132182
1.030388495427758e-06,0.0002542148164647838
1.030393538876102e-06,0.0002395437541725263
1.03040243288669e-06,0.000217159666693366
1.030420220907866e-06,0.000180858950621477
1.030433717770914e-06,0.0001574053588398695
1.030447121387048e-06,0.0001365975314785102
1.030460467016487e-06,0.000118350602718375
1.030479021757095e-06,9.712099543505889e-05
1.0305e-06,7.863909790109267e-05
1.030510517583215e-06,7.166235761212799e-05
1.030522988561727e-06,6.449011096921433e-05
1.03053493226941e-06,5.896629324564151e-05
1.030558819684775e-06,5.107275319051011e-05
1.030606594515505e-06,4.33906068115695e-05
1.030666937453971e-06,4.06148129269413e-05
1.030731496291779e-06,4.003816675633325e-05
1.030802007002893e-06,3.993859994682168e-05
1.030885266836023e-06,3.992425290227172e-05
1.030996235731206e-06,3.992260207232947e-05
1.031152294911152e-06,3.992308647662768e-05
1.031399708624037e-06,3.992468804940126e-05
1.031851642165727e-06,3.992755441362568e-05
1.032755509249106e-06,3.99319026904598e-05
1.034563243415866e-06,3.993698681818482e-05
1.037281621707933e-06,3.993997882237709e-05
1.04e-06,3.994078363551834e-05
1.040070694901925e-06,3.994169617915429e-05
1.040155731379166e-06,4.034088903686737e-05
1.040198249617787e-06,4.238308037409439e-05
1.040212560495729e-06,4.378286070504256e-05
1.04022381673804e-06,4.502905307048986e-05
1.040238679875235e-06,4.620694482786468e-05
1.040249928921445e-06,4.647412443092871e-05
1.040259237782979e-06,4.856342200616846e-05
1.040267291203199e-06,5.778787979489263e-05
1.040276223876445e-06,7.5282869374277e-05
1.040282928129224e-06,8.539601334602094e-05
1.040290752371005e-06,0.0001000450815678923
1.040293328931953e-06,0.0001229752115676697
1.040295289149525e-06,0.0001555859751740892
1.040296900091513e-06,0.000192014897718115
1.040298870112649e-06,0.0002422859203449736
1.040300393733178e-06,0.0002787639246128741
1.040303046119997e-06,0.0003247588825519552
1.040305348607527e-06,0.0003418368566322588
1.040306338874719e-06,0.0003457927873106932
1.040307511931262e-06,0.0003557434554381905
1.040308469079057e-06,0.0003690381142824826
1.040309367817437e-06,0.0003822487864096742
1.040310400655708e-06,0.0003957077115376591
1.040311451853282e-06,0.000406639551360364
1.040312845163176e-06,0.0004166012131858854
1.040314815173898e-06,0.0004226390363680241
1.040318670123361e-06,0.0004131645657993245
1.040324341331823e-06,0.0003677896121464871
1.040329380699556e-06,0.0003119322103719806
1.040334607506837e-06,0.0002469796115432161
1.040340232907287e-06,0.0001772933419945865
1.040344607689437e-06,0.0001398127906085171
1.040349137025338e-06,0.0001208651703274382
1.040353858970523e-06,0.0001128157989778147
1.040359688928315e-06,0.0001092032038256183
1.040365314810837e-06,0.0001081355713623698
1.040372896177696e-06,0.0001076767835600773
1.040382880726511e-06,0.0001074124641199126
1.04039999469931e-06,0.000106994191193814
1.040428607488123e-06,0.000106268804190409
1.040464303744062e-06,0.0001053762114154502
1.0405e-06,0.0001044884035246018
1.040509319746814e-06,0.0001042546820362812
1.04052579309987e-06,0.0001038469684432169
1.040540838444968e-06,0.0001034731580144996
1.040570929135165e-06,0.000102726610318331
1.040631110515559e-06,0.0001012416713342761
1.040751473276346e-06,9.828764918897598e-05
1.040992198797921e-06,9.245944238503041e-05
1.041275553877083e-06,8.587309095541788e-05
1.041417231416665e-06,8.324517756472521e-05
1.041496749816658e-06,8.253936423415158e-05
1.041573219297484e-06,8.284376838178321e-05
1.041667194760297e-06,8.438729945303565e-05
1.041741528202548e-06,8.550988241686078e-05
1.041817371593608e-06,0.0001121858256918594
1.041834347889189e-06,0.0001336471130582142
1.041841455028107e-06,0.0001415169636617913
1.041854969839251e-06,0.0001433840291750484
1.041865502051442e-06,0.0001342365573590194
1.041872025600904e-06,0.000130592420454306
1.041874874335685e-06,0.0001305116559148019
1.041877324188416e-06,0.0001309321255860416
1.041880262168422e-06,0.0001308281806985857
1.04188270203732e-06,0.0001294305027506199
1.041885331472707e-06,0.0001262864903094857
1.041888309906173e-06,0.0001208608305009546
1.041891136796186e-06,0.0001147688132012477
1.041893416830057e-06,0.0001104889852695364
1.041895161476865e-06,0.0001082076757548469
1.041897538680347e-06,0.000105879693002841
1.041899686961179e-06,0.0001039632385490304
1.041901619562721e-06,0.0001022631495753262
1.041903927442725e-06,0.0001002345588003238
1.041908154204602e-06,9.644066889383188e-05
1.041914632810981e-06,8.974597908679606e-05
1.041921935860237e-06,8.100244740899166e-05
1.041928878949975e-06,7.298896356943531e-05
1.04193648623974e-06,6.576987560573233e-05
1.041944108279844e-06,6.016263755644523e-05
1.041957426749144e-06,5.35011149720444e-05
1.041976236162278e-06,4.84442236632279e-05
1.042000416314954e-06,4.537483621987307e-05
1.042034817265617e-06,4.321654338892027e-05
1.042087196025001e-06,4.149656332683114e-05
1.042159783145404e-06,4.036121412970628e-05
1.042244764447082e-06,3.98610028403464e-05
1.042351981862743e-06,3.974887870393087e-05
1.042461103712732e-06,3.97564703341491e-05
1.042546898062731e-06,3.977446163727055e-05
1.042651376373097e-06,3.979984165192449e-05
1.042818604891293e-06,3.984175969093658e-05
1.04313704431046e-06,3.991676568358925e-05
1.043653545425954e-06,4.002015174286514e-05
1.044686547656943e-06,4.017216833482855e-05
1.046752552118921e-06,4.034033311517839e-05
1.05e-06,4.043326337584046e-05
1.050076991609381e-06,4.043459713864207e-05
1.050167005346966e-06,4.070937778395109e-05
1.050212012215759e-06,4.274023046131366e-05
1.050226352989031e-06,4.417084404848541e-05
1.050237990933891e-06,4.551710277434634e-05
1.050253771893002e-06,4.685843504019606e-05
1.050265073236652e-06,4.723528222901206e-05
1.050275165288226e-06,4.989718430599238e-05
1.05028174546867e-06,5.734468571738595e-05
1.05028307381174e-06,5.960085370844973e-05
1.050284592553e-06,6.24176133369954e-05
1.050285816746963e-06,6.48231615436928e-05
1.050288265134888e-06,6.972622035631749e-05
1.05029174546867e-06,7.60550611133612e-05
1.050292126473014e-06,7.664904639449437e-05
1.050292836012353e-06,7.770169767446137e-05
1.050293593314171e-06,7.872436762598468e-05
1.050295107917806e-06,8.042189643162864e-05
1.050298137125075e-06,8.228604272160373e-05
1.050304195539615e-06,8.575788325060381e-05
1.050306948671856e-06,0.0001023766772786766
1.050308755465077e-06,0.0001236696486462018
1.050310321441441e-06,0.0001457363315623539
1.050311885614816e-06,0.0001665907363953442
1.050313832582715e-06,0.0001896443461650155
1.050315503484796e-06,0.0002200128597807365
1.050317268218405e-06,0.0002632986504157526
1.050319030426615e-06,0.0003002054472020462
1.050320271435644e-06,0.0003212816084959516
1.05032166427895e-06,0.0003423305710320561
1.050322817933827e-06,0.0003575267711457499
1.050324203931733e-06,0.0003732689214629935
1.050325587864488e-06,0.0003864818253140003
1.050327406944552e-06,0.0004003220766921989
1.050329859615653e-06,0.0004130799000758632
1.050334444568649e-06,0.0004222709609044165
1.050339846091787e-06,0.0004179800424145349
1.050345321995141e-06,0.0004158481992530059
1.050351213471974e-06,0.0004408090500000489
1.050354534625188e-06,0.0004616626546622189
1.050358086714779e-06,0.0004673015863769873
1.050361000901132e-06,0.0004551809949763532
1.050362903004832e-06,0.0004491467634976169
1.050364256245846e-06,0.0004535926948320386
1.050365861213535e-06,0.0004618188712127368
