/r"out_DTC X,/out_DTC Y,/in_DTC X,/in_DTC Y,/V_ramp X,/V_ramp Y,/V_n X,/V_n Y,D X,D LogicBus
8.302312191114338e-07,-3.974068500430945e-08,8.301416317736612e-07,0.7884100979453526,8.302312191114338e-07,0.5125358638242785,8.302312191114338e-07,0.6311862030662584,  ,  
8.302407492089853e-07,-6.64276863507854e-09,8.301864934207656e-07,0.68971447431574,8.302407492089853e-07,0.512536822280013,8.302407492089853e-07,0.6311827139827855,  ,  
8.302489697091513e-07,2.042922092839382e-08,8.302021080369416e-07,0.655362318728501,8.302489697091513e-07,0.5125381038314194,8.302489697091513e-07,0.6311797316657722,  ,  
8.302561970338555e-07,1.03857604328571e-08,8.302215431666153e-07,0.6126050334462708,8.302561970338555e-07,0.5125395198192252,8.302561970338555e-07,0.6311771304046262,  ,  
8.302651348970418e-07,1.610641244567627e-08,8.302347698177962e-07,0.583506400848426,8.302651348970418e-07,0.5125416854799508,8.302651348970418e-07,0.631173940126615,  ,  
8.302830106234145e-07,1.948851184048514e-07,8.302486398580686e-07,0.5529923122491153,8.302830106234145e-07,0.5125501049061367,8.302830106234145e-07,0.6311676469722922,  ,  
8.302883968979753e-07,1.986104182280186e-08,8.302604872099814e-07,0.5269281380408473,8.302883968979753e-07,0.512552931980797,8.302883968979753e-07,0.6311657734407672,  ,  
8.302932354818696e-07,-1.543838325445487e-06,8.302704187312686e-07,0.5050787912090444,8.302932354818696e-07,0.5125504596178794,8.302932354818696e-07,0.6311641001006706,  ,  
8.302967820314341e-07,-4.664153543035408e-06,8.302803431234853e-07,0.4832451283323027,8.302967820314341e-07,0.5125396467353639,8.302967820314341e-07,0.6311628783466979,  ,  
8.303007494677368e-07,-1.127561415490686e-05,8.302919825051436e-07,0.4576384886840351,8.303007494677368e-07,0.5125089280018533,8.303007494677368e-07,0.6311615167891701,  ,  
8.303012479412115e-07,-1.270435442902428e-05,8.303055332609259e-07,0.4278268259629219,8.303012479412115e-07,0.5125034530488545,8.303012479412115e-07,0.6311613460927079,  ,  
8.303013088881193e-07,-1.289186916880072e-05,8.303223431592412e-07,0.3908450496693175,8.303013088881193e-07,0.512502752530453,8.303013088881193e-07,0.6311613252275334,  ,  
8.303013606927259e-07,-1.304807779036816e-05,8.303267429889417e-07,0.3811654243282062,8.303013606927259e-07,0.5125022299315867,8.303013606927259e-07,0.6311613074976551,  ,  
8.303014023724033e-07,-1.317860056732486e-05,8.303313017245199e-07,0.3711362060562859,8.303014023724033e-07,0.5125017430233586,8.303014023724033e-07,0.6311612932302129,  ,  
8.303014857317583e-07,-1.344140323862709e-05,8.303353117986264e-07,0.3623140430219203,8.303014857317583e-07,0.5125007585877179,8.303014857317583e-07,0.6311612646971011,  ,  
8.303016524504683e-07,-1.397347419424717e-05,8.303353972569093e-07,0.3621260347994706,8.303016524504683e-07,0.5124987455429617,8.303016524504683e-07,0.6311612076379906,  ,  
8.303018074944781e-07,-1.447410073077417e-05,8.303354697343311e-07,0.3619665844714981,8.303018074944781e-07,0.5124968230739853,8.303018074944781e-07,0.6311611545831116,  ,  
8.303019616212742e-07,-1.498473336131266e-05,8.303355078174734e-07,0.3618828015585592,8.303019616212742e-07,0.5124948590624929,8.303019616212742e-07,0.6311611018499842,  ,  
