"P_inst (b0=1,b1=0,b2=1,b3=0) X","P_inst (b0=1,b1=0,b2=1,b3=0) Y"
1.008679857038856e-06,6.272708435104276e-06
1.01e-06,6.273870533942594e-06
1.010051144452552e-06,6.274312042850085e-06
1.0101203478031e-06,6.284504498200446e-06
1.010154290610791e-06,6.382456264169299e-06
1.010222176226174e-06,1.02182842078817e-05
1.010240532550161e-06,1.337437305573463e-05
1.010256122454649e-06,1.616205016171631e-05
1.010272945173678e-06,1.810537902095617e-05
1.010293483039548e-06,2.117039910863234e-05
1.010301275475301e-06,3.363823176716097e-05
1.010303775475301e-06,4.108068405063945e-05
1.010305778886407e-06,5.721914429644784e-05
1.010307253563613e-06,8.964833559789495e-05
1.01030865190084e-06,0.0001195347828834077
1.01030971481166e-06,0.0001324386936927174
1.010311275475301e-06,0.0001421878273465235
1.010311595265164e-06,0.0001452905728386898
1.010312114830663e-06,0.0001560720394996133
1.010312600227778e-06,0.000167498668896737
1.010313175810258e-06,0.0001766559087111142
1.010313959960961e-06,0.0001773437118071627
1.010314691471298e-06,0.0001680660565530209
1.010315456568815e-06,0.000156643408329578
1.010316195885702e-06,0.0001572204316450662
1.010317074887309e-06,0.0001683733260996041
1.0103178043762e-06,0.0001734292079315289
1.010318735131267e-06,0.0001698551496850244
1.010319653131414e-06,0.000157944054257753
1.010320609875228e-06,0.000149575576650432
1.01032143924731e-06,0.0001592427695996567
1.01032241472989e-06,0.0001792827001871899
1.010323143171712e-06,0.0001870807363871589
1.010324010292011e-06,0.0001856076246186012
1.010324829697503e-06,0.0001804603024208752
1.010325620129545e-06,0.0001869494813215825
1.01032643312134e-06,0.0002100094757263923
1.010327198484403e-06,0.00023265276321292
1.010327999513367e-06,0.0002500866918183037
1.010328942034684e-06,0.0002621762899206606
1.01032987981732e-06,0.0002716435465443112
1.010330764232142e-06,0.0002955789011250206
1.010331618007434e-06,0.0003346270485861171
1.010332354327021e-06,0.000367502052587493
1.010332987553336e-06,0.0003872314465227343
1.010333805628946e-06,0.0004008961016863414
1.010334477417154e-06,0.0004060008922478397
1.010335136308462e-06,0.0004087920483363618
1.010335888358374e-06,0.0004116329765535758
1.010336765228956e-06,0.0004164698651274015
1.010337793831844e-06,0.0004253205410817027
1.010339072369193e-06,0.0004375689608932908
1.010340268681989e-06,0.000446439914452302
1.010341332945685e-06,0.0004514827283418555
1.010342487283896e-06,0.0004543685069287105
1.010343932558561e-06,0.0004551933314268263
1.010345948066167e-06,0.0004531232009623429
1.010348836256542e-06,0.0004470381939483876
1.010352662583501e-06,0.0004371924763865652
1.010357663300559e-06,0.0004240183992846968
1.010365034954551e-06,0.0004067452031779146
1.010372139359008e-06,0.0004009073985048241
1.010380578281848e-06,0.0004288898994416089
1.010386354213008e-06,0.0004722842846487236
1.010391161311079e-06,0.000504996648422057
1.010396143583649e-06,0.0005126291744655037
1.010400944638369e-06,0.0004963504956842421
1.010405445222706e-06,0.0004807898227121665
1.010407835430815e-06,0.0004841653360017365
1.010410592277022e-06,0.0004848694359146251
1.010412586740197e-06,0.0004647882748077161
1.010413960454719e-06,0.0004446553764211889
1.010415350471259e-06,0.0004273034252122461
1.010416937104792e-06,0.0004064797686589069
1.010418600523578e-06,0.000381170533181833
1.010419627967363e-06,0.0003650858375013661
1.010420715417647e-06,0.0003495765513098802
