delay (Vbp=0) X,delay (Vbp=0) Y,delay (Vbp=0.55) X,delay (Vbp=0.55) Y,delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y,delay (Vbp=2) X,delay (Vbp=2) Y
1.88e-06,6.739391715866938e-10,1.88e-06,1.069596181430171e-09,1.88e-06,1.451210896736511e-09,1.88e-06,1.663792713656402e-09,1.88e-06,1.882430201676513e-09
1.9e-06,6.85975002161193e-10,1.9e-06,1.086205283902577e-09,1.9e-06,1.470836151280766e-09,1.9e-06,1.685029962055751e-09,1.9e-06,1.905337756741659e-09
1.92e-06,6.985966493387945e-10,1.92e-06,1.102085577434945e-09,1.92e-06,1.490957588641962e-09,1.92e-06,1.706448710930284e-09,1.92e-06,1.928265423676759e-09
1.94e-06,7.108397066485334e-10,1.94e-06,1.118038700720444e-09,1.94e-06,1.509367863774515e-09,1.94e-06,1.727589295480622e-09,1.94e-06,1.951256013365752e-09
1.96e-06,7.229889668941e-10,1.96e-06,1.134472180576483e-09,1.96e-06,1.529125251384408e-09,1.96e-06,1.749016964508865e-09,1.96e-06,1.974525603218291e-09
1.98e-06,7.350148931469456e-10,1.98e-06,1.150672536440835e-09,1.98e-06,1.549066792976797e-09,1.98e-06,1.770008596631255e-09,1.98e-06,1.996171530868819e-09
2e-06,7.474824201030487e-10,2e-06,1.166806610191773e-09,2e-06,1.56828363267597e-09,2e-06,1.791642281352176e-09,2e-06,2.020705091170983e-09
2.02e-06,7.59826884524148e-10,2.02e-06,1.182653913243542e-09,2.02e-06,1.587484493642917e-09,2.02e-06,1.812790587351108e-09,2.02e-06,2.042532743496674e-09
2.04e-06,7.719219912478885e-10,2.04e-06,1.199366793590058e-09,2.04e-06,1.607358861829101e-09,2.04e-06,1.834366766051969e-09,2.04e-06,2.067415742141163e-09
2.06e-06,7.843744025663746e-10,2.06e-06,1.215340839574569e-09,2.06e-06,1.62720510975738e-09,2.06e-06,1.855653630412179e-09,2.06e-06,2.090101763648207e-09
2.08e-06,7.968401550360617e-10,2.08e-06,1.231676837974575e-09,2.08e-06,1.64678144107322e-09,2.08e-06,1.876474421302931e-09,2.08e-06,2.11240623794519e-09
2.1e-06,8.090260501904245e-10,2.1e-06,1.247766546109093e-09,2.1e-06,1.666420440138027e-09,2.1e-06,1.898589903158993e-09,2.1e-06,2.135372572274694e-09
2.12e-06,8.21660217939169e-10,2.12e-06,1.264183242826998e-09,2.12e-06,1.685985840769021e-09,2.12e-06,1.920355972615209e-09,2.12e-06,2.15989886254753e-09
2.14e-06,8.340337329652609e-10,2.14e-06,1.280153910572107e-09,2.14e-06,1.705960901144112e-09,2.14e-06,1.941694498595046e-09,2.14e-06,2.182490431906976e-09
2.16e-06,8.467923366938227e-10,2.16e-06,1.29668767209776e-09,2.16e-06,1.725614597239385e-09,2.16e-06,1.96335385798094e-09,2.16e-06,2.205873760497438e-09
2.18e-06,8.589032482042885e-10,2.18e-06,1.31254907562134e-09,2.18e-06,1.745152339771162e-09,2.18e-06,1.98472175453282e-09,2.18e-06,2.229243425028565e-09
2.2e-06,8.716119598364714e-10,2.2e-06,1.329465021104532e-09,2.2e-06,1.764542349261268e-09,2.2e-06,2.006401614510648e-09,2.2e-06,2.252862607575013e-09
2.22e-06,8.839919519207097e-10,2.22e-06,1.346143819839147e-09,2.22e-06,1.784723395413585e-09,2.22e-06,2.027424115378427e-09,2.22e-06,2.276421178668122e-09
