"delay (b0=0,b1=0,b2=0,b3=0) X","delay (b0=0,b1=0,b2=0,b3=0) Y","delay (b0=0,b1=0,b2=0,b3=1) X","delay (b0=0,b1=0,b2=0,b3=1) Y","delay (b0=0,b1=0,b2=1,b3=0) X","delay (b0=0,b1=0,b2=1,b3=0) Y","delay (b0=0,b1=0,b2=1,b3=1) X","delay (b0=0,b1=0,b2=1,b3=1) Y","delay (b0=0,b1=1,b2=0,b3=0) X","delay (b0=0,b1=1,b2=0,b3=0) Y","delay (b0=0,b1=1,b2=0,b3=1) X","delay (b0=0,b1=1,b2=0,b3=1) Y","delay (b0=0,b1=1,b2=1,b3=0) X","delay (b0=0,b1=1,b2=1,b3=0) Y","delay (b0=0,b1=1,b2=1,b3=1) X","delay (b0=0,b1=1,b2=1,b3=1) Y","delay (b0=1,b1=0,b2=0,b3=0) X","delay (b0=1,b1=0,b2=0,b3=0) Y","delay (b0=1,b1=0,b2=0,b3=1) X","delay (b0=1,b1=0,b2=0,b3=1) Y","delay (b0=1,b1=0,b2=1,b3=0) X","delay (b0=1,b1=0,b2=1,b3=0) Y","delay (b0=1,b1=0,b2=1,b3=1) X","delay (b0=1,b1=0,b2=1,b3=1) Y","delay (b0=1,b1=1,b2=0,b3=0) X","delay (b0=1,b1=1,b2=0,b3=0) Y","delay (b0=1,b1=1,b2=0,b3=1) X","delay (b0=1,b1=1,b2=0,b3=1) Y","delay (b0=1,b1=1,b2=1,b3=0) X","delay (b0=1,b1=1,b2=1,b3=0) Y","delay (b0=1,b1=1,b2=1,b3=1) X","delay (b0=1,b1=1,b2=1,b3=1) Y"
1.4e-06,8.539241529916099e-10,1.4e-06,7.587193459462534e-10,1.4e-06,8.002103217794792e-10,1.4e-06,7.251405250851014e-10,1.4e-06,8.253546614534893e-10,1.4e-06,7.412153102324958e-10,1.4e-06,7.783965007197392e-10,1.4e-06,7.104790404205539e-10,1.4e-06,8.342225609680077e-10,1.4e-06,7.464860339667764e-10,1.4e-06,7.850466152710978e-10,1.4e-06,7.14799746605517e-10,1.4e-06,8.081274228328902e-10,1.4e-06,7.299868710672531e-10,1.4e-06,7.646281479162027e-10,1.4e-06,7.011127914448892e-10
1.42e-06,8.76223346790561e-10,1.42e-06,7.764393601908236e-10,1.42e-06,8.198586256390099e-10,1.42e-06,7.41222783738395e-10,1.42e-06,8.462239947645422e-10,1.42e-06,7.582022095667622e-10,1.42e-06,7.969034179187978e-10,1.42e-06,7.261343114578232e-10,1.42e-06,8.555547701561407e-10,1.42e-06,7.636876060164346e-10,1.42e-06,8.039491331303105e-10,1.42e-06,7.3065224186642e-10,1.42e-06,8.282122962394253e-10,1.42e-06,7.463537212779411e-10,1.42e-06,7.827104288984601e-10,1.42e-06,7.1627887415041e-10
1.44e-06,8.990391353279656e-10,1.44e-06,7.943216503171229e-10,1.44e-06,8.39776930175852e-10,1.44e-06,7.576634315582107e-10,1.44e-06,8.67407264873993e-10,1.44e-06,7.751471617651713e-10,1.44e-06,8.156614654698733e-10,1.44e-06,7.417699233962387e-10,1.44e-06,8.773143081903083e-10,1.44e-06,7.809851138810037e-10,1.44e-06,8.232006943979575e-10,1.44e-06,7.46512732692122e-10,1.44e-06,8.486069624080356e-10,1.44e-06,7.631295710536934e-10,1.44e-06,8.009482360001405e-10,1.44e-06,7.316917963468094e-10
1.46e-06,9.213973461419165e-10,1.46e-06,8.119155345380734e-10,1.46e-06,8.593701717366305e-10,1.46e-06,7.736562462830036e-10,1.46e-06,8.883118414811907e-10,1.46e-06,7.919496161093647e-10,1.46e-06,8.343105150560111e-10,1.46e-06,7.572644360048493e-10,1.46e-06,8.987115740110333e-10,1.46e-06,7.980857163835092e-10,1.46e-06,8.420706433146718e-10,1.46e-06,7.622403526910163e-10,1.46e-06,8.6851579321047e-10,1.46e-06,7.793944328705463e-10,1.46e-06,8.18881874858828e-10,1.46e-06,7.468530075922701e-10
1.48e-06,9.44087092104806e-10,1.48e-06,8.297923132157153e-10,1.48e-06,8.793758240436748e-10,1.48e-06,7.900046588722429e-10,1.48e-06,9.096447543498679e-10,1.48e-06,8.089817934737287e-10,1.48e-06,8.530314098831816e-10,1.48e-06,7.729152878296037e-10,1.48e-06,9.206038189948006e-10,1.48e-06,8.154051749031859e-10,1.48e-06,8.615340498817505e-10,1.48e-06,7.781383277304706e-10,1.48e-06,8.890877648993708e-10,1.48e-06,7.960106881888903e-10,1.48e-06,8.371182797983141e-10,1.48e-06,7.62044816383037e-10
1.5e-06,9.669087943440024e-10,1.5e-06,8.473333207921442e-10,1.5e-06,8.99160417503096e-10,1.5e-06,8.060516242409508e-10,1.5e-06,9.307485372993042e-10,1.5e-06,8.258342946865296e-10,1.5e-06,8.718116378508296e-10,1.5e-06,7.884003012353783e-10,1.5e-06,9.420589267761371e-10,1.5e-06,8.325084464932434e-10,1.5e-06,8.803970808121842e-10,1.5e-06,7.937463956640084e-10,1.5e-06,9.093749812822574e-10,1.5e-06,8.123393800930569e-10,1.5e-06,8.552994642781523e-10,1.5e-06,7.771281554245545e-10
1.52e-06,9.900874718866111e-10,1.52e-06,8.654650255136414e-10,1.52e-06,9.191643892581473e-10,1.52e-06,8.223562797086051e-10,1.52e-06,9.521197400665083e-10,1.52e-06,8.427928678240657e-10,1.52e-06,8.90741503492785e-10,1.52e-06,8.039655489191625e-10,1.52e-06,9.641965409255786e-10,1.52e-06,8.501068210305694e-10,1.52e-06,8.997682140877501e-10,1.52e-06,8.096695771939257e-10,1.52e-06,9.299435337550845e-10,1.52e-06,8.289022887997319e-10,1.52e-06,8.734457311709467e-10,1.52e-06,7.92324329665919e-10
1.54e-06,1.0128703785474e-09,1.54e-06,8.831679035862659e-10,1.54e-06,9.389559119822215e-10,1.54e-06,8.383968854206317e-10,1.54e-06,9.731970307442846e-10,1.54e-06,8.598230438542744e-10,1.54e-06,9.095163702421276e-10,1.54e-06,8.194302653395241e-10,1.54e-06,9.861910043717428e-10,1.54e-06,8.67133898086502e-10,1.54e-06,9.189436539168183e-10,1.54e-06,8.253175103005832e-10,1.54e-06,9.501899421542452e-10,1.54e-06,8.454660788634277e-10,1.54e-06,8.915709678833786e-10,1.54e-06,8.073156642213585e-10
1.56e-06,1.03595320507269e-09,1.56e-06,9.011991444086003e-10,1.56e-06,9.592065757663218e-10,1.56e-06,8.54896903162154e-10,1.56e-06,9.949879146117283e-10,1.56e-06,8.769286694260721e-10,1.56e-06,9.28328649319898e-10,1.56e-06,8.351744668564284e-10,1.56e-06,1.008228994366445e-09,1.56e-06,8.845918658275554e-10,1.56e-06,9.383318244389128e-10,1.56e-06,8.412854098991987e-10,1.56e-06,9.710977248920717e-10,1.56e-06,8.619591896209338e-10,1.56e-06,9.099453746388352e-10,1.56e-06,8.225796534081308e-10
1.58e-06,1.059015085668781e-09,1.58e-06,9.188613784406933e-10,1.58e-06,9.792472767793109e-10,1.58e-06,8.709143107676606e-10,1.58e-06,1.016350771613857e-09,1.58e-06,8.938207962974233e-10,1.58e-06,9.471854602731381e-10,1.58e-06,8.505200416347039e-10,1.58e-06,1.030007399682859e-09,1.58e-06,9.018526021692124e-10,1.58e-06,9.577815700648476e-10,1.58e-06,8.569006049148819e-10,1.58e-06,9.914420616077334e-10,1.58e-06,8.782824220268965e-10,1.58e-06,9.280417432072731e-10,1.58e-06,8.378017817126226e-10
