"t_delay  X","t_delay  Y"
3.22e-06,2.782988347045873e-09
3.24e-06,2.803483324996771e-09
3.26e-06,2.823237585318815e-09
3.28e-06,2.843479674274872e-09
3.3e-06,2.864419904235615e-09
3.32e-06,2.884159788524103e-09
3.34e-06,2.90423549324673e-09
3.36e-06,2.924610655617828e-09
3.38e-06,2.945267742287194e-09
3.4e-06,2.965020193168805e-09
3.42e-06,2.985191427868425e-09
3.44e-06,3.005966239167903e-09
3.46e-06,3.026289563204664e-09
3.48e-06,3.046694094292962e-09
3.5e-06,3.066172920848606e-09
3.52e-06,3.087108460581684e-09
3.54e-06,3.106783586555582e-09
3.56e-06,3.127666913420145e-09
3.58e-06,3.148736385817919e-09
3.6e-06,3.167880214741489e-09
3.62e-06,3.188392531828029e-09
3.64e-06,3.208484516361527e-09
3.66e-06,3.230228135003616e-09
3.68e-06,3.250093000694281e-09
3.7e-06,3.26954657295709e-09
3.72e-06,3.290306579871775e-09
3.74e-06,3.311592268615444e-09
3.76e-06,3.33076955367692e-09
3.78e-06,3.352057483561697e-09
3.8e-06,3.372899555434826e-09
3.82e-06,3.393150711580767e-09
3.84e-06,3.413854807717729e-09
3.86e-06,3.433938144117156e-09
3.88e-06,3.454749717920896e-09
3.9e-06,3.474840224337585e-09
3.92e-06,3.49518105828767e-09
3.94e-06,3.515372846970791e-09
3.96e-06,3.536514048758804e-09
3.98e-06,3.555727057977587e-09
4e-06,3.57741608382451e-09
4.02e-06,3.596285435626819e-09
4.04e-06,3.617654581740248e-09
4.06e-06,3.637874756514713e-09
4.08e-06,3.658124069808096e-09
4.1e-06,3.67891736237392e-09
4.12e-06,3.699682817795566e-09
4.14e-06,3.719822283887798e-09
4.16e-06,3.74057090038951e-09
4.18e-06,3.760926141433072e-09
4.2e-06,3.781408380417375e-09
4.22e-06,3.802084443041673e-09
4.24e-06,3.822952116430433e-09
4.26e-06,3.842449828467111e-09
4.28e-06,3.863883959672551e-09
4.3e-06,3.883902191049207e-09
4.32e-06,3.904704240330504e-09
4.34e-06,3.925656231663836e-09
4.36e-06,3.946235926022837e-09
4.38e-06,3.966931931967522e-09
4.4e-06,3.987132355315316e-09
4.42e-06,4.007442690627161e-09
4.44e-06,4.028408155505066e-09
4.46e-06,4.049028509254342e-09
4.48e-06,4.069606463156874e-09
4.5e-06,4.09026576723411e-09
4.52e-06,4.110947698556581e-09
4.54e-06,4.131519080483427e-09
4.56e-06,4.152437944928298e-09
4.58e-06,4.172969961028863e-09
4.6e-06,4.193879518195029e-09
4.62e-06,4.214199056426439e-09
4.64e-06,4.235631616828813e-09
4.66e-06,4.255678146749744e-09
4.68e-06,4.277023649178592e-09
4.7e-06,4.297261142928479e-09
4.72e-06,4.318257993897074e-09
4.74e-06,4.339026072923144e-09
4.76e-06,4.359702876479761e-09
4.78e-06,4.380494662986826e-09
4.8e-06,4.401124051253978e-09
4.82e-06,4.421918434757432e-09
4.84e-06,4.441689103496988e-09
4.86e-06,4.463183886524156e-09
4.88e-06,4.484205827662113e-09
4.9e-06,4.50432469990606e-09
4.919999999999999e-06,4.525261022147259e-09
4.94e-06,4.546184937881402e-09
4.96e-06,4.567246871979898e-09
4.98e-06,4.587495065488261e-09
5e-06,4.608580104589058e-09
5.02e-06,4.629146482304724e-09
5.04e-06,4.650226768576441e-09
5.06e-06,4.670966528134329e-09
5.08e-06,4.691591629221372e-09
5.099999999999999e-06,4.7124066639869e-09
5.12e-06,4.733795064416197e-09
5.14e-06,4.754417488867618e-09
5.16e-06,4.774783338559795e-09
5.18e-06,4.795715654810424e-09
5.2e-06,4.816733270116488e-09
5.22e-06,4.837978172123528e-09
5.24e-06,4.858591300765314e-09
5.26e-06,4.879350799741181e-09
5.279999999999999e-06,4.900621419526202e-09
5.3e-06,4.920968350370145e-09
5.32e-06,4.94255432344832e-09
5.34e-06,4.962863759882946e-09
5.36e-06,4.98432424278123e-09
5.38e-06,5.005126801699783e-09
5.4e-06,5.026219207886823e-09
5.42e-06,5.04656114207964e-09
5.44e-06,5.067612959747853e-09
5.46e-06,5.088237027127502e-09
5.48e-06,5.10944690366043e-09
5.5e-06,5.130350232747675e-09
5.52e-06,5.151228603792934e-09
5.539999999999999e-06,5.172515440494278e-09
5.56e-06,5.193869593078646e-09
5.58e-06,5.214295817571463e-09
5.6e-06,5.235830208024024e-09
5.62e-06,5.256936174261831e-09
5.64e-06,5.27803909231583e-09
5.66e-06,5.298983464371363e-09
5.68e-06,5.319735553771538e-09
5.7e-06,5.340517698765527e-09
5.719999999999999e-06,5.361804368969384e-09
5.74e-06,5.382730921055331e-09
5.76e-06,5.403839635558219e-09
5.78e-06,5.424712828007178e-09
5.8e-06,5.446031380690105e-09
5.82e-06,5.466957882593003e-09
5.84e-06,5.488835839239649e-09
5.86e-06,5.509879583882105e-09
5.88e-06,5.530409777440026e-09
5.9e-06,5.551621851116311e-09
5.92e-06,5.572769021744312e-09
5.94e-06,5.593796718815243e-09
5.96e-06,5.614952176143566e-09
5.979999999999999e-06,5.636025233945366e-09
6e-06,5.657419454768453e-09
6.02e-06,5.678235801843916e-09
6.04e-06,5.699760227289298e-09
6.06e-06,5.720760400321408e-09
6.08e-06,5.741766913197229e-09
6.1e-06,5.763047415145202e-09
