"P_inst (c0=1,c1=1,c2=1,c3=0) X","P_inst (c0=1,c1=1,c2=1,c3=0) Y"
6.025520345705313e-08,4.343398958779846e-05
6.025851013932013e-08,3.844975971290776e-05
6.026278961721372e-08,3.388945091277285e-05
6.026781190503589e-08,3.024324212668324e-05
6.027423753033628e-08,2.682448288430659e-05
6.02799471762395e-08,2.409373094699616e-05
6.02861307973504e-08,2.065266006694414e-05
6.02905973497177e-08,1.779353459414726e-05
6.029580507838626e-08,1.435593582274733e-05
6.030051676682563e-08,1.142741668747819e-05
6.030551630468237e-08,9.368266155471363e-06
6.030923196475722e-08,8.509801991171167e-06
6.031360429698959e-08,8.056189764475435e-06
6.031959341197453e-08,8.001991015809424e-06
6.032842855560127e-08,8.323271799968266e-06
6.033755415162658e-08,8.47116790819111e-06
6.034788870178495e-08,8.123247793309583e-06
6.035864347871738e-08,7.317712707240166e-06
6.037083664186932e-08,8.267922900162029e-06
6.038380964415209e-08,2.692345560850024e-05
6.03943307293235e-08,5.144616291362624e-05
6.040269820902201e-08,5.77973650767241e-05
6.040802235600073e-08,6.65190063278532e-05
6.041150248944888e-08,9.517638676155938e-05
6.041473593788105e-08,0.0001473623948527495
6.041807595928408e-08,0.0002127211231901656
6.042138264343686e-08,0.0002654250365652766
6.042367035211191e-08,0.0002941314201033837
6.042598743427589e-08,0.0003411946431065378
6.04282393860666e-08,0.000461181359744029
6.042985516616049e-08,0.0005803859160336223
6.043130074213665e-08,0.0006644804147410446
6.043233941270696e-08,0.0007393863738201799
6.043349802618547e-08,0.0008242019516006437
6.043438772092012e-08,0.0008487809464649206
6.04352204793202e-08,0.0008336050004142771
6.043591761542753e-08,0.000803632847350587
6.043682978432379e-08,0.0007479196697196272
6.043744571421266e-08,0.0007044590856065083
6.0438114433237e-08,0.0006571606707884529
6.043873680037755e-08,0.0006161177039109454
6.043942365509281e-08,0.0005769254687574981
6.044014410776581e-08,0.0005416532884720039
6.044099782440665e-08,0.0005019611706999841
6.0441929154733e-08,0.0004521073411371948
6.044295808979713e-08,0.0003857023059503225
6.04440464602695e-08,0.0003158193476740474
6.044527325469855e-08,0.0002632314785613267
6.044619397337087e-08,0.0002332501441548259
6.044714310591428e-08,0.0001951387161690474
6.044800926521322e-08,0.0001655358798625063
6.044869545886797e-08,0.0001545806202144519
6.044946094215091e-08,0.0001491391691462206
6.045019454909822e-08,0.0001452342845496574
6.045130601516775e-08,0.0001376026916880253
6.045230520599624e-08,0.0001287515429392701
6.045340794241258e-08,0.0001184032358259328
6.045479414951057e-08,0.0001060446993242915
6.045648429452319e-08,9.339989880265435e-05
