/in_DTC X,/in_DTC Y,/out_DTC X,/out_DTC Y,/EN_b X,/EN_b Y,/V_cap X,/V_cap Y,/V_ramp X,/V_ramp Y,B X,B LogicBus,D X,D LogicBus
5.011815666420504e-08,0,5.011815666420504e-08,1.099999944540421,5.011815666420504e-08,1.099999760725314,5.011815666420504e-08,0.7427891397322454,5.011815666420504e-08,0.7427886887563948,  ,  ,  ,  
5.011851240650306e-08,0,5.011851240650306e-08,1.099999944540871,5.011851240650306e-08,1.099999752382939,5.011851240650306e-08,0.7427891396228299,5.011851240650306e-08,0.7427886930689382,  ,  ,  ,  
5.011893796096811e-08,0,5.011893796096811e-08,1.099999944541236,5.011893796096811e-08,1.099999770256408,5.011893796096811e-08,0.7427891394906081,5.011893796096811e-08,0.7427886981793165,  ,  ,  ,  
5.011950944724047e-08,0,5.011950944724047e-08,1.099999944541164,5.011950944724047e-08,1.099999805203632,5.011950944724047e-08,0.7427891393114751,5.011950944724047e-08,0.7427887049497292,  ,  ,  ,  
5.01199103340141e-08,0,5.01199103340141e-08,1.099999944540747,5.01199103340141e-08,1.099999819962989,5.01199103340141e-08,0.7427891391856196,5.01199103340141e-08,0.7427887096321728,  ,  ,  ,  
5.012037025522264e-08,0,5.012037025522264e-08,1.099999944540013,5.012037025522264e-08,1.099999809096615,5.012037025522264e-08,0.7427891390421186,5.012037025522264e-08,0.7427887149332916,  ,  ,  ,  
5.012075016890315e-08,0,5.012075016890315e-08,1.099999944539246,5.012075016890315e-08,1.09999976252779,5.012075016890315e-08,0.7427891389244736,5.012075016890315e-08,0.7427887192526595,  ,  ,  ,  
5.012106871481199e-08,0,5.012106871481199e-08,1.099999944538682,5.012106871481199e-08,1.099999704368578,5.012106871481199e-08,0.7427891388276059,5.012106871481199e-08,0.742788722835632,  ,  ,  ,  
5.012137588356534e-08,0,5.012137588356534e-08,1.099999944538248,5.012137588356534e-08,1.099999632906509,5.012137588356534e-08,0.7427891387357402,5.012137588356534e-08,0.7427887262581985,  ,  ,  ,  
5.012169723006577e-08,0,5.012169723006577e-08,1.099999944537959,5.012169723006577e-08,1.0999995474474,5.012169723006577e-08,0.742789138641372,5.012169723006577e-08,0.7427887298066284,  ,  ,  ,  
5.012202023417485e-08,0,5.012202023417485e-08,1.099999944537856,5.012202023417485e-08,1.099999456939083,5.012202023417485e-08,0.7427891385482726,5.012202023417485e-08,0.7427887333423049,  ,  ,  ,  
5.012237458596245e-08,0,5.012237458596245e-08,1.099999944538072,5.012237458596245e-08,1.099999374281401,5.012237458596245e-08,0.742789138448828,5.012237458596245e-08,0.7427887371910652,  ,  ,  ,  
5.012267417674179e-08,0,5.012267417674179e-08,1.09999994453856,5.012267417674179e-08,1.099999335684909,5.012267417674179e-08,0.7427891383671007,5.012267417674179e-08,0.7427887404247777,  ,  ,  ,  
5.012300664563795e-08,0,5.012300664563795e-08,1.099999944539475,5.012300664563795e-08,1.099999354502757,5.012300664563795e-08,0.7427891382791768,5.012300664563795e-08,0.7427887439979947,  ,  ,  ,  
5.012325574275024e-08,0,5.012325574275024e-08,1.099999944540181,5.012325574275024e-08,1.099999403185184,5.012325574275024e-08,0.7427891382135179,5.012325574275024e-08,0.7427887466618577,  ,  ,  ,  
5.01235762199722e-08,0,5.01235762199722e-08,1.09999994454071,5.01235762199722e-08,1.099999478658322,5.01235762199722e-08,0.7427891381269054,5.01235762199722e-08,0.7427887500637432,  ,  ,  ,  
5.01240381526665e-08,0,5.01240381526665e-08,1.09999994454058,5.01240381526665e-08,1.099999565319096,5.01240381526665e-08,0.7427891379983086,5.01240381526665e-08,0.7427887549055302,  ,  ,  ,  
5.012439825957889e-08,0,5.012439825957889e-08,1.099999944539868,5.012439825957889e-08,1.099999590143949,5.012439825957889e-08,0.7427891378963843,5.012439825957889e-08,0.7427887586245931,  ,  ,  ,  
5.012470872982247e-08,0,5.012470872982247e-08,1.099999944538966,5.012470872982247e-08,1.099999567681238,5.012470872982247e-08,0.7427891378083757,5.012470872982247e-08,0.7427887617898599,  ,  ,  ,  
5.012500193541541e-08,0,5.012500193541541e-08,1.099999944538078,5.012500193541541e-08,1.099999509921971,5.012500193541541e-08,0.7427891377264109,5.012500193541541e-08,0.7427887647455466,  ,  ,  ,  
5.012530450184869e-08,0,5.012530450184869e-08,1.099999944537541,5.012530450184869e-08,1.099999444763988,5.012530450184869e-08,0.7427891376454762,5.012530450184869e-08,0.7427887677705186,  ,  ,  ,  
