"P_inst (c0=1,c1=1,c2=1,c3=1) X","P_inst (c0=1,c1=1,c2=1,c3=1) Y"
7.016738753746204e-08,0.0001077543713556116
7.016955659896474e-08,0.0001043982191795037
7.017080796695712e-08,0.0001063273236836656
7.0172187586318e-08,0.0001079158510944931
7.017331333392842e-08,0.0001050127949476334
7.017401355037063e-08,0.0001008752900174813
7.017476126275576e-08,9.520178748082005e-05
7.017553723805982e-08,8.889860968936922e-05
7.017631413960086e-08,8.346081848303649e-05
7.017732917345782e-08,7.766288042358193e-05
7.017825247449627e-08,7.267728832189298e-05
7.017918623703539e-08,6.760252954181232e-05
7.018019667832065e-08,6.207224104017688e-05
7.018166183871639e-08,5.431256165834595e-05
7.018368004681618e-08,4.519075967960104e-05
7.01851507654614e-08,3.900450027644851e-05
7.018663354078933e-08,3.148811096863298e-05
7.018770952268711e-08,2.50141325674767e-05
7.018901401899369e-08,1.711010483956343e-05
7.019002406008777e-08,1.213114523971941e-05
7.019135152365316e-08,7.981368989961257e-06
7.019316362591375e-08,5.095193398387645e-06
7.019462525297103e-08,3.800693728872901e-06
7.019614622522556e-08,2.861269218342012e-06
7.019797496536725e-08,2.041728489985576e-06
7.020000000000001e-08,1.397398820380204e-06
7.020218541584309e-08,9.540300404789307e-07
7.020466826040886e-08,5.858479796329919e-07
7.020723768933683e-08,3.503381483022964e-07
7.021237654719277e-08,1.212452607791689e-07
7.021971229287311e-08,2.636293204249553e-08
7.022835021645695e-08,5.950414341370112e-09
7.023844547863165e-08,2.733364759126292e-09
7.025103187830191e-08,2.30901071648042e-09
7.026851571166282e-08,2.254263980603971e-09
7.029525307813023e-08,2.24633119809123e-09
7.034219837797334e-08,2.236413488626587e-09
7.04350101751332e-08,2.227807186436413e-09
7.061396911205591e-08,2.211847744386525e-09
7.097188698590134e-08,2.181280240912659e-09
7.16877227335922e-08,2.124873511404388e-09
7.284386136679612e-08,2.044975410132369e-09
7.400000000000001e-08,1.976210117452877e-09
7.403220477296375e-08,7.492118823375284e-09
7.407187462613076e-08,1.928813657273663e-06
7.408789029786442e-08,6.690727713868592e-06
7.409611935266035e-08,9.696706531352267e-06
7.410570070383681e-08,1.172244988938858e-05
7.411403169444189e-08,2.841995685886846e-05
7.412240170606686e-08,8.565682946345038e-05
7.412926104461526e-08,0.0001178103218066272
7.41342404063736e-08,0.0001162774371067648
7.413848023561179e-08,0.0001066601209700214
7.414343163692118e-08,0.0001002587528984266
7.414729277012509e-08,0.0001047986284155827
7.41535123720677e-08,0.0001393953759091541
7.415928759546959e-08,0.000192818038443623
7.41646132483166e-08,0.0002399560087294626
7.417155590120187e-08,0.0002761200350305819
7.41781160718146e-08,0.0002800206365345433
7.418398290591444e-08,0.0002903344016380247
7.41871813144979e-08,0.0003057426758986566
7.419057533651849e-08,0.0003181847700844958
7.419356944399577e-08,0.000318213421328443
7.419678472199788e-08,0.0003015725632248698
7.420000000000002e-08,0.0002687552810169988
7.420120069515254e-08,0.0002539456303386756
7.420328026656737e-08,0.0002295013729161408
7.42058648730483e-08,0.0002054457767663228
7.420830436232173e-08,0.0001866388348232174
7.421116218339386e-08,0.0001651324448155695
7.421364158350066e-08,0.0001464566195125193
7.421611436648723e-08,0.0001283729577525182
7.421957194308964e-08,0.0001057535420927458
7.422416169557931e-08,8.25766589431533e-05
7.422846786437479e-08,6.699614954682568e-05
7.423184135918667e-08,5.88905664733585e-05
7.423575536322208e-08,5.654122326952097e-05
7.424039245941861e-08,6.773116331537323e-05
7.424448856684182e-08,8.233706480367835e-05
7.424787876872141e-08,8.553138363354377e-05
7.425250856374554e-08,8.068054534738289e-05
7.425446945973638e-08,8.660025077833654e-05
7.42557321261925e-08,9.239980870681913e-05
7.425722691448976e-08,9.429905992923607e-05
7.425850414706979e-08,8.889749678594864e-05
7.42600612043143e-08,7.343818879845926e-05
7.426152771121529e-08,5.395493467505141e-05
7.426267083621351e-08,4.015321672210373e-05
7.426367292302527e-08,3.176362446921453e-05
7.426509054152262e-08,2.54539951462875e-05
7.426662581582696e-08,2.226590652466478e-05
7.426785460039495e-08,2.074333619241845e-05
7.426923380974792e-08,1.938352581769706e-05
7.42711982227659e-08,1.770314876773026e-05
7.427367550141171e-08,1.585749548227211e-05
7.427696998424112e-08,1.38694140165213e-05
7.428195001406774e-08,1.182864146580128e-05
7.429167460765267e-08,1.005876480346217e-05
7.430138077846918e-08,9.376240197218546e-06
7.431046572150891e-08,8.92455187516465e-06
7.431989199630752e-08,8.495446272048625e-06
7.433192453418384e-08,7.975960171545351e-06
7.434955251180477e-08,7.284174895016663e-06
7.437769926944159e-08,7.021159507217703e-06
7.441491811393059e-08,1.01580421474534e-05
7.444146077501907e-08,1.277169778350173e-05
7.445169712359822e-08,1.266802173985677e-05
7.446282488962342e-08,1.135569753668377e-05
7.447028873349974e-08,9.977025543955683e-06
7.44788994120237e-08,8.107105769804565e-06
7.448477326245827e-08,7.091285333707912e-06
7.449081645051654e-08,6.762663009483406e-06
7.449943733505008e-08,7.628539404009312e-06
7.450690555444382e-08,8.95218519295008e-06
7.451771103689311e-08,1.051318655989999e-05
7.452892600539583e-08,1.143324971898025e-05
7.454063261323835e-08,1.187554833169851e-05
7.455365849067889e-08,1.186467519707148e-05
7.457099279616757e-08,1.118333801875585e-05
7.459286062301589e-08,1.159732375840296e-05
7.461824714881045e-08,3.533080153780581e-05
7.463816632094183e-08,6.063247709962556e-05
7.465670362107971e-08,6.868740957716647e-05
7.467626421631808e-08,8.172234942762094e-05
7.46943858784212e-08,0.0001911562794366082
7.470767139221347e-08,0.0003023502151305574
7.47180793979632e-08,0.000325018749126144
7.472143190776698e-08,0.0003206913510602158
7.472813692737455e-08,0.0003197955355297667
7.473379988215196e-08,0.0003437374667981652
7.47384753587305e-08,0.0003653508287758688
7.474312282888473e-08,0.0003729234713149419
7.474532095265197e-08,0.0003727973448403322
7.474684903492617e-08,0.0003747161863284056
7.474837064905915e-08,0.0003812073987319718
7.474993391714184e-08,0.0003914712708159186
7.475144578290171e-08,0.0004028196871381212
7.47525074611218e-08,0.0004207908683675251
7.475363885135003e-08,0.0004582442337558445
7.475468260282796e-08,0.0004990757341143282
7.475607643820581e-08,0.0005525070270605771
7.47573742103294e-08,0.0005969327250249432
7.47588493854902e-08,0.0006366000907607977
7.476083340070428e-08,0.00066569533342999
7.476366745535123e-08,0.0006645870515619569
7.476620719490849e-08,0.0006433607378302135
7.476880039993096e-08,0.0006096158902253171
7.477101646510158e-08,0.0005810988428560815
7.47727095472848e-08,0.0005632590624395769
7.477485469330026e-08,0.0005432846022846912
7.477676993734608e-08,0.0005264569504109636
7.477851492146392e-08,0.0005123543486194496
7.478085203759137e-08,0.0004939255817682985
7.478393540045484e-08,0.0004650517618819095
7.478701820704482e-08,0.000426128925993927
7.479051012640064e-08,0.0003812925043484431
7.479468391161044e-08,0.0003699218301905082
7.479814226982693e-08,0.0004156419469420904
7.480061404420008e-08,0.0004577756678715657
7.480256004788808e-08,0.000476474798636627
7.480357638252996e-08,0.0004786392645065446
7.480493765038556e-08,0.0004735677099106743
7.480614625868414e-08,0.0004634240878001921
7.480796865763246e-08,0.0004454948114283419
7.481002896948237e-08,0.0004397617770916097
7.481163914636865e-08,0.000456842351553648
7.481342906341013e-08,0.0004928892311972527
7.481494868762906e-08,0.0005219940727651815
7.481693385391314e-08,0.0005355920408569229
7.481799964741846e-08,0.00052797465735608
7.4819139851119e-08,0.0005110312649459208
7.482015449811658e-08,0.0004924027015728322
7.482133334473223e-08,0.0004723628511982153
7.4822545561997e-08,0.0004632162876714901
7.482372505600495e-08,0.0004699973925213032
7.482524715767905e-08,0.0005032867508678041
7.482723064920812e-08,0.0005715276265545024
7.482889464576017e-08,0.0006036875564832099
7.483084883402985e-08,0.0005860042000655251
7.483319485393004e-08,0.0005064341093601522
7.483533814683639e-08,0.0004570815203846289
7.483733138591253e-08,0.0005344020285443118
7.483947756728983e-08,0.0006910724753906953
7.484175245989117e-08,0.0008056695797730663
7.484369159965537e-08,0.0008276308544977759
7.484645356620753e-08,0.0007665809924060808
7.484865410249328e-08,0.0006742964014992243
7.485106512835185e-08,0.0005595997768296173
7.485381907683609e-08,0.0004306127713796239
7.485727153382585e-08,0.0002886029111360924
7.486117189685164e-08,0.0001660426364746065
7.486579015569684e-08,7.529406687884281e-05
