/in_DTC X,/in_DTC Y,/out_DTC X,/out_DTC Y,/EN_b X,/EN_b Y,/V_cap X,/V_cap Y,/V_ramp X,/V_ramp Y,B X,B LogicBus,D X,D LogicBus
5.012711047180874e-08,0,5.012711047180874e-08,1.099770169848413,5.012711047180874e-08,1.100420553741674,5.012711047180874e-08,0.7638165353547215,5.012711047180874e-08,0.7654644322953186,  ,  ,  ,  
5.012729148593334e-08,0,5.012729148593334e-08,1.099739799791726,5.012729148593334e-08,1.100307021032087,5.012729148593334e-08,0.7638016160114857,5.012729148593334e-08,0.765335535054226,  ,  ,  ,  
5.012751294397115e-08,0,5.012751294397115e-08,1.099708816152429,5.012751294397115e-08,1.100179733354925,5.012751294397115e-08,0.763784784325286,5.012751294397115e-08,0.7651856778138829,  ,  ,  ,  
5.012777601230647e-08,0,5.012777601230647e-08,1.099679554990893,5.012777601230647e-08,1.100042125696389,5.012777601230647e-08,0.763766669371028,5.012777601230647e-08,0.765017674706029,  ,  ,  ,  
5.012806518482893e-08,0,5.012806518482893e-08,1.099655356329167,5.012806518482893e-08,1.099904939163217,5.012806518482893e-08,0.7637490588590755,5.012806518482893e-08,0.7648443092221308,  ,  ,  ,  
5.012837977194715e-08,0,5.012837977194715e-08,1.099637170574511,5.012837977194715e-08,1.099771132410592,5.012837977194715e-08,0.7637328417599343,5.012837977194715e-08,0.7646676184468799,  ,  ,  ,  
5.012872512815104e-08,0,5.012872512815104e-08,1.099625242131342,5.012872512815104e-08,1.099641075949857,5.012872512815104e-08,0.7637189713849515,5.012872512815104e-08,0.7644881531259843,  ,  ,  ,  
5.012910909163031e-08,0,5.012910909163031e-08,1.09962095870015,5.012910909163031e-08,1.099514586504736,5.012910909163031e-08,0.7637085799489195,5.012910909163031e-08,0.7643053573311263,  ,  ,  ,  
5.01295829197439e-08,0,5.01295829197439e-08,1.09962531737358,5.01295829197439e-08,1.099382702781726,5.01295829197439e-08,0.7637028000609148,5.01295829197439e-08,0.7641034746176596,  ,  ,  ,  
5.013006394689508e-08,0,5.013006394689508e-08,1.099638549281846,5.013006394689508e-08,1.09927528487639,5.013006394689508e-08,0.7637047099656256,5.013006394689508e-08,0.7639246053569821,  ,  ,  ,  
5.013043290876599e-08,0,5.013043290876599e-08,1.099649080649298,5.013043290876599e-08,1.099210359098785,5.013043290876599e-08,0.7637115776308117,5.013043290876599e-08,0.7638040882026753,  ,  ,  ,  
5.013074848299263e-08,0,5.013074848299263e-08,1.099666291429908,5.013074848299263e-08,1.099168532728079,5.013074848299263e-08,0.7637209710759273,5.013074848299263e-08,0.7637143292684841,  ,  ,  ,  
5.013103403509658e-08,0,5.013103403509658e-08,1.099684413471549,5.013103403509658e-08,1.099141720511639,5.013103403509658e-08,0.7637321330081759,5.013103403509658e-08,0.7636440046347376,  ,  ,  ,  
5.013130160332366e-08,0,5.013130160332366e-08,1.099702975435604,5.013130160332366e-08,1.099126247775431,5.013130160332366e-08,0.763744595557605,5.013130160332366e-08,0.7635876465505813,  ,  ,  ,  
5.013156405323956e-08,0,5.013156405323956e-08,1.099722368403134,5.013156405323956e-08,1.099120204151071,5.013156405323956e-08,0.7637582882968771,5.013156405323956e-08,0.7635414766721881,  ,  ,  ,  
5.013182846232599e-08,0,5.013182846232599e-08,1.099742831682321,5.013182846232599e-08,1.099123249700866,5.013182846232599e-08,0.7637731575911559,5.013182846232599e-08,0.7635042340375787,  ,  ,  ,  
5.013209936212455e-08,0,5.013209936212455e-08,1.09976453547523,5.013209936212455e-08,1.099135832553263,5.013209936212455e-08,0.7637891383058198,5.013209936212455e-08,0.7634758529270324,  ,  ,  ,  
5.013237488053844e-08,0,5.013237488053844e-08,1.09978718528504,5.013237488053844e-08,1.099158363963926,5.013237488053844e-08,0.7638058499824805,5.013237488053844e-08,0.7634571934610596,  ,  ,  ,  
5.013265732732594e-08,0,5.013265732732594e-08,1.099810791163471,5.013265732732594e-08,1.099191416998852,5.013265732732594e-08,0.7638231710278391,5.013265732732594e-08,0.7634486410185056,  ,  ,  ,  
5.013295441870644e-08,0,5.013295441870644e-08,1.099835818917174,5.013295441870644e-08,1.099236785718814,5.013295441870644e-08,0.7638413529493641,5.013295441870644e-08,0.7634509503758868,  ,  ,  ,  
5.013327807617305e-08,0,5.013327807617305e-08,1.099862657005312,5.013327807617305e-08,1.099296511499284,5.013327807617305e-08,0.7638605087150183,5.013327807617305e-08,0.7634656261563408,  ,  ,  ,  
5.013366784325179e-08,0,5.013366784325179e-08,1.099893805633017,5.013366784325179e-08,1.099378540419288,5.013366784325179e-08,0.7638821996078758,5.013366784325179e-08,0.763498738689884,  ,  ,  ,  
5.01340450212777e-08,0,5.01340450212777e-08,1.099922404905113,5.01340450212777e-08,1.099468143829208,5.01340450212777e-08,0.763901575473907,5.01340450212777e-08,0.7635454530224834,  ,  ,  ,  
5.013438997214006e-08,0,5.013438997214006e-08,1.099945904925487,5.013438997214006e-08,1.09955626884203,5.013438997214006e-08,0.7639176637103446,5.013438997214006e-08,0.7635994780302449,  ,  ,  ,  
5.013473612965686e-08,0,5.013473612965686e-08,1.099968651446272,5.013473612965686e-08,1.099649715389801,5.013473612965686e-08,0.7639323954351102,5.013473612965686e-08,0.7636637093998164,  ,  ,  ,  
5.013510323251961e-08,0,5.013510323251961e-08,1.099991427246953,5.013510323251961e-08,1.099753057512106,5.013510323251961e-08,0.7639467757398678,5.013510323251961e-08,0.7637416609353925,  ,  ,  ,  
5.013544208675335e-08,0,5.013544208675335e-08,1.100010914287293,5.013544208675335e-08,1.099850837117415,5.013544208675335e-08,0.7639588215188264,5.013544208675335e-08,0.7638213045137262,  ,  ,  ,  
5.013581306235157e-08,0,5.013581306235157e-08,1.100030399722821,5.013581306235157e-08,1.099959034599738,5.013581306235157e-08,0.7639706430155829,5.013581306235157e-08,0.7639155437996932,  ,  ,  ,  
5.013616565979828e-08,0,5.013616565979828e-08,1.100047116534951,5.013616565979828e-08,1.100061812765216,5.013616565979828e-08,0.7639806068789184,5.013616565979828e-08,0.7640108194459455,  ,  ,  ,  
