"P_inst (b0=1,b1=0,b2=1,b3=0) X","P_inst (b0=1,b1=0,b2=1,b3=0) Y"
1.030483991738523e-06,0.0003243049081729502
1.0305e-06,0.0003227575745973088
1.030506210121891e-06,0.0003286085678119294
1.030516478457527e-06,0.0003434943945856984
1.03052626460903e-06,0.0003521423924714368
1.030535970470838e-06,0.000347859674747607
1.030540823401742e-06,0.0003413893339395989
1.03055052926355e-06,0.0003243765674792065
1.030560671537278e-06,0.0003133589912349276
1.030565299083203e-06,0.0003151880292626865
1.03057074677704e-06,0.0003134237294253966
1.030574577136934e-06,0.0003013425278900187
1.030577204563723e-06,0.0002876338269529296
1.030580532215191e-06,0.0002713505212666919
1.030583410093651e-06,0.0002589335817535074
1.030585378496203e-06,0.0002504716654007753
1.030587902283651e-06,0.0002403682309613141
1.030589792059238e-06,0.0002341113572743006
1.030592327649619e-06,0.0002265046040934304
1.030594651059384e-06,0.0002196781185827063
1.030596667544464e-06,0.0002138165959393046
1.030599407942135e-06,0.000205949572942868
1.030604888737478e-06,0.0001909090934575092
1.030613307449235e-06,0.0001717332740158036
1.030623382057586e-06,0.0001554391431568662
1.030637924321621e-06,0.0001375903185766256
1.030648123067203e-06,0.0001267100154460215
1.030659624561428e-06,0.0001155932516680025
1.030674993138549e-06,0.0001024478057839136
1.030696006430004e-06,8.712024933985653e-05
1.030732569515747e-06,6.58373545562173e-05
1.030767430080159e-06,5.023172880277739e-05
1.030805644505457e-06,3.720734705051467e-05
1.030847440038808e-06,2.690680476825266e-05
1.030902253269155e-06,1.808110019573129e-05
1.030977313969086e-06,1.158591535575766e-05
1.031092867828824e-06,7.79928726430731e-06
1.03122147626997e-06,6.751461236311476e-06
1.031366064270416e-06,6.519491114928187e-06
1.031531965599032e-06,6.477560273063523e-06
1.031742274515589e-06,6.46989382052915e-06
1.032027665888845e-06,6.467440043331051e-06
1.03244834248484e-06,6.465594877056131e-06
1.033145975737192e-06,6.464323889542904e-06
1.034541242241896e-06,6.463986626118318e-06
1.037331775251305e-06,6.46582581067732e-06
1.04e-06,6.467966113563972e-06
1.04003125e-06,6.475775993932538e-06
1.04008148879106e-06,6.481265502994014e-06
1.040181966373181e-06,7.01497253551699e-06
1.040207357559642e-06,8.803539457326959e-06
1.040227402550206e-06,1.203447553187385e-05
1.040245725586755e-06,1.610656366189616e-05
1.040264667001444e-06,1.997735805854865e-05
1.040285098981436e-06,2.174605573560956e-05
1.040302614951261e-06,2.417605824208813e-05
1.040310528326764e-06,3.443314976736128e-05
1.040318474156147e-06,5.692638082145853e-05
1.040327467921217e-06,8.772541169462688e-05
1.040336303788174e-06,0.0001074787637511215
1.040348766270454e-06,0.0001365112073357307
1.040352899349152e-06,0.0001997380051061659
1.040355926515945e-06,0.000275230226293349
1.040359530304336e-06,0.0003790523384172078
1.040362706386274e-06,0.0004648456631033306
1.040365964594219e-06,0.000536316658344493
1.040370108382406e-06,0.0006011979118688167
1.040373242128849e-06,0.000638156911509117
1.040375456834069e-06,0.0006661601874043065
1.040377487260352e-06,0.0006921902870255176
1.040378502473493e-06,0.0007040857049820952
1.040380392696076e-06,0.0007232232037606352
1.040382371169355e-06,0.0007392472533480284
1.040385415369869e-06,0.0007563695446874093
1.040389425924878e-06,0.0007673167806638745
1.040396525419455e-06,0.0007635098886625938
1.04040518142184e-06,0.0007353202478238413
1.040414339468305e-06,0.0006937532420909802
1.040424596320333e-06,0.000644401063540317
1.040436688493871e-06,0.00058867596051283
1.040452935776485e-06,0.0005211434247198947
1.040475269774316e-06,0.0004416868989335772
1.0405e-06,0.000368768651620001
1.040511730982734e-06,0.0003394682154059224
1.040525797831696e-06,0.0003066469978497517
1.040539171802953e-06,0.0002783958398177429
1.040565919745468e-06,0.000229450453112272
1.040617120503582e-06,0.0001590618397784342
1.040700163101921e-06,9.898957205096316e-05
1.040779227141702e-06,8.728559123291167e-05
1.040839405831202e-06,8.756940995836444e-05
1.040921713538081e-06,8.644365888853469e-05
1.040983936682807e-06,9.349449978514579e-05
1.041006701205345e-06,0.0001084009789196439
1.041028817015881e-06,0.000133129347304841
1.041056611061678e-06,0.0001629527915044942
1.041077067848965e-06,0.0001631199130039617
1.041103396304128e-06,0.0001462124509417287
1.041111709134525e-06,0.0001418269191672976
1.041117022015035e-06,0.000139931849809328
1.041122259476877e-06,0.0001382200318115524
1.04112741967107e-06,0.0001359608155474492
1.041134844891271e-06,0.0001307020027282182
1.041142581544179e-06,0.0001225200955554117
1.041148820680807e-06,0.0001151766918611828
1.041153531292632e-06,0.0001107031053314526
1.04115700582913e-06,0.0001082439324348698
1.041160154668052e-06,0.000106236456308266
1.041163778966084e-06,0.0001040029967512238
1.041167554851337e-06,0.0001017077882667548
1.041172805572644e-06,9.85268693724989e-05
1.04118084843354e-06,9.356175773446948e-05
1.041196934155334e-06,8.190737624702334e-05
1.041210973259997e-06,6.979140483086239e-05
1.04122822023971e-06,5.622667772955004e-05
1.041244564158141e-06,4.714924853725661e-05
1.041259759269419e-06,4.143274766453407e-05
1.041287008832129e-06,3.517283484615889e-05
1.041331233142758e-06,2.977629247638685e-05
1.041390583008649e-06,2.542444268127905e-05
1.041470849348312e-06,2.144272533959584e-05
1.041570664768859e-06,1.807866863177758e-05
1.041705022706931e-06,1.525623861604197e-05
1.041750445609647e-06,1.457156575262726e-05
1.041841291415078e-06,1.337629083016352e-05
1.041942321912507e-06,1.225950812397609e-05
1.042077971512529e-06,1.106985599478473e-05
1.042256401837105e-06,9.902199272721811e-06
1.042562923922124e-06,8.58547978122728e-06
1.043085089087829e-06,7.415431468379741e-06
1.043689507266532e-06,6.835676092641183e-06
1.044438995633926e-06,6.56990732966807e-06
1.04535327377853e-06,6.47542032097152e-06
1.046576998201537e-06,6.446963477026345e-06
1.04798063299583e-06,6.441639763608265e-06
1.048990316497915e-06,6.441332606329584e-06
1.05e-06,6.4416460741266e-06
1.05003125e-06,6.442116832822438e-06
1.05008148879106e-06,6.441764052780749e-06
1.050181966373181e-06,6.613068282301533e-06
1.050210063371231e-06,7.342364840943721e-06
1.050224111870256e-06,8.230582719830535e-06
1.050252208868306e-06,1.165497774014443e-05
1.050276868611047e-06,1.616064653498251e-05
1.050298291282181e-06,1.963129188531936e-05
1.050320217244858e-06,2.103116318022188e-05
1.050335409499093e-06,3.222550426682271e-05
1.050337909499093e-06,3.914267667323266e-05
1.050340442777809e-06,5.986365508702448e-05
1.0503425541784e-06,0.0001126715649358561
1.050343981838747e-06,0.0001479571492705578
1.050345409499093e-06,0.0001719532295533017
1.050345729043016e-06,0.000169039240470148
1.050346256038845e-06,0.0001635766880882496
1.050346730369272e-06,0.0001584627551128981
1.050347332581982e-06,0.0001526624879266432
1.050348124304308e-06,0.0001458486616139873
1.05034913829092e-06,0.0001412505844449218
1.050350577998358e-06,0.0001474047800268617
1.050352307134439e-06,0.0001677735359836186
1.050353761404845e-06,0.0001822549241380893
1.050355490906147e-06,0.0001895243660610964
1.050357515460621e-06,0.0001862422854873498
1.050359312529017e-06,0.0001788677305721923
1.050361187630302e-06,0.0001800791226369925
1.050363170791175e-06,0.0001938635723487951
1.050364973197873e-06,0.0002037408304333302
1.050366948419537e-06,0.0002053173056438846
1.050369616911489e-06,0.0001937529633053726
1.050371809300035e-06,0.0001784722515617688
1.050374141735302e-06,0.0001749916458599072
1.050376294862082e-06,0.0001962555890643246
1.050378201950716e-06,0.0002217663281449549
1.050379972910451e-06,0.0002423503159534829
1.050382207857785e-06,0.0002622717787813638
1.050384183865003e-06,0.0002788245139829323
1.050386175989891e-06,0.0003071508700630619
1.050388236736812e-06,0.0003434079392758484
1.05039004329066e-06,0.0003682255485849379
1.050392335625362e-06,0.0003899726907098611
1.050394698401116e-06,0.0004083913353472819
1.050396998499753e-06,0.0004224158173993074
1.050399315069745e-06,0.0004443986596449513
1.050401554222845e-06,0.0004758447915760252
1.050403329986992e-06,0.0004930893764750969
1.05040515850855e-06,0.0004981002616465506
1.050407515602391e-06,0.0004896264842127685
1.050409416701555e-06,0.0004764616282813444
1.050411362441613e-06,0.0004615830450639374
1.050413439030628e-06,0.0004468008156298556
1.050415852292588e-06,0.0004332654585282547
1.050418473426738e-06,0.0004241968190584963
1.050422246274871e-06,0.0004168021149484073
1.050425265619239e-06,0.000412047420904572
1.050428066733239e-06,0.0004076314952350556
1.050431073159584e-06,0.0004028084695569588
1.050435286605053e-06,0.0003959458304987701
1.050441252556113e-06,0.0003861679934145137
1.05045010847014e-06,0.0003717302947450462
1.050463827158484e-06,0.0003500746407365905
1.050481913579242e-06,0.0003266327812687628
1.0505e-06,0.0003237857059127302
1.050506154247127e-06,0.0003297644760084119
1.050517157645211e-06,0.0003457408190607553
1.050527509448911e-06,0.0003535348101457164
1.050537535100308e-06,0.0003470518516269467
1.050541921545724e-06,0.0003406257626306453
1.050550694436554e-06,0.0003250295952522947
1.050560943343656e-06,0.0003148406230385924
1.050565565864108e-06,0.000316925084799079
1.050570783076064e-06,0.0003144308838782603
1.050574653672725e-06,0.0003013994607026584
1.05057738220778e-06,0.0002869204851705416
1.050580604354966e-06,0.0002715049372388642
1.050583550643584e-06,0.0002588053415272594
1.050585488384081e-06,0.0002505096762557603
1.050587860065859e-06,0.0002411724431101686
1.050589754135698e-06,0.0002350196845756901
1.050592452825713e-06,0.0002269596549971773
1.050594572686798e-06,0.0002207430001907121
1.050596656071422e-06,0.0002146972342376728
1.050599564224336e-06,0.0002063744036087306
1.050605380530164e-06,0.0001905972629305199
1.05061383259057e-06,0.0001719134813584602
1.050624282476068e-06,0.0001555791480024195
1.050634441150983e-06,0.000143019479672934
1.050644636163121e-06,0.000131826234479699
1.050655401242258e-06,0.0001210935995929416
1.050671080985521e-06,0.0001072125369774533
1.050690468205886e-06,9.249743754739249e-05
1.050720808167149e-06,7.360086109346773e-05
1.050756101333407e-06,5.627266169909353e-05
1.05079279858607e-06,4.236118665979259e-05
1.050833305740328e-06,3.095622140206677e-05
1.05088296480496e-06,2.13907656699577e-05
1.050950423724141e-06,1.378926689144752e-05
1.05104939483346e-06,8.877947274003656e-06
1.05117690644171e-06,7.001494628963071e-06
1.051315254215524e-06,6.571257930745783e-06
1.051473402829677e-06,6.486172643584121e-06
1.051664469470319e-06,6.471526941427408e-06
1.051917996018832e-06,6.468089657671258e-06
1.052278010943684e-06,6.466140435381455e-06
1.052844206481202e-06,6.464619098901989e-06
1.053884247723556e-06,6.46386288077886e-06
1.055964330208262e-06,6.464718182631506e-06
1.057982165104131e-06,6.46632145944432e-06
1.06e-06,6.467907674762974e-06
1.06003125e-06,6.475673857915058e-06
1.06008148879106e-06,6.481133540962034e-06
1.060181966373181e-06,7.01474600782837e-06
1.060207462733169e-06,8.815568813635726e-06
