delay (Vbp=0) X,delay (Vbp=0) Y,delay (Vbp=0.55) X,delay (Vbp=0.55) Y,delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y,delay (Vbp=2) X,delay (Vbp=2) Y
1.82e-06,8.166377144614477e-10,1.82e-06,1.206595738208071e-09,1.82e-06,1.616922824301444e-09,1.82e-06,1.849907756225449e-09,1.82e-06,2.100561445978415e-09
1.84e-06,8.282568055970816e-10,1.84e-06,1.222880831404156e-09,1.84e-06,1.636945332164296e-09,1.84e-06,1.87194935313235e-09,1.84e-06,2.123716832188501e-09
1.86e-06,8.394224301479257e-10,1.86e-06,1.238420117086198e-09,1.86e-06,1.655907452268525e-09,1.86e-06,1.892441220279295e-09,1.86e-06,2.1451792648508e-09
1.88e-06,8.511020189829437e-10,1.88e-06,1.254900677214034e-09,1.88e-06,1.675828505498252e-09,1.88e-06,1.914272103056015e-09,1.88e-06,2.168644818042544e-09
1.9e-06,8.62534663594352e-10,1.9e-06,1.271508881034437e-09,1.9e-06,1.695106668438881e-09,1.9e-06,1.935316126063919e-09,1.9e-06,2.191492751334588e-09
1.92e-06,8.741569030284032e-10,1.92e-06,1.287431088220226e-09,1.92e-06,1.714868955355744e-09,1.92e-06,1.956784321570779e-09,1.92e-06,2.214825712062228e-09
1.94e-06,8.855661554638892e-10,1.94e-06,1.302819296800276e-09,1.94e-06,1.733832903071193e-09,1.94e-06,1.977539069037139e-09,1.94e-06,2.237304238841646e-09
1.96e-06,8.988993685388014e-10,1.96e-06,1.321017414553598e-09,1.96e-06,1.756966903088635e-09,1.96e-06,2.001939735666204e-09,1.96e-06,2.263473973480243e-09
1.98e-06,9.104824457253767e-10,1.98e-06,1.336842844995892e-09,1.98e-06,1.776154224088717e-09,1.98e-06,2.023021489532785e-09,1.98e-06,2.28822330792365e-09
2e-06,9.225375955819177e-10,2e-06,1.352993977438482e-09,2e-06,1.796127761299939e-09,2e-06,2.04494341436631e-09,2e-06,2.311951243444864e-09
2.02e-06,9.34116679507928e-10,2.02e-06,1.368626029542085e-09,2.02e-06,1.814774776986361e-09,2.02e-06,2.065748366428136e-09,2.02e-06,2.334501059759462e-09
2.04e-06,9.469327817753227e-10,2.04e-06,1.385435701065235e-09,2.04e-06,1.835363799936707e-09,2.04e-06,2.088084098285414e-09,2.04e-06,2.358043081296107e-09
2.06e-06,9.585515958711758e-10,2.06e-06,1.401138377002997e-09,2.06e-06,1.8544866804145e-09,2.06e-06,2.109695541354394e-09,2.06e-06,2.380979259383684e-09
2.08e-06,9.704107595853011e-10,2.08e-06,1.417495079058311e-09,2.08e-06,1.8741718555764e-09,2.08e-06,2.131092978299377e-09,2.08e-06,2.403994102779125e-09
2.1e-06,9.821543154216541e-10,2.1e-06,1.432955929366875e-09,2.1e-06,1.893199920046461e-09,2.1e-06,2.151872607939524e-09,2.1e-06,2.426452677262411e-09
2.12e-06,9.953442945478819e-10,2.12e-06,1.450175146022876e-09,2.12e-06,1.914074611674232e-09,2.12e-06,2.175795541058619e-09,2.12e-06,2.452538804330056e-09
2.14e-06,1.007102136408772e-09,2.14e-06,1.466327207388902e-09,2.14e-06,1.933436754636967e-09,2.14e-06,2.19681290563752e-09,2.14e-06,2.475171631733442e-09
2.16e-06,1.019455676116215e-09,2.16e-06,1.484058255667195e-09,2.16e-06,1.953478105820588e-09,2.16e-06,2.218486969691471e-09,2.16e-06,2.499137418801143e-09
2.18e-06,1.031040879221312e-09,2.18e-06,1.499536169508992e-09,2.18e-06,1.972729204129069e-09,2.18e-06,2.239297451205113e-09,2.18e-06,2.521740664218758e-09
2.2e-06,1.043395590985428e-09,2.2e-06,1.515841500590129e-09,2.2e-06,1.992850790041178e-09,2.2e-06,2.261215493363814e-09,2.2e-06,2.545686894855894e-09
2.22e-06,1.055336288416509e-09,2.22e-06,1.531788244921074e-09,2.22e-06,2.012087447187019e-09,2.22e-06,2.282354391664315e-09,2.22e-06,2.568684401895188e-09
2.24e-06,1.067888300707893e-09,2.24e-06,1.547925092702442e-09,2.24e-06,2.031561727298336e-09,2.24e-06,2.303848990377801e-09,2.24e-06,2.591640649273664e-09
2.26e-06,1.079440764623738e-09,2.26e-06,1.563559146413323e-09,2.26e-06,2.05067717973532e-09,2.26e-06,2.324672702640153e-09,2.26e-06,2.613903470386822e-09
2.28e-06,1.089148121726029e-09,2.28e-06,1.578472460545268e-09,2.28e-06,2.069890181973694e-09,2.28e-06,2.347213791297892e-09,2.28e-06,2.638506988462969e-09
2.3e-06,1.101018186795346e-09,2.3e-06,1.594247930088586e-09,2.3e-06,2.08950207353405e-09,2.3e-06,2.36832896700573e-09,2.3e-06,2.661570304483561e-09
2.32e-06,1.11357519608067e-09,2.32e-06,1.610790429087267e-09,2.32e-06,2.109419872231144e-09,2.32e-06,2.390242069515177e-09,2.32e-06,2.685411502858604e-09
2.34e-06,1.126295565140326e-09,2.34e-06,1.62638002594376e-09,2.34e-06,2.128889299568591e-09,2.34e-06,2.411062705741085e-09,2.34e-06,2.707947548208632e-09
2.36e-06,1.138585998275697e-09,2.36e-06,1.643343555002917e-09,2.36e-06,2.149187224603822e-09,2.36e-06,2.433431425370234e-09,2.36e-06,2.732298706207285e-09
2.38e-06,1.15048909011534e-09,2.38e-06,1.659354052235606e-09,2.38e-06,2.168625764185717e-09,2.38e-06,2.454653843099311e-09,2.38e-06,2.755032344440141e-09
2.4e-06,1.163081787737796e-09,2.4e-06,1.676126097068299e-09,2.4e-06,2.188166247046743e-09,2.4e-06,2.475503401946339e-09,2.4e-06,2.77871271064196e-09
2.42e-06,1.174941139426013e-09,2.42e-06,1.691652023729543e-09,2.42e-06,2.207413997507211e-09,2.42e-06,2.496328709604537e-09,2.42e-06,2.801201894908481e-09
2.44e-06,1.188076232221666e-09,2.44e-06,1.70884798968579e-09,2.44e-06,2.228232735736869e-09,2.44e-06,2.518885480706051e-09,2.44e-06,2.826067143317346e-09
2.46e-06,1.201172161733446e-09,2.46e-06,1.724871590836462e-09,2.46e-06,2.248163392890289e-09,2.46e-06,2.540039823898295e-09,2.46e-06,2.848987253889287e-09
2.48e-06,1.213265712464259e-09,2.48e-06,1.741363326883512e-09,2.48e-06,2.268153339691349e-09,2.48e-06,2.561228348499862e-09,2.48e-06,2.872807320004368e-09
2.5e-06,1.22523170681409e-09,2.5e-06,1.75728745863573e-09,2.5e-06,2.287465803981208e-09,2.5e-06,2.583744232325356e-09,2.5e-06,2.895460221636151e-09
2.52e-06,1.2381083752887e-09,2.52e-06,1.774045327904696e-09,2.52e-06,2.30746071314351e-09,2.52e-06,2.60542185618838e-09,2.52e-06,2.919283901913853e-09
2.54e-06,1.250113894074035e-09,2.54e-06,1.791557377408189e-09,2.54e-06,2.327120963378104e-09,2.54e-06,2.626718404766417e-09,2.54e-06,2.943681955992397e-09
2.56e-06,1.263708255982614e-09,2.56e-06,1.807815784862219e-09,2.56e-06,2.346719515167393e-09,2.56e-06,2.648995493202425e-09,2.56e-06,2.967239949850223e-09
2.58e-06,1.275504754500413e-09,2.58e-06,1.823472685018827e-09,2.58e-06,2.366080628454822e-09,2.58e-06,2.669536291423967e-09,2.58e-06,2.990324992125278e-09
2.6e-06,1.289220493954261e-09,2.6e-06,1.84235037742676e-09,2.6e-06,2.388777240766499e-09,2.6e-06,2.694634209347964e-09,2.6e-06,3.014645950162118e-09
2.62e-06,1.301968434245908e-09,2.62e-06,1.85842653840187e-09,2.62e-06,2.408099062825787e-09,2.62e-06,2.71592102161261e-09,2.62e-06,3.037835334936265e-09
2.64e-06,1.314677402293483e-09,2.64e-06,1.874852186262335e-09,2.64e-06,2.428062370185837e-09,2.64e-06,2.739334270066013e-09,2.64e-06,3.062461675962345e-09
2.66e-06,1.326762660279505e-09,2.66e-06,1.890825609489292e-09,2.66e-06,2.447555569934866e-09,2.66e-06,2.759851153277002e-09,2.66e-06,3.085191417853268e-09
2.68e-06,1.339644293521412e-09,2.68e-06,1.907765153370475e-09,2.68e-06,2.467746143308311e-09,2.68e-06,2.781862360244199e-09,2.68e-06,3.109857834925814e-09
2.7e-06,1.351909853527759e-09,2.7e-06,1.923804332807079e-09,2.7e-06,2.488148125857864e-09,2.7e-06,2.803000934748129e-09,2.7e-06,3.132976754794737e-09
2.72e-06,1.364400019981577e-09,2.72e-06,1.94003205770417e-09,2.72e-06,2.507324179047841e-09,2.72e-06,2.824762430744355e-09,2.72e-06,3.158773651768036e-09
2.74e-06,1.376472238837494e-09,2.74e-06,1.955852295393177e-09,2.74e-06,2.526570088270853e-09,2.74e-06,2.845656649334715e-09,2.74e-06,3.181774202606743e-09
2.76e-06,1.389800415679649e-09,2.76e-06,1.973390485445979e-09,2.76e-06,2.547622143009971e-09,2.76e-06,2.868705997200228e-09,2.76e-06,3.205162925481848e-09
2.78e-06,1.402448270257907e-09,2.78e-06,1.989480106907723e-09,2.78e-06,2.56706048686449e-09,2.78e-06,2.889910045757616e-09,2.78e-06,3.22909208889871e-09
2.8e-06,1.415166888693939e-09,2.8e-06,2.006237677789608e-09,2.8e-06,2.587232786250483e-09,2.8e-06,2.911992879161327e-09,2.8e-06,3.252889761979165e-09
2.82e-06,1.427333722272474e-09,2.82e-06,2.021906811549603e-09,2.82e-06,2.606924509763001e-09,2.82e-06,2.93222572131544e-09,2.82e-06,3.27492968259222e-09
2.84e-06,1.439986011757468e-09,2.84e-06,2.038414990479248e-09,2.84e-06,2.62724096516093e-09,2.84e-06,2.954176978581353e-09,2.84e-06,3.298770484059646e-09
2.86e-06,1.453855723291725e-09,2.86e-06,2.054436014016848e-09,2.86e-06,2.647706382893651e-09,2.86e-06,2.975337382773247e-09,2.86e-06,3.321698998201856e-09
2.88e-06,1.466070550036149e-09,2.88e-06,2.070916819083862e-09,2.88e-06,2.667453511536239e-09,2.88e-06,2.997182563530488e-09,2.88e-06,3.345511294164921e-09
2.9e-06,1.477965742584767e-09,2.9e-06,2.08656169345813e-09,2.9e-06,2.686562181887077e-09,2.9e-06,3.017985844801196e-09,2.9e-06,3.369264513550113e-09
2.92e-06,1.489798287846321e-09,2.92e-06,2.102389298313653e-09,2.92e-06,2.705865205995131e-09,2.92e-06,3.039092149904291e-09,2.92e-06,3.391207383566636e-09
2.94e-06,1.501963705981068e-09,2.94e-06,2.118409538530958e-09,2.94e-06,2.725019334466246e-09,2.94e-06,3.060207619604428e-09,2.94e-06,3.414062030329469e-09
2.96e-06,1.514700244444962e-09,2.96e-06,2.135135041123305e-09,2.96e-06,2.745257460274998e-09,2.96e-06,3.083402948003762e-09,2.96e-06,3.437923849505852e-09
2.98e-06,1.526824094846887e-09,2.98e-06,2.150949583856898e-09,2.98e-06,2.763793158418535e-09,2.98e-06,3.104171722394527e-09,2.98e-06,3.460508546504113e-09
