"delay (b0=0,b1=0,b2=0,b3=0) X","delay (b0=0,b1=0,b2=0,b3=0) Y","delay (b0=0,b1=0,b2=0,b3=1) X","delay (b0=0,b1=0,b2=0,b3=1) Y","delay (b0=0,b1=0,b2=1,b3=0) X","delay (b0=0,b1=0,b2=1,b3=0) Y","delay (b0=0,b1=0,b2=1,b3=1) X","delay (b0=0,b1=0,b2=1,b3=1) Y","delay (b0=0,b1=1,b2=0,b3=0) X","delay (b0=0,b1=1,b2=0,b3=0) Y","delay (b0=0,b1=1,b2=0,b3=1) X","delay (b0=0,b1=1,b2=0,b3=1) Y","delay (b0=0,b1=1,b2=1,b3=0) X","delay (b0=0,b1=1,b2=1,b3=0) Y","delay (b0=0,b1=1,b2=1,b3=1) X","delay (b0=0,b1=1,b2=1,b3=1) Y","delay (b0=1,b1=0,b2=0,b3=0) X","delay (b0=1,b1=0,b2=0,b3=0) Y","delay (b0=1,b1=0,b2=0,b3=1) X","delay (b0=1,b1=0,b2=0,b3=1) Y","delay (b0=1,b1=0,b2=1,b3=0) X","delay (b0=1,b1=0,b2=1,b3=0) Y","delay (b0=1,b1=0,b2=1,b3=1) X","delay (b0=1,b1=0,b2=1,b3=1) Y","delay (b0=1,b1=1,b2=0,b3=0) X","delay (b0=1,b1=1,b2=0,b3=0) Y","delay (b0=1,b1=1,b2=0,b3=1) X","delay (b0=1,b1=1,b2=0,b3=1) Y","delay (b0=1,b1=1,b2=1,b3=0) X","delay (b0=1,b1=1,b2=1,b3=0) Y","delay (b0=1,b1=1,b2=1,b3=1) X","delay (b0=1,b1=1,b2=1,b3=1) Y"
2.14e-06,2.222224526752926e-09,2.14e-06,1.829131623808412e-09,2.14e-06,1.990171838933599e-09,2.14e-06,1.708200505643617e-09,2.14e-06,2.094873594326298e-09,2.14e-06,1.764634252614015e-09,2.14e-06,1.903376399601468e-09,2.14e-06,1.657503436886701e-09,2.14e-06,2.13912137825359e-09,2.14e-06,1.786872787467886e-09,2.14e-06,1.933436754636967e-09,2.14e-06,1.674551067013944e-09,2.14e-06,2.026658405162301e-09,2.14e-06,1.727684617819138e-09,2.14e-06,1.854804182974776e-09,2.14e-06,1.628445790506847e-09
2.16e-06,2.247256324335542e-09,2.16e-06,1.847394061023026e-09,2.16e-06,2.011121410097819e-09,2.16e-06,1.72447364436155e-09,2.16e-06,2.117794455872934e-09,2.16e-06,1.781810377673301e-09,2.16e-06,1.922832446143523e-09,2.16e-06,1.673104482844417e-09,2.16e-06,2.16329551891164e-09,2.16e-06,1.80438194786236e-09,2.16e-06,1.953478105820588e-09,2.16e-06,1.690455805812437e-09,2.16e-06,2.048520510794685e-09,2.16e-06,1.744260148748529e-09,2.16e-06,1.873492569284334e-09,2.16e-06,1.643704404292247e-09
2.18e-06,2.271113814612448e-09,2.18e-06,1.864689361696003e-09,2.18e-06,2.031301118921823e-09,2.18e-06,1.739838286134573e-09,2.18e-06,2.140583952137474e-09,2.18e-06,1.797981357238216e-09,2.18e-06,1.941345082572319e-09,2.18e-06,1.687890822369683e-09,2.18e-06,2.185164442507928e-09,2.18e-06,1.821036561214468e-09,2.18e-06,1.972729204129069e-09,2.18e-06,1.705488789514087e-09,2.18e-06,2.068993602828258e-09,2.18e-06,1.759922420008198e-09,2.18e-06,1.891261768730526e-09,2.18e-06,1.657851349282072e-09
2.2e-06,2.296301763118384e-09,2.2e-06,1.883060679738315e-09,2.2e-06,2.052399378380597e-09,2.2e-06,1.756096358951668e-09,2.2e-06,2.163635082348662e-09,2.2e-06,1.815218940935619e-09,2.2e-06,1.96116514348869e-09,2.2e-06,1.704423052288688e-09,2.2e-06,2.209682531676951e-09,2.2e-06,1.838674195002742e-09,2.2e-06,1.992850790041178e-09,2.2e-06,1.722236343349917e-09,2.2e-06,2.090924064311511e-09,2.2e-06,1.776657979127972e-09,2.2e-06,1.910032997734863e-09,2.2e-06,1.672969687992999e-09
2.22e-06,2.320641839358962e-09,2.22e-06,1.900689939119289e-09,2.22e-06,2.072786849989544e-09,2.22e-06,1.77182854989392e-09,2.22e-06,2.185366895945695e-09,2.22e-06,1.831757348041375e-09,2.22e-06,1.979798148624825e-09,2.22e-06,1.719316092128622e-09,2.22e-06,2.232090058083234e-09,2.22e-06,1.855622542975359e-09,2.22e-06,2.012087447187019e-09,2.22e-06,1.737361211030664e-09,2.22e-06,2.11186799469653e-09,2.22e-06,1.792638663962128e-09,2.22e-06,1.928108544458458e-09,2.22e-06,1.687534586588317e-09
2.24e-06,2.345610821647657e-09,2.24e-06,1.918674195845932e-09,2.24e-06,2.093242405407725e-09,2.24e-06,1.78786933449193e-09,2.24e-06,2.20781287008982e-09,2.24e-06,1.848670928557353e-09,2.24e-06,1.999016853801752e-09,2.24e-06,1.734524376692627e-09,2.24e-06,2.255396303182184e-09,2.24e-06,1.872904854067002e-09,2.24e-06,2.031561727298336e-09,2.24e-06,1.752831044901289e-09,2.24e-06,2.132962929981951e-09,2.24e-06,1.808922340140072e-09,2.24e-06,1.946527145033925e-09,2.24e-06,1.702341685638592e-09
2.26e-06,2.36962555514436e-09,2.26e-06,1.936008582384121e-09,2.26e-06,2.113342250031706e-09,2.26e-06,1.803203184192059e-09,2.26e-06,2.229487904853121e-09,2.26e-06,1.865001350118264e-09,2.26e-06,2.017764368874084e-09,2.26e-06,1.749178377929608e-09,2.26e-06,2.277936016588717e-09,2.26e-06,1.889595490286965e-09,2.26e-06,2.05067717973532e-09,2.26e-06,1.767742194243067e-09,2.26e-06,2.153860957864617e-09,2.26e-06,1.824680691861787e-09,2.26e-06,1.964271495767809e-09,2.26e-06,1.716630081584055e-09
2.28e-06,2.396644390553803e-09,2.28e-06,1.952945259276212e-09,2.28e-06,2.133810029772917e-09,2.28e-06,1.81772248614899e-09,2.28e-06,2.252486704214497e-09,2.28e-06,1.880775434695153e-09,2.28e-06,2.036310641647726e-09,2.28e-06,1.762675383208055e-09,2.28e-06,2.301616140480065e-09,2.28e-06,1.90593142244241e-09,2.28e-06,2.069890181973694e-09,2.28e-06,1.781620632033922e-09,2.28e-06,2.176538299531893e-09,2.28e-06,1.839589735877949e-09,2.28e-06,1.982265078614712e-09,2.28e-06,1.729572742015342e-09
2.3e-06,2.420854974246621e-09,2.3e-06,1.970422364688337e-09,2.3e-06,2.154245587130852e-09,2.3e-06,1.833323096861595e-09,2.3e-06,2.274388127064005e-09,2.3e-06,1.897323827683092e-09,2.3e-06,2.055050825548409e-09,2.3e-06,1.777544903449314e-09,2.3e-06,2.324530212659363e-09,2.3e-06,1.922829349396044e-09,2.3e-06,2.08950207353405e-09,2.3e-06,1.796793739413044e-09,2.3e-06,2.197481547426298e-09,2.3e-06,1.855586615937064e-09,2.3e-06,1.999797012125776e-09,2.3e-06,1.744111164514035e-09
2.32e-06,2.446045534297931e-09,2.32e-06,1.988729611947737e-09,2.32e-06,2.175176813304505e-09,2.32e-06,1.84962797772699e-09,2.32e-06,2.297306470485783e-09,2.32e-06,1.914487314649593e-09,2.32e-06,2.074369002694841e-09,2.32e-06,1.793028610950286e-09,2.32e-06,2.34825409306991e-09,2.32e-06,1.940448134188005e-09,2.32e-06,2.109419872231144e-09,2.32e-06,1.812583879536977e-09,2.32e-06,2.218966747114791e-09,2.32e-06,1.872262886455202e-09,2.32e-06,2.018554631519304e-09,2.32e-06,1.759188234083228e-09
2.34e-06,2.469958985333259e-09,2.34e-06,2.006147332559071e-09,2.34e-06,2.196690316059889e-09,2.34e-06,1.865077814888863e-09,2.34e-06,2.319130376564658e-09,2.34e-06,1.930694179186627e-09,2.34e-06,2.093142999112406e-09,2.34e-06,1.807697235725906e-09,2.34e-06,2.371394230108162e-09,2.34e-06,1.957142667078656e-09,2.34e-06,2.128889299568591e-09,2.34e-06,1.827394705514374e-09,2.34e-06,2.239693713364411e-09,2.34e-06,1.88799634736929e-09,2.34e-06,2.036896671025721e-09,2.34e-06,1.774546734243671e-09
2.36e-06,2.495773380990137e-09,2.36e-06,2.024779570181067e-09,2.36e-06,2.217982065791938e-09,2.36e-06,1.881681583583818e-09,2.36e-06,2.342597770202277e-09,2.36e-06,1.948141514309707e-09,2.36e-06,2.113122829399326e-09,2.36e-06,1.823337161361436e-09,2.36e-06,2.395524008797338e-09,2.36e-06,1.974957655559496e-09,2.36e-06,2.149187224603822e-09,2.36e-06,1.843442866717965e-09,2.36e-06,2.261651775245669e-09,2.36e-06,1.9049693356723e-09,2.36e-06,2.056041926282761e-09,2.36e-06,1.789801874823564e-09
2.38e-06,2.520175624012289e-09,2.38e-06,2.042397157409932e-09,2.38e-06,2.23838473655097e-09,2.38e-06,1.897371959833259e-09,2.38e-06,2.364756542125769e-09,2.38e-06,1.964716563393844e-09,2.38e-06,2.132010986119122e-09,2.38e-06,1.838219668378859e-09,2.38e-06,2.418239987267488e-09,2.38e-06,1.991702812347417e-09,2.38e-06,2.168625764185717e-09,2.38e-06,1.858617928008094e-09,2.38e-06,2.282762495423626e-09,2.38e-06,1.920967366853923e-09,2.38e-06,2.073885072721704e-09,2.38e-06,1.804210558618739e-09
2.4e-06,2.544950084393184e-09,2.4e-06,2.060475450122439e-09,2.4e-06,2.258901878029334e-09,2.4e-06,1.913425098400447e-09,2.4e-06,2.387466812804889e-09,2.4e-06,1.981699166631044e-09,2.4e-06,2.151086198953903e-09,2.4e-06,1.853434905861515e-09,2.4e-06,2.441916733846685e-09,2.4e-06,2.009001582292895e-09,2.4e-06,2.188166247046743e-09,2.4e-06,1.874145155461731e-09,2.4e-06,2.304026780975401e-09,2.4e-06,1.937180408272677e-09,2.4e-06,2.092055771895517e-09,2.4e-06,1.818948191960107e-09
2.42e-06,2.56898322473749e-09,2.42e-06,2.07798820887204e-09,2.42e-06,2.278994410011243e-09,2.42e-06,1.9286819113772e-09,2.42e-06,2.409245438778222e-09,2.42e-06,1.998049294930528e-09,2.42e-06,2.169890330906377e-09,2.42e-06,1.868048318059146e-09,2.42e-06,2.464370381832422e-09,2.42e-06,2.025707828549837e-09,2.42e-06,2.207413997507211e-09,2.42e-06,1.88906840767446e-09,2.42e-06,2.324849529148933e-09,2.42e-06,1.952845496423638e-09,2.42e-06,2.11002361524158e-09,2.42e-06,1.833105198844471e-09
2.44e-06,2.595585810833595e-09,2.44e-06,2.097068386369678e-09,2.44e-06,2.300791588180762e-09,2.44e-06,1.945555456400473e-09,2.44e-06,2.433160315617794e-09,2.44e-06,2.015977859744514e-09,2.44e-06,2.190268547034723e-09,2.44e-06,1.884161248681604e-09,2.44e-06,2.489342684420771e-09,2.44e-06,2.044067737253309e-09,2.44e-06,2.228232735736869e-09,2.44e-06,1.905526119232997e-09,2.44e-06,2.347382017662132e-09,2.44e-06,1.970114719193568e-09,2.44e-06,2.129795227877738e-09,2.44e-06,1.848722919617321e-09
2.46e-06,2.620044466118522e-09,2.46e-06,2.114616634444782e-09,2.46e-06,2.321241603142443e-09,2.46e-06,1.96111637287892e-09,2.46e-06,2.455022963349243e-09,2.46e-06,2.032589168219361e-09,2.46e-06,2.209220396056872e-09,2.46e-06,1.899057926053275e-09,2.46e-06,2.512420486544571e-09,2.46e-06,2.061057431498788e-09,2.46e-06,2.248163392890289e-09,2.46e-06,1.920682876589006e-09,2.46e-06,2.368388670067675e-09,2.46e-06,1.986115148161035e-09,2.46e-06,2.147663212297332e-09,2.46e-06,1.863161928078237e-09
2.48e-06,2.645555104716199e-09,2.48e-06,2.132940825092934e-09,2.48e-06,2.342158431853617e-09,2.48e-06,1.977404498454983e-09,2.48e-06,2.478078949800152e-09,2.48e-06,2.049846742626256e-09,2.48e-06,2.228632393516416e-09,2.48e-06,1.914524737606127e-09,2.48e-06,2.536377832539279e-09,2.48e-06,2.078678575460154e-09,2.48e-06,2.268153339691349e-09,2.48e-06,1.936391984253669e-09,2.48e-06,2.390032725959629e-09,2.48e-06,2.002754960011062e-09,2.48e-06,2.166376953441501e-09,2.48e-06,1.878119522315528e-09
2.5e-06,2.669719209660275e-09,2.5e-06,2.150314919248476e-09,2.5e-06,2.362376865220558e-09,2.5e-06,1.99284890628893e-09,2.5e-06,2.499923309813882e-09,2.5e-06,2.066279836573454e-09,2.5e-06,2.247245502769366e-09,2.5e-06,1.929008005048685e-09,2.5e-06,2.559466574198597e-09,2.5e-06,2.095385989700885e-09,2.5e-06,2.287465803981208e-09,2.5e-06,1.951194379394765e-09,2.5e-06,2.410989365444381e-09,2.5e-06,2.018498486515007e-09,2.5e-06,2.184280335647201e-09,2.5e-06,1.892082259714582e-09
