/out_DTC X,/out_DTC Y,/in_DTC X,/in_DTC Y,/V_ramp X,/V_ramp Y,/V_n X,/V_n Y,D X,D LogicBus
8.303480632734848e-07,0.001386276145639294,8.303480632734848e-07,0.334260798333423,8.303480632734848e-07,0.4910280676095136,8.303480632734848e-07,0.65001964323522,  ,  
8.303485197400893e-07,0.001414525129047815,8.303485197400893e-07,0.3332565718035884,8.303485197400893e-07,0.4910294835424552,8.303485197400893e-07,0.6500272253149965,  ,  
8.303490184230192e-07,0.001435554576384636,8.303490184230192e-07,0.3321594693576867,8.303490184230192e-07,0.4910225841030735,8.303490184230192e-07,0.6500347930916877,  ,  
8.303495733324511e-07,0.001451530681812849,8.303495733324511e-07,0.3309386686076152,8.303495733324511e-07,0.4910094866694577,8.303495733324511e-07,0.650045475076805,  ,  
8.303502136224614e-07,0.001466225496040858,8.303502136224614e-07,0.3295300305849352,8.303502136224614e-07,0.490993192011085,8.303502136224614e-07,0.6500646530558665,  ,  
8.303509912467269e-07,0.001485885139218184,8.303509912467269e-07,0.3278192572006784,8.303509912467269e-07,0.4909783308012846,8.303509912467269e-07,0.6501017058201841,  ,  
8.303518783652747e-07,0.001518335806950646,8.303518783652747e-07,0.3258675963957339,8.303518783652747e-07,0.490974561983086,8.303518783652747e-07,0.650165857115156,  ,  
8.303525273981275e-07,0.001552944461768666,8.303525273981275e-07,0.3244397241195012,8.303525273981275e-07,0.490984415940987,8.303525273981275e-07,0.6502301734990399,  ,  
8.303530346985967e-07,0.001588605018837551,8.303530346985967e-07,0.3233236630872585,8.303530346985967e-07,0.4910016414745414,8.303530346985967e-07,0.6502924794271985,  ,  
8.303534889061531e-07,0.001628264961956722,8.303534889061531e-07,0.3223244064632296,8.303534889061531e-07,0.4910254623829483,8.303534889061531e-07,0.6503583558316421,  ,  
8.303539200680549e-07,0.001673140064573978,8.303539200680549e-07,0.3213758502791533,8.303539200680549e-07,0.4910558589365668,8.303539200680549e-07,0.650429892709629,  ,  
8.303543573080123e-07,0.001725592789331872,8.303543573080123e-07,0.3204139223730117,8.303543573080123e-07,0.4910941124291315,8.303543573080123e-07,0.6505106473038236,  ,  
8.303548182660723e-07,0.00178755673746384,8.303548182660723e-07,0.3193998146408032,8.303548182660723e-07,0.4911415030303686,8.303548182660723e-07,0.6506030651773492,  ,  
8.303553094788428e-07,0.001859579639587081,8.303553094788428e-07,0.3183191465458741,8.303553094788428e-07,0.491198269206617,8.303553094788428e-07,0.6507072882949255,  ,  
8.303558121111702e-07,0.001937932163627144,8.303558121111702e-07,0.3172133554254174,8.303558121111702e-07,0.4912611488474382,8.303558121111702e-07,0.6508174105055495,  ,  
8.303564065351676e-07,0.002034886409361983,8.303564065351676e-07,0.3159056226313401,8.303564065351676e-07,0.4913399211461743,8.303564065351676e-07,0.6509495593914377,  ,  
