leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) X,leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) Y
6.749999999999999e-08,4.959785182224733e-06
6.750937499999998e-08,4.96146065478888e-06
6.752446047120813e-08,4.962707398718524e-06
6.755463141362441e-08,5.285672992954091e-06
6.756217571914906e-08,6.36877528896725e-06
6.75682302170686e-08,8.542104479303002e-06
6.75727577909363e-08,1.113485643407688e-05
6.757856833565635e-08,1.498217122577054e-05
6.758300235822835e-08,1.741354140288834e-05
6.7588027896968e-08,1.891052308235058e-05
6.759018033360676e-08,1.980217656108171e-05
6.759098079952307e-08,2.047804350049752e-05
6.759183050809506e-08,2.151344352871083e-05
6.759249423784845e-08,2.259456081278315e-05
6.759382169735521e-08,2.563850008578707e-05
6.759644185258762e-08,3.538854676010573e-05
6.759831109309719e-08,4.159252337460345e-05
6.760018033360676e-08,4.559660268967124e-05
6.76005627444338e-08,4.60630532497424e-05
6.760118558715834e-08,4.649204684185497e-05
6.760173796357559e-08,4.645012574233194e-05
6.760284271641009e-08,4.536127030882118e-05
6.760481255495111e-08,4.643160270680172e-05
6.760648677601561e-08,5.669642463399501e-05
6.760783065206561e-08,6.443842233282519e-05
6.76091596428629e-08,6.5783680199494e-05
6.761076777835521e-08,5.922297785253593e-05
