leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) X,leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) Y
2.414024827316876e-08,4.959741304571422e-06
2.55066421053338e-08,4.959750931744547e-06
2.77533210526669e-08,4.959764802399882e-06
3e-08,4.959776611697539e-06
3.003749999999999e-08,4.975825591237903e-06
3.004699855858074e-08,5.070426602607204e-06
3.006599567574223e-08,8.506285270315933e-06
3.00711868634683e-08,1.127665169825449e-05
3.007582570132059e-08,1.425508892671918e-05
3.008122102676466e-08,1.756162285282995e-05
3.008647189933651e-08,1.980570261949174e-05
3.009597532917808e-08,1.925688381408328e-05
3.009987781030362e-08,1.685983798602189e-05
3.010240789899508e-08,1.496592050101907e-05
3.010544273824561e-08,1.320123874958232e-05
3.010790708401938e-08,1.252824093682472e-05
3.011045269519921e-08,1.247478135399809e-05
3.011287326139571e-08,1.257444157281228e-05
3.011540440361181e-08,1.267052774865946e-05
3.011793537930769e-08,1.274280312163242e-05
3.012157304002336e-08,1.280945013911256e-05
3.01282756088082e-08,1.284640487433296e-05
3.014104706570089e-08,1.273555944044457e-05
3.015e-08,1.25743731162103e-05
3.01527354235765e-08,1.19520779792423e-05
3.015754860693467e-08,1.120564639464298e-05
3.016177000384689e-08,1.089329231463452e-05
3.017021279767131e-08,1.059438327801974e-05
3.017850915752416e-08,1.046284991155572e-05
3.019056928033661e-08,1.034879538004087e-05
3.020710504818778e-08,1.022287376304779e-05
3.023360867851229e-08,1.003198160039763e-05
3.028136741723668e-08,9.696876305881361e-06
3.037688489468546e-08,9.268412753954835e-06
3.041898434946337e-08,9.586968147012738e-06
3.04504984068719e-08,1.018987077143928e-05
3.04847046541871e-08,1.083272401703692e-05
3.05154225695405e-08,1.092073290039299e-05
3.052762240172879e-08,1.107062748387486e-05
3.053669598420139e-08,1.194298136631709e-05
3.054350613590748e-08,1.335570850550048e-05
3.055307648122565e-08,1.630577974836411e-05
3.056006816065783e-08,1.822337409147785e-05
3.056808417604601e-08,1.75696352200022e-05
3.057196499477564e-08,1.874834422854961e-05
3.057366948091474e-08,2.121550621417032e-05
3.05751867527991e-08,2.389024472195048e-05
3.057679869511547e-08,2.598782299515194e-05
3.057874457729849e-08,2.593714750701274e-05
3.058123670435842e-08,2.103232056806572e-05
3.058318252597577e-08,1.491973760257868e-05
3.058466749157481e-08,1.122448155634055e-05
3.058578585509912e-08,9.552738849357061e-06
3.058713737121248e-08,8.323205128236579e-06
3.058858013830504e-08,7.402454385831663e-06
3.058993072678531e-08,6.78582452690011e-06
3.059150557492769e-08,6.327137807496396e-06
3.059363944364727e-08,6.001702411147798e-06
3.059741116252755e-08,5.751291730883072e-06
3.060059839387931e-08,5.62404156298287e-06
3.060433007111675e-08,5.501995871643371e-06
3.060859620047745e-08,5.386593213576776e-06
3.061582697258053e-08,5.235026620452814e-06
3.062749974190524e-08,5.076986947868563e-06
3.064496677717025e-08,4.97972808281329e-06
3.066718451909656e-08,4.960573508753686e-06
3.068673471465037e-08,4.959839026421167e-06
3.070686985400195e-08,4.959765869119619e-06
3.073068970481181e-08,4.959751462938194e-06
3.077525172421948e-08,4.959749645886504e-06
3.085559843284151e-08,4.959750131460395e-06
3.098695753058233e-08,4.959750801583244e-06
3.121090303183626e-08,4.959752358524967e-06
3.165879403434414e-08,4.959755417523986e-06
3.255457603935988e-08,4.959761232639576e-06
3.434614004939137e-08,4.959771811720022e-06
3.75e-08,4.95978742174822e-06
3.7509375e-08,4.961501147678163e-06
3.752445302188326e-08,4.962733663903452e-06
3.755460906564977e-08,5.287315996418721e-06
3.756215054939745e-08,6.378138496380793e-06
3.756821003224114e-08,8.576598859966173e-06
3.757273846541614e-08,1.120653858563232e-05
3.757855393152904e-08,1.513552776732057e-05
3.758298699787671e-08,1.764634343987793e-05
3.758802722372444e-08,1.924317106013981e-05
3.75901803666531e-08,2.016985943746875e-05
3.759098082484999e-08,2.085269850559674e-05
3.759183072641349e-08,2.189031646688255e-05
3.759249423256882e-08,2.297372441637736e-05
3.759382124487947e-08,2.60409858441354e-05
3.759647526950078e-08,3.619974264450282e-05
3.759832781807694e-08,4.288367923443563e-05
3.76001803666531e-08,4.684418942186985e-05
3.760057146385624e-08,4.727987410380011e-05
3.760119201566789e-08,4.766456859002899e-05
3.760174280500153e-08,4.760934399326872e-05
3.76028443836688e-08,4.64982860437282e-05
3.760484885978048e-08,4.711297107663142e-05
3.760652098022206e-08,5.702287209850043e-05
3.760788396913627e-08,6.500107180874672e-05
3.760920346329787e-08,6.663120273381978e-05
3.761081840093714e-08,6.022817055695757e-05
3.761229930353028e-08,5.793570250776764e-05
3.761353975550592e-08,6.696306540147025e-05
3.76144572096102e-08,6.99888185217263e-05
3.761517822928561e-08,6.679499258782168e-05
3.761607015099686e-08,5.785308493609101e-05
3.76169084797632e-08,4.697973684210372e-05
3.761770337551184e-08,3.696018523678473e-05
3.761837702123057e-08,2.979270241925222e-05
3.761906854387638e-08,2.504286868316163e-05
3.761985217910571e-08,2.283282371994784e-05
