P_inst (ln_comp_coarse=2e-07) X,P_inst (ln_comp_coarse=2e-07) Y
2.536388041751302e-08,0.001079419329539744
2.536529957391258e-08,0.001093348439518953
2.536665128784675e-08,0.001151233057689304
2.536801871344587e-08,0.001251666828766898
2.536915986677076e-08,0.001349951275413358
2.537031810863916e-08,0.001443937565464331
2.537178946380456e-08,0.001536551878600095
2.537315573702524e-08,0.001586661723637027
2.537490414542385e-08,0.001600447285617855
2.537708353484059e-08,0.001564647154129266
2.537894557228756e-08,0.001512275225685452
2.538096513648749e-08,0.001454272112071538
2.538317459592422e-08,0.00141920862471759
2.538552042905762e-08,0.001458544493360807
2.538783678835764e-08,0.001588573892211597
2.538992088644445e-08,0.001747958258635863
2.539196307231293e-08,0.001900396636028465
2.539400626685282e-08,0.002018356648834454
2.539599676051066e-08,0.002081080658583168
2.539916450533286e-08,0.00205927275829893
2.540155706729475e-08,0.00196626073947325
2.540486064892381e-08,0.001792552891863272
2.540776216199349e-08,0.001625829757616181
2.541054658487455e-08,0.001463863781129954
2.541558960066378e-08,0.001186836530764923
2.542035811642393e-08,0.001023429540976253
2.542616332137118e-08,0.001100878789848456
2.54309725201809e-08,0.001317490635307515
2.543693094424499e-08,0.001548632349211675
2.544133718186246e-08,0.001600016348946504
2.544497706615383e-08,0.001537530378202922
2.54486763282419e-08,0.001389089833967039
2.545253648536477e-08,0.001193999390596831
2.54563433215785e-08,0.001002415428289602
2.546003185443046e-08,0.0008315801188514445
2.546414733732895e-08,0.0006627375687576251
2.54688754341766e-08,0.0005002648087811397
2.547449502205425e-08,0.0003528947759003576
2.548031555025139e-08,0.0002477744226500296
2.548612912592518e-08,0.000180293706176311
2.549308035089488e-08,0.0001326629861838608
2.55e-08,0.0001068044992845417
2.550387229328536e-08,9.851090561853144e-05
2.551161687985608e-08,8.716086602243847e-05
2.551786795353689e-08,8.197410848081444e-05
2.552821391785853e-08,7.697112818133586e-05
2.553997807172143e-08,7.363648432386996e-05
2.555354121069513e-08,7.088909220317366e-05
2.557061043295541e-08,6.804832475933983e-05
2.559011919239805e-08,6.522510440876265e-05
2.561952701305468e-08,6.156768012728972e-05
2.565366029851266e-08,5.80550996212678e-05
2.571249760864964e-08,5.343155151609713e-05
2.579182593220475e-08,4.9244770023077e-05
2.595048257931496e-08,4.487456542490493e-05
2.617276021558346e-08,4.272120534835269e-05
2.643633147174216e-08,4.205246848892371e-05
2.674493115734174e-08,4.188813886607896e-05
2.712534449728817e-08,4.185575253262595e-05
2.762055722290866e-08,4.185074943823209e-05
2.830295712789877e-08,4.184947996962767e-05
2.93115395723187e-08,4.184861862871236e-05
3e-08,4.184826936020485e-05
3.004425495070283e-08,4.184837445811333e-05
3.011336422801707e-08,4.18560969612756e-05
3.021303473829244e-08,4.423684165027978e-05
3.023510307315637e-08,4.659325988496138e-05
3.024944470029159e-08,4.800265437576183e-05
3.0266943723679e-08,4.878242410885641e-05
3.028279129438039e-08,6.014490552996844e-05
3.029146697521878e-08,7.781001462463347e-05
3.03008398567427e-08,8.944757768078151e-05
3.030872931022392e-08,9.109289075005866e-05
3.03107523820149e-08,9.708957852638174e-05
3.031236662761352e-08,0.0001047728285552394
3.031435166980273e-08,0.0001140842258770407
3.031611927740539e-08,0.0001206875407394286
3.031819134598699e-08,0.0001461079791945003
3.0319945672956e-08,0.0001714843054284154
3.032154531426557e-08,0.0001812506864378449
3.032278337010953e-08,0.0001866149927779144
3.032413567287961e-08,0.0002111353147472589
3.032564367973242e-08,0.0002653221003558913
3.032700136369077e-08,0.0003198625059574025
3.03287380584314e-08,0.0003695764798935409
3.033033669735824e-08,0.0003943865690855226
3.033202378800793e-08,0.0004091734912101759
3.033366964153851e-08,0.0004044236146590654
3.033484706167708e-08,0.000394041720267104
3.033588126056483e-08,0.0003849462452185859
3.033725152550162e-08,0.0003727388820066517
3.033843764544551e-08,0.0003612449444948289
3.033959093854285e-08,0.0003495575522333783
3.03410473024285e-08,0.0003339593397520367
3.034396003019979e-08,0.0003087683911760239
3.034759124384255e-08,0.0003189019792267024
3.035037463738757e-08,0.0003434554238386453
3.035276053957943e-08,0.0003535612720485923
3.03550314583288e-08,0.0003448199999910422
3.035771690780918e-08,0.0003150638259510425
3.035978419940658e-08,0.0003944250572295262
3.036128079566369e-08,0.0005064209209009
3.036309669378048e-08,0.0006233326458110358
3.036484959691495e-08,0.000691778402193857
3.036624453406866e-08,0.0007149135151438531
3.036764872368508e-08,0.0007192258896967814
3.036896578540021e-08,0.0007136713198896906
3.03700985868929e-08,0.0007051905066782088
3.037117381655011e-08,0.0006950801023415205
3.037212371032492e-08,0.0006852787932958448
3.03729887787695e-08,0.0006758427624765762
3.037377881180687e-08,0.0006671766032542179
3.037450819045609e-08,0.000659022305205192
3.037519499883217e-08,0.000651526473899485
3.037585184263069e-08,0.0006442810641327141
3.037648407481915e-08,0.000637597445237451
3.037708970973894e-08,0.0006311237837678906
3.037766209928697e-08,0.0006253407250690203
3.037819827325432e-08,0.0006198165042583424
3.037870174429989e-08,0.0006149697916100165
3.037918252521651e-08,0.0006101776118434308
3.037965399262007e-08,0.0006058395330676511
3.038012697611111e-08,0.0006012709765036247
3.038060289470256e-08,0.0005970639225550653
3.038107566004954e-08,0.0005926355405374739
3.038154291066113e-08,0.0005886565050024559
3.038201242825289e-08,0.000584378627241106
3.038250223568511e-08,0.0005803368047181402
3.03830388530965e-08,0.0005756029342431633
3.03836498949367e-08,0.0005706818737809298
3.038435169615489e-08,0.0005647375853897869
3.038515173046755e-08,0.0005584694864228829
3.038606818709317e-08,0.0005510436250298521
3.03871419194327e-08,0.0005429104253521902
3.038845127756389e-08,0.0005328355408696673
3.039014512429316e-08,0.0005205604050959953
3.039252408642393e-08,0.0005035295408116255
3.039592547000847e-08,0.0004807556936854926
3.040033048048025e-08,0.0004527610989721198
3.040599990298827e-08,0.0004199264399898704
3.041308460016379e-08,0.0003826243288401222
3.042208132441535e-08,0.0003413742678060254
3.043305717866895e-08,0.0002984096631127039
3.044683522822685e-08,0.0002546595713068579
3.046363217575868e-08,0.0002129693547832037
3.048442521354584e-08,0.0001750664730352334
3.05e-08,0.0001538158272258555
3.051017232699363e-08,0.0001429851915273238
3.052281233132945e-08,0.0001311929583097552
3.053466637331883e-08,0.000122069228063367
3.05583744572976e-08,0.0001081510455918433
3.060579062525513e-08,9.16665189389972e-05
3.068972174441426e-08,7.936815247529715e-05
3.077998543552638e-08,7.331446224105229e-05
3.088322400539937e-08,6.818566751305836e-05
3.100355415372482e-08,6.305995598970917e-05
3.117174356975416e-08,5.70724299473661e-05
3.14263224047718e-08,5.038689176498138e-05
3.191412173766544e-08,4.363704910730291e-05
3.26063922806708e-08,4.092725499571826e-05
3.32920270818788e-08,4.051487464264643e-05
3.347106298692016e-08,4.049072131252814e-05
3.382913479700289e-08,4.046723384065026e-05
3.454527841716834e-08,4.045590103223499e-05
3.486137309011533e-08,4.045517054584551e-05
3.501942042658883e-08,4.045501288220175e-05
3.509844409482557e-08,4.045496210726703e-05
3.525649143129907e-08,4.045488512260388e-05
3.527360895408923e-08,4.045518730377844e-05
3.528543312028928e-08,4.045898075962954e-05
3.529167440627366e-08,4.047517719883182e-05
3.530049458872029e-08,4.0787478992685e-05
3.53073774078473e-08,4.921045297350472e-05
3.531384249725502e-08,0.0001387321710224254
3.53185102427929e-08,0.0002303122290227652
3.5321879785549e-08,0.0002631090538365028
3.532315522922693e-08,0.0003242342401759309
3.532433390537221e-08,0.0004190427619859199
3.53255954789889e-08,0.0005301191184722592
3.53269064723477e-08,0.0006025721978569433
3.532796770613322e-08,0.0006478423825210203
3.53291589614405e-08,0.0007281400530595556
3.53301333689212e-08,0.0007775583108117065
3.533106749892192e-08,0.0007865721647387586
3.533182800686586e-08,0.0007706069511635913
3.533279271556419e-08,0.0007302566125120956
3.533371941081435e-08,0.0006581974757947134
3.533456035568473e-08,0.0005864291803586348
3.533515014734819e-08,0.0005389647312796122
3.533595802208844e-08,0.0004814071121722822
3.533676733550158e-08,0.0004341919467888842
