delay X,delay Y
2.02e-06,1.974126503848896e-09
2.04e-06,1.975000487186582e-09
2.06e-06,1.975966311434249e-09
2.08e-06,1.97688776341215e-09
2.1e-06,1.97047185357714e-09
2.12e-06,1.970279688009982e-09
2.14e-06,1.971132486349698e-09
2.16e-06,1.972038864538625e-09
2.18e-06,1.972975715176666e-09
2.2e-06,1.973968866486004e-09
2.22e-06,1.974920663082249e-09
2.24e-06,1.975931780601253e-09
2.26e-06,1.97692785090566e-09
2.28e-06,1.977912703856559e-09
2.3e-06,1.97891960349939e-09
2.32e-06,1.979941843016504e-09
2.34e-06,1.980961717247721e-09
2.36e-06,1.981949623741879e-09
2.38e-06,1.982962546466952e-09
2.4e-06,1.984004703535537e-09
2.42e-06,1.983972200797983e-09
2.44e-06,1.984981524013553e-09
2.46e-06,1.985973354823206e-09
2.48e-06,1.98697719799949e-09
2.5e-06,1.987966225228121e-09
2.52e-06,1.988961186793614e-09
2.54e-06,1.989960768262233e-09
2.56e-06,1.990937165427085e-09
2.58e-06,1.991907500997455e-09
2.6e-06,1.992916489110051e-09
2.62e-06,1.993851429985271e-09
2.64e-06,1.994810104489112e-09
2.66e-06,1.995800425579517e-09
2.68e-06,1.996744366053066e-09
2.7e-06,1.997683918519829e-09
2.72e-06,1.998622225049371e-09
2.74e-06,1.991923824696211e-09
2.76e-06,1.991706827656799e-09
2.78e-06,1.992573044258702e-09
2.8e-06,1.993461561848737e-09
2.82e-06,1.994415886323266e-09
2.84e-06,1.995390294782242e-09
2.86e-06,1.9963401518782e-09
2.88e-06,1.997331077918924e-09
2.9e-06,1.998350842232639e-09
2.92e-06,1.999338192688259e-09
2.94e-06,2.00035918086907e-09
2.96e-06,2.001409164595832e-09
2.98e-06,2.002425459865336e-09
3e-06,2.003386971320402e-09
3.02e-06,2.004400433432545e-09
3.04e-06,2.005418460484286e-09
3.06e-06,2.005417396327449e-09
3.08e-06,2.006447799078417e-09
3.1e-06,2.007423815138966e-09
3.12e-06,2.008426171356462e-09
3.14e-06,2.009421571743482e-09
3.16e-06,2.010411942449254e-09
3.18e-06,2.011412597859538e-09
3.2e-06,2.012409673463955e-09
3.22e-06,2.013366846397271e-09
3.24e-06,2.014342913770807e-09
3.26e-06,2.015331617048111e-09
3.28e-06,2.016273272183639e-09
3.3e-06,2.017264109584796e-09
3.32e-06,2.018245837728044e-09
3.34e-06,2.019170428550541e-09
3.36e-06,2.020100273739746e-09
3.38e-06,2.0136006922421e-09
3.4e-06,2.013433201676265e-09
3.42e-06,2.014278309278233e-09
3.44e-06,2.015243580269658e-09
3.46e-06,2.016161577698847e-09
3.48e-06,2.017110234546009e-09
3.5e-06,2.018080180666612e-09
3.52e-06,2.019071847173379e-09
3.54e-06,2.020075258022165e-09
3.56e-06,2.021085221666291e-09
3.58e-06,2.022124175456882e-09
3.6e-06,2.023160018017712e-09
3.62e-06,2.02416704450409e-09
3.64e-06,2.025184908415589e-09
3.66e-06,2.026157477639327e-09
3.68e-06,2.027197558349946e-09
3.7e-06,2.02718480811152e-09
3.72e-06,2.028184163129371e-09
3.74e-06,2.029185923251921e-09
3.76e-06,2.030210003274147e-09
3.78e-06,2.03121602900854e-09
3.8e-06,2.032180429584958e-09
3.82e-06,2.033182363941452e-09
3.84e-06,2.034203585819798e-09
3.86e-06,2.035137800505088e-09
3.88e-06,2.036116403175332e-09
3.9e-06,2.037090746814584e-09
3.92e-06,2.038053462082759e-09
3.94e-06,2.039040695229231e-09
3.96e-06,2.039997167596112e-09
3.98e-06,2.040938391641471e-09
4e-06,2.041879508259204e-09
4.02e-06,2.035081006784206e-09
4.04e-06,2.034931578885785e-09
4.06e-06,2.035758043409081e-09
4.08e-06,2.036725748807156e-09
4.1e-06,2.037688226140643e-09
4.12e-06,2.038649463247669e-09
4.14e-06,2.039580162397985e-09
4.16e-06,2.040565720906899e-09
4.18e-06,2.04157441320581e-09
4.2e-06,2.042571784990839e-09
4.22e-06,2.043587726431202e-09
4.24e-06,2.044602796198827e-09
4.26e-06,2.045661825241355e-09
4.28e-06,2.046635778668267e-09
4.3e-06,2.047652119540771e-09
4.32e-06,2.048681433608817e-09
4.34e-06,2.048666348202447e-09
4.36e-06,2.049752612744571e-09
4.38e-06,2.050748474346058e-09
4.4e-06,2.051770497263082e-09
4.42e-06,2.05273304168233e-09
4.44e-06,2.053699895601143e-09
4.46e-06,2.054676540788942e-09
4.48e-06,2.055661843977023e-09
4.5e-06,2.056642702804651e-09
4.52e-06,2.057665279731338e-09
4.54e-06,2.058663557661112e-09
4.56e-06,2.05957771115812e-09
4.58e-06,2.060550965222944e-09
4.6e-06,2.061523983315306e-09
4.62e-06,2.062442166371744e-09
4.64e-06,2.063392265376686e-09
4.66e-06,2.056924111111616e-09
4.68e-06,2.056774858939456e-09
4.7e-06,2.05764429117237e-09
4.72e-06,2.058564267064107e-09
4.74e-06,2.059529226839703e-09
4.76e-06,2.060458928762288e-09
4.78e-06,2.061475184284073e-09
4.8e-06,2.062420138895517e-09
4.82e-06,2.063444306669569e-09
4.84e-06,2.064436076753648e-09
4.86e-06,2.065446802230344e-09
4.88e-06,2.066467903750485e-09
4.9e-06,2.067484061327554e-09
4.919999999999999e-06,2.068501163300708e-09
4.94e-06,2.069522769222699e-09
4.96e-06,2.070540829967969e-09
4.98e-06,2.070532258436602e-09
5e-06,2.071546369922741e-09
5.02e-06,2.072552584306809e-09
5.04e-06,2.073561870260097e-09
5.06e-06,2.074560187290939e-09
5.08e-06,2.075610116864281e-09
5.099999999999999e-06,2.076553039572304e-09
5.12e-06,2.077538851881864e-09
5.14e-06,2.078522001169871e-09
5.16e-06,2.079566762868229e-09
5.18e-06,2.08053327415275e-09
5.2e-06,2.081492014063965e-09
5.22e-06,2.082464845659372e-09
5.24e-06,2.083377085288198e-09
5.26e-06,2.084303031819233e-09
5.28e-06,2.085277331446933e-09
5.3e-06,2.078421991869511e-09
5.32e-06,2.078284410828916e-09
5.34e-06,2.079111701645713e-09
5.36e-06,2.080037223711631e-09
5.38e-06,2.080985965415028e-09
5.4e-06,2.081834159382262e-09
5.42e-06,2.082988603795851e-09
5.44e-06,2.083953193089251e-09
5.46e-06,2.084942625725425e-09
5.48e-06,2.085949543513028e-09
5.5e-06,2.086965593926423e-09
5.52e-06,2.087986574802546e-09
5.539999999999999e-06,2.089011439760466e-09
5.56e-06,2.090019495641818e-09
5.58e-06,2.091039579970248e-09
5.6e-06,2.092095618687565e-09
5.62e-06,2.092053340315254e-09
5.64e-06,2.093064670535083e-09
5.66e-06,2.094149948508988e-09
5.68e-06,2.095074192887152e-09
5.7e-06,2.096145876550283e-09
5.72e-06,2.097095671229044e-09
5.74e-06,2.09811044360123e-09
5.76e-06,2.099058472685054e-09
5.78e-06,2.100052030079134e-09
5.8e-06,2.10102393519753e-09
5.82e-06,2.10199790771114e-09
5.84e-06,2.102987841193858e-09
5.86e-06,2.103996512897993e-09
5.88e-06,2.104756610157985e-09
5.9e-06,2.105844832519098e-09
5.92e-06,2.106800860486471e-09
5.94e-06,2.100135474164447e-09
5.96e-06,2.099795942667123e-09
5.979999999999999e-06,2.100825956120735e-09
6e-06,2.101795629203862e-09
6.02e-06,2.102705403283017e-09
6.04e-06,2.103555838435718e-09
6.06e-06,2.104648678146069e-09
6.08e-06,2.105509591164e-09
6.1e-06,2.106696611584827e-09
6.12e-06,2.107674383022565e-09
6.14e-06,2.108691852300407e-09
6.159999999999999e-06,2.109747092598016e-09
6.18e-06,2.110584684242504e-09
6.2e-06,2.11174520455011e-09
6.22e-06,2.112804355648296e-09
6.24e-06,2.113674177703435e-09
6.26e-06,2.113780329786111e-09
6.28e-06,2.114816879242638e-09
6.3e-06,2.115805098185435e-09
6.32e-06,2.116802679314026e-09
6.34e-06,2.117817942819278e-09
6.36e-06,2.11881270572265e-09
6.38e-06,2.119681967481695e-09
6.4e-06,2.120792500979455e-09
6.42e-06,2.121769121912483e-09
6.44e-06,2.122616504628145e-09
6.46e-06,2.123734390320248e-09
6.48e-06,2.124579504122854e-09
6.5e-06,2.125667924044872e-09
6.52e-06,2.126629091743135e-09
6.54e-06,2.127589039160252e-09
6.56e-06,2.128548148066585e-09
6.58e-06,2.121657681290181e-09
6.599999999999999e-06,2.121335627812661e-09
6.62e-06,2.122349034113404e-09
6.64e-06,2.123164155852886e-09
6.66e-06,2.124220771762597e-09
6.68e-06,2.125024885478762e-09
6.7e-06,2.126047552571256e-09
6.72e-06,2.127161650500884e-09
6.74e-06,2.128063787155761e-09
6.76e-06,2.129191026321812e-09
6.78e-06,2.130064269090856e-09
6.8e-06,2.131127371177136e-09
6.82e-06,2.132126048972558e-09
6.84e-06,2.133267138293141e-09
6.86e-06,2.134289688701096e-09
6.88e-06,2.135181986759607e-09
6.9e-06,2.135191176904327e-09
6.92e-06,2.136317639439424e-09
6.94e-06,2.137331003121936e-09
6.96e-06,2.138229554411256e-09
6.98e-06,2.139342404265303e-09
7e-06,2.140340163877859e-09
7.02e-06,2.141333658748121e-09
7.04e-06,2.14232563535838e-09
7.06e-06,2.143328254275296e-09
7.08e-06,2.144280571666902e-09
7.1e-06,2.145269123818591e-09
7.12e-06,2.146238712011336e-09
7.14e-06,2.147203828354934e-09
7.16e-06,2.148161955442789e-09
7.18e-06,2.149124083919504e-09
7.2e-06,2.149939569410088e-09
7.219999999999999e-06,2.143498465800686e-09
7.24e-06,2.14332032765821e-09
7.26e-06,2.144044392735801e-09
7.28e-06,2.145018946254518e-09
7.3e-06,2.146071017780602e-09
7.32e-06,2.14694302067296e-09
7.34e-06,2.148028419114138e-09
7.36e-06,2.149024588934374e-09
7.38e-06,2.150036946651684e-09
