Point,Corner,d0,d2,d1,d3,d4,mc_iteration,delay,P_avg,P_out
184,tt_mc,0,1,0,0,0,4,9.9145E-09,9.19175E-07,2.48175E-08
424,tt_mc,1,0,1,0,0,4,9.59343E-09,9.141E-07,3.47454E-08
104,tt_mc,0,0,1,0,0,4,9.27675E-09,9.06027E-07,3.07701E-08
344,tt_mc,1,0,0,0,0,4,8.96181E-09,9.29969E-07,3.45406E-08
604,tt_mc,1,1,1,1,1,4,8.64886E-09,8.07579E-07,2.33815E-08
24,tt_mc,0,0,0,0,0,4,8.64881E-09,8.07613E-07,2.79344E-08
284,tt_mc,0,1,1,1,1,4,8.3427E-09,9.26398E-07,3.17456E-08
524,tt_mc,1,1,0,1,1,4,8.02881E-09,8.61289E-07,2.78357E-08
204,tt_mc,0,1,0,1,1,4,7.72474E-09,9.17973E-07,3.97327E-08
444,tt_mc,1,0,1,1,1,4,7.42434E-09,9.23443E-07,3.62922E-08
124,tt_mc,0,0,1,1,1,4,7.12389E-09,9.44403E-07,4.08727E-08
364,tt_mc,1,0,0,1,1,4,6.82022E-09,9.19191E-07,3.96639E-08
44,tt_mc,0,0,0,1,1,4,6.53896E-09,9.61005E-07,4.44533E-08
564,tt_mc,1,1,1,0,1,4,6.23534E-09,8.92291E-07,4.09139E-08
244,tt_mc,0,1,1,0,1,4,5.94219E-09,7.7738E-07,2.17023E-08
484,tt_mc,1,1,0,0,1,4,5.66189E-09,8.4298E-07,3.72434E-08
164,tt_mc,0,1,0,0,1,4,5.3625E-09,8.59721E-07,4.03229E-08
404,tt_mc,1,0,1,0,1,4,5.07449E-09,9.2884E-07,4.2188E-08
84,tt_mc,0,0,1,0,1,4,4.78912E-09,8.59902E-07,3.83699E-08
324,tt_mc,1,0,0,0,1,4,4.49978E-09,9.11643E-07,2.70569E-08
4,tt_mc,0,0,0,0,1,4,4.16057E-09,8.41032E-07,3.38369E-08
625,tt_mc,1,1,1,1,0,5,1.3388E-08,9.07671E-07,1.87181E-08
305,tt_mc,0,1,1,1,0,5,1.30825E-08,8.60479E-07,1.29803E-08
545,tt_mc,1,1,0,1,0,5,1.27717E-08,8.68339E-07,1.91841E-08
225,tt_mc,0,1,0,1,0,5,1.24605E-08,8.48026E-07,1.88865E-08
465,tt_mc,1,0,1,1,0,5,1.21565E-08,8.55187E-07,1.22289E-08
145,tt_mc,0,0,1,1,0,5,1.18399E-08,8.49332E-07,1.9252E-08
385,tt_mc,1,0,0,1,0,5,1.1524E-08,8.7493E-07,1.95376E-08
65,tt_mc,0,0,0,1,0,5,1.11976E-08,8.41079E-07,1.8977E-08
585,tt_mc,1,1,1,0,0,5,1.0884E-08,9.23296E-07,2.60063E-08
265,tt_mc,0,1,1,0,0,5,1.0558E-08,9.05819E-07,2.92481E-08
505,tt_mc,1,1,0,0,0,5,1.02304E-08,8.51484E-07,2.18137E-08
