P_inst (trise=5e-10) X,P_inst (trise=5e-10) Y
2.52922357347538e-08,-1.07432717437159e-05
2.529226077709308e-08,-1.655659737497872e-05
2.529228745216197e-08,-1.231629256353961e-05
2.529231844613572e-08,-1.77360894389615e-05
2.529234365645361e-08,-1.126075865455046e-05
2.529236711099882e-08,-1.622780432687225e-05
2.529239199962785e-08,-1.150702715080496e-05
2.529242238679394e-08,-1.799770188961301e-05
2.529244913542074e-08,-1.225470797226908e-05
2.529247601986823e-08,-1.650158252578035e-05
2.529250189670877e-08,-1.106104492054377e-05
2.52925267444901e-08,-1.732592918249822e-05
2.529255053432204e-08,-1.273017666063882e-05
2.529257570917176e-08,-1.753576773785421e-05
2.529260317168657e-08,-1.117652683972421e-05
2.529263312053991e-08,-1.663378833209927e-05
2.529265889993094e-08,-1.228523083369491e-05
2.529268290564071e-08,-1.81245853302316e-05
2.529270814497946e-08,-1.199870939059644e-05
2.529274023892341e-08,-1.646883811300676e-05
2.529276709116238e-08,-1.16567331774573e-05
2.529279576283124e-08,-1.799473209474849e-05
2.529283023141778e-08,-1.252324165894094e-05
2.529285732940058e-08,-1.676283088523708e-05
2.52928832683853e-08,-1.136970099524454e-05
2.52929092215216e-08,-1.756622006553784e-05
2.529293382305697e-08,-1.297447009635075e-05
2.529295967068029e-08,-1.765518292275522e-05
2.529298843199204e-08,-1.143737220622739e-05
2.52930181147652e-08,-1.697282693453087e-05
2.529304506523696e-08,-1.266722063183353e-05
2.529307087384346e-08,-1.824340696521983e-05
2.529309667618824e-08,-1.207584702999585e-05
2.529312281082242e-08,-1.675359015111163e-05
2.529314924570665e-08,-1.195438124435706e-05
2.529317816925374e-08,-1.831494424816224e-05
2.529320915355708e-08,-1.272797281768982e-05
2.529323650125258e-08,-1.714600382110059e-05
2.529326301914263e-08,-1.160025862735473e-05
2.529328923405181e-08,-1.791148279057917e-05
2.529331461654895e-08,-1.311346992437859e-05
2.529334101414707e-08,-1.796298361522482e-05
2.529337085057002e-08,-1.165996291461769e-05
2.529340077678641e-08,-1.735670343570142e-05
2.529342872167892e-08,-1.301506303473132e-05
2.529345652553956e-08,-1.841697126647231e-05
2.529348311550548e-08,-1.219343824166162e-05
2.529350804877026e-08,-1.707729617884816e-05
2.52935344422883e-08,-1.240708591007145e-05
2.529356637295306e-08,-1.866105384530082e-05
2.529359493960033e-08,-1.286331420316396e-05
2.529362439727782e-08,-1.729358583963343e-05
2.529366024332801e-08,-1.230930251676095e-05
2.529368890233688e-08,-1.858700297337782e-05
2.529371811664484e-08,-1.322721398496883e-05
2.52937458700664e-08,-1.761763216899458e-05
2.529377169655594e-08,-1.202966118355968e-05
2.529379842241986e-08,-1.811447643665994e-05
2.529383559076315e-08,-1.354198686621248e-05
2.529386347378407e-08,-1.813404012076284e-05
2.529389785099867e-08,-1.211923130610755e-05
2.529392914626697e-08,-1.815864623723733e-05
2.529396196250495e-08,-1.360331043694811e-05
2.529399489633418e-08,-1.843320279661046e-05
2.529402643905524e-08,-1.221617575580917e-05
2.529406091383149e-08,-1.822151431399623e-05
2.529409176073558e-08,-1.371172803140358e-05
2.52941275585689e-08,-1.855326953850574e-05
2.529415826058521e-08,-1.245014484273384e-05
2.529419537211465e-08,-1.821780997071815e-05
2.529422602571209e-08,-1.390970854108718e-05
2.529426428368379e-08,-1.858273874385729e-05
2.529429520389989e-08,-1.269182451445355e-05
2.529433374500356e-08,-1.831982118477675e-05
2.529436510890493e-08,-1.416711880997196e-05
2.529440296634242e-08,-1.860005890820799e-05
2.529443458418441e-08,-1.293396406230173e-05
2.529447168553989e-08,-1.840984571302789e-05
2.529450349672768e-08,-1.440754463904365e-05
2.529454002854425e-08,-1.861605905360572e-05
2.529457206031247e-08,-1.317267052049349e-05
2.529460810549138e-08,-1.846651909886307e-05
2.529464020798306e-08,-1.465688829343169e-05
2.52946760930735e-08,-1.867286140698968e-05
2.529470827866342e-08,-1.345840417573542e-05
2.52947441930909e-08,-1.854639838567296e-05
2.5294776568521e-08,-1.493699241508962e-05
2.52948123719104e-08,-1.872331280303661e-05
2.529484486569139e-08,-1.374476597459616e-05
2.529488063529097e-08,-1.860768731465981e-05
2.52949132972832e-08,-1.520938878179033e-05
2.529494901920959e-08,-1.874630689148625e-05
2.529498198852581e-08,-1.404139880275748e-05
2.529501745482861e-08,-1.868334315139573e-05
2.529505064140286e-08,-1.551582211818813e-05
2.529508589462954e-08,-1.878354525797085e-05
2.529511934021385e-08,-1.437251993468285e-05
2.529515444058037e-08,-1.877467303788257e-05
2.529518830699534e-08,-1.583838872740768e-05
2.529522308022418e-08,-1.880836658409156e-05
2.529525732173135e-08,-1.47072600968165e-05
2.529529180813371e-08,-1.88591519842935e-05
2.529532646105536e-08,-1.61557785717255e-05
2.529536074378134e-08,-1.884837416964214e-05
2.529539601992727e-08,-1.496023820345116e-05
2.529542978301192e-08,-1.915515413915387e-05
2.529546609877246e-08,-1.623455714964828e-05
2.529549968952293e-08,-1.916713864199929e-05
2.52955370478236e-08,-1.504810379079769e-05
2.529557045666817e-08,-1.964463978640369e-05
2.529560974186603e-08,-1.623330894669514e-05
2.529564285301678e-08,-1.946038541297487e-05
2.529568543590833e-08,-1.521963183073104e-05
2.529571843379465e-08,-2.014987797969901e-05
2.52957514616839e-08,-1.636156942002002e-05
2.529578353464614e-08,-1.961459703281499e-05
2.529581436014043e-08,-1.538337056989127e-05
2.529584493136628e-08,-2.020869456954658e-05
2.52958877583574e-08,-1.659883461296776e-05
2.529591891640897e-08,-1.987202340050012e-05
2.529596593735498e-08,-1.578839605270763e-05
2.52959992334823e-08,-2.069431231662224e-05
2.529603184914513e-08,-1.677948432799859e-05
2.529606436771003e-08,-1.999914087025578e-05
2.529609442785804e-08,-1.593346855379e-05
2.529612487270049e-08,-2.071661104177682e-05
2.529615468119699e-08,-1.718856195902574e-05
2.529618461273386e-08,-2.032815311229188e-05
2.529622581445627e-08,-1.628642184207568e-05
2.529625708243025e-08,-2.076190465830943e-05
2.52963008129938e-08,-1.745717543549825e-05
2.529633435785668e-08,-2.038404662461251e-05
2.529636850241568e-08,-1.660467242497278e-05
2.529640160050612e-08,-2.11355173624706e-05
2.529643345552555e-08,-1.77140124687957e-05
2.529646494549558e-08,-2.069043515173234e-05
2.529649674285486e-08,-1.677724402405388e-05
2.529652782142178e-08,-2.120709881149799e-05
2.529657011630023e-08,-1.795373112997683e-05
2.529660228752553e-08,-2.092685769647683e-05
2.529664924021036e-08,-1.719720335383951e-05
2.529668343871131e-08,-2.173095384808967e-05
2.52967171429916e-08,-1.813293026579886e-05
2.529675057946332e-08,-2.10548079238884e-05
2.529678222230342e-08,-1.741971114227679e-05
2.529681373765065e-08,-2.189271432906613e-05
2.529684440264443e-08,-1.843571152539195e-05
2.529687528121529e-08,-2.138491813162707e-05
2.529690657927946e-08,-1.763894300124789e-05
2.529693774978036e-08,-2.182982202352263e-05
2.529698088428982e-08,-1.877143548677802e-05
2.52970136769256e-08,-2.157032929249692e-05
2.529706175922665e-08,-1.807236991300543e-05
2.529709688014048e-08,-2.237728483794469e-05
2.529713200909567e-08,-1.890393484730118e-05
2.529716643488302e-08,-2.165800778081209e-05
2.529720005032477e-08,-1.83508295048319e-05
2.529723272588977e-08,-2.260489009042363e-05
2.529726580372401e-08,-1.914094033902249e-05
2.529729789700639e-08,-2.192260555166419e-05
2.529733036123487e-08,-1.85143618654429e-05
2.529736216301546e-08,-2.275138479462383e-05
2.529739406366561e-08,-1.942901305761295e-05
2.529742574711359e-08,-2.223458969591432e-05
2.529745732671858e-08,-1.865371848364871e-05
2.52974891465188e-08,-2.28078330367487e-05
2.529752198239152e-08,-1.977781096614949e-05
2.529755410073637e-08,-2.244098682491304e-05
2.529760018920768e-08,-1.902048494897472e-05
2.529763382737899e-08,-2.308264456210773e-05
2.529766946653209e-08,-1.990915554172098e-05
2.529770409879694e-08,-2.250376983838768e-05
2.52977376338954e-08,-1.925210588904676e-05
2.529777086051791e-08,-2.330016563894208e-05
2.52978037814449e-08,-2.011172709230659e-05
2.529783637156639e-08,-2.27366956583471e-05
2.529786900997218e-08,-1.941015825381324e-05
2.529790147787046e-08,-2.342687261969066e-05
2.529793398027126e-08,-2.033324518752505e-05
2.529796653241452e-08,-2.294568986125739e-05
2.529800002866014e-08,-1.963132617571256e-05
2.52980330101872e-08,-2.345196499594348e-05
2.529806787675038e-08,-2.058333368943338e-05
2.529810153350391e-08,-2.308362287016593e-05
2.529813704579713e-08,-1.981607204087624e-05
2.529817111812441e-08,-2.365222580035677e-05
2.529820651842736e-08,-2.072030154481143e-05
2.529824069359974e-08,-2.320514566915282e-05
2.529827572232175e-08,-2.000908475597536e-05
2.529830984386419e-08,-2.384425924547255e-05
2.529834440071735e-08,-2.084015463776622e-05
2.529837839592261e-08,-2.332084448410798e-05
2.529841251729996e-08,-2.016051410195302e-05
2.529844637969672e-08,-2.398307496319846e-05
2.52984806077639e-08,-2.095167752116425e-05
