leafValue(clip(abs(P_inst) 2e-08 ((256 * 5e-08) + 2e-08)) "delay" 1.25e-08) X,leafValue(clip(abs(P_inst) 2e-08 ((256 * 5e-08) + 2e-08)) "delay" 1.25e-08) Y
2.018309610059177e-08,3.923771472261088e-07
2.018414367305577e-08,3.988458397716672e-07
2.018515608376345e-08,3.924470315168746e-07
2.01861580422952e-08,3.98643722231838e-07
2.018718414355335e-08,3.925486963317612e-07
2.018828582749171e-08,3.984430253153474e-07
2.01895091567234e-08,3.926188139751025e-07
2.019071951892396e-08,3.9827714798096e-07
2.019194467836301e-08,3.926444821002782e-07
2.01931688138628e-08,3.981591453051287e-07
2.019438454970505e-08,3.926291841503121e-07
2.019561134928514e-08,3.98090374045571e-07
2.019686961890153e-08,3.925791304699313e-07
2.019820071845204e-08,3.980562332213842e-07
2.019967605475773e-08,3.924990316421161e-07
2.020142765124659e-08,3.980321508246987e-07
2.020360273327841e-08,3.924105663969272e-07
2.02061633370275e-08,3.979956724297508e-07
2.020925451457826e-08,3.923297775150726e-07
2.021297165042233e-08,3.97963866644284e-07
2.021741850703466e-08,3.923019644135389e-07
2.022239317033975e-08,3.980124283652735e-07
2.022793305440864e-08,3.92425125984176e-07
2.023399508171331e-08,3.982879933064334e-07
2.024051675865331e-08,3.928861495492216e-07
2.024749302646634e-08,3.990393026582171e-07
2.025484761685586e-08,3.940185173361981e-07
2.026259390507148e-08,4.007249924457446e-07
2.027062386587451e-08,3.964529960677419e-07
2.027899071711845e-08,4.042265609462375e-07
2.028754864336021e-08,4.01419269453565e-07
2.029638502330311e-08,4.112617200002455e-07
2.030532752682011e-08,4.112927718574166e-07
2.031452092994937e-08,4.251226722199867e-07
2.032373980146234e-08,4.305480576965707e-07
2.033326958547365e-08,4.519791325853572e-07
2.034279004253707e-08,4.675713277864846e-07
2.035276236043411e-08,5.033952279535089e-07
2.036272364754938e-08,5.380205191933594e-07
2.037348993664465e-08,6.018957868993058e-07
2.038424150506628e-08,6.730246632146729e-07
2.039663458694823e-08,7.958607682784594e-07
2.040885535601784e-08,9.409067844983895e-07
2.04251378977225e-08,1.208912505474078e-06
2.04400847403307e-08,1.5021186623889e-06
2.046163053778995e-08,1.966454134163275e-06
2.048044096524273e-08,2.270994639351418e-06
2.049845499769386e-08,2.523731531076525e-06
2.051502559157951e-08,2.832900868327615e-06
2.052200891514893e-08,3.357850615959583e-06
2.053063338667096e-08,4.794618338286554e-06
2.053870714609636e-08,7.247741332503191e-06
2.054719204578582e-08,1.060934825123905e-05
2.055486954421743e-08,1.398365514685056e-05
2.056131847305231e-08,1.721952820399601e-05
2.056796650812041e-08,2.816286207842883e-05
2.057016265491225e-08,3.572798315996009e-05
2.05720420715936e-08,4.365416740944401e-05
2.057392143870178e-08,5.201840195605383e-05
2.057606034338943e-08,6.07897419690338e-05
2.057865972615826e-08,6.933442612980363e-05
2.058057419612246e-08,7.256770719737625e-05
2.058195235936063e-08,7.407050453707489e-05
2.058323620692525e-08,7.540105490501205e-05
2.058467088895073e-08,7.763291972381484e-05
2.058612845896006e-08,7.942889188564146e-05
2.058763490890715e-08,8.073832738061516e-05
2.058944827109029e-08,8.079790378815691e-05
2.05920230555213e-08,7.989913063136682e-05
2.059599526517202e-08,7.731052657084727e-05
2.059964686797988e-08,7.538329097653038e-05
2.060388699647586e-08,7.257903659339843e-05
2.060976284265505e-08,6.953033745676152e-05
2.061941794698223e-08,6.472754798901927e-05
2.062906570720781e-08,6.108566412202789e-05
2.063976029886713e-08,5.690673722284267e-05
2.065167885022561e-08,5.279546189696742e-05
2.066762940348783e-08,4.615995683766003e-05
2.068059775184906e-08,4.033036684993292e-05
2.069532330407973e-08,3.261619265649218e-05
2.070837503496675e-08,2.639872942228098e-05
2.073447849674079e-08,1.561117706230411e-05
2.07647954424616e-08,8.568170025353329e-06
2.079362735234524e-08,4.837631538351847e-06
2.082436535299799e-08,3.396951556579101e-06
2.086149022997482e-08,2.399252263162022e-06
2.09007190969911e-08,2.489102300818123e-06
2.094073041702739e-08,2.23602313549892e-06
2.097190488840686e-08,2.462682217228997e-06
2.1e-08,2.201594151419252e-06
2.101594266858899e-08,2.096533243400394e-06
2.103591947563924e-08,2.063726295406575e-06
2.105485117190197e-08,2.049617177937802e-06
2.109271456442743e-08,2.000572291898681e-06
2.114883251082538e-08,1.950630647887039e-06
2.123803946703003e-08,1.863941066083405e-06
2.135365485949988e-08,1.778266326358212e-06
2.157417085262122e-08,1.61436478587892e-06
2.18863016452624e-08,1.424158700514914e-06
2.234260661868592e-08,1.17101504972798e-06
2.276306982329498e-08,1.009871120655489e-06
2.286174417647172e-08,9.713730838344624e-07
2.305909288282519e-08,9.154575990561928e-07
2.345379029553213e-08,8.029999150414693e-07
2.424318512094601e-08,6.496655375737344e-07
2.582197477177377e-08,4.629100772015265e-07
2.89795540734293e-08,3.501096897918896e-07
3.25e-08,3.309357318611094e-07
3.261386216730744e-08,1.054374746881995e-06
3.275999272303988e-08,1.065604469824638e-06
3.28330580009061e-08,1.769797206432863e-06
3.286959063983921e-08,3.328938332263148e-06
3.294265591770543e-08,1.451654468261179e-05
3.29688749018e-08,1.994390562244073e-05
3.299119391336727e-08,2.388343687458239e-05
3.301323149218456e-08,2.763210157060128e-05
3.303222785056403e-08,3.093869202590914e-05
3.303962929387023e-08,3.274591988198695e-05
3.304607444531284e-08,3.425027010147778e-05
3.305454472284022e-08,3.69884025304183e-05
3.306103126439041e-08,3.962608694862483e-05
3.306375234379454e-08,4.120268740766936e-05
3.306719505504904e-08,4.150131213429489e-05
3.307055270841081e-08,4.309291948493589e-05
3.307424030611574e-08,4.473570582179136e-05
3.307818091665196e-08,4.811386480706985e-05
3.30824810487175e-08,5.116137895448701e-05
3.308927965277719e-08,5.700011103415912e-05
3.309563353142946e-08,6.165292463158565e-05
3.310409649884167e-08,6.741659027770209e-05
3.310735390228698e-08,7.014490983431092e-05
3.310992754808809e-08,7.630700465086104e-05
3.311210886568097e-08,8.184769233993173e-05
3.311471245017278e-08,9.300220422282276e-05
3.311687796265859e-08,0.0001011091295646645
3.31192504083971e-08,0.0001148025818364812
3.312038414372386e-08,0.0001384697522598629
3.312187709402586e-08,0.0001520613630037259
3.312331906521244e-08,0.000178512832136528
3.31251319152276e-08,0.0001857416872380826
3.312736728625085e-08,0.0001981102270764075
3.312922802340498e-08,0.0001860409950095426
3.313152742199504e-08,0.0001839915220161402
3.313468674826671e-08,0.0001636074986521827
3.313796249561765e-08,0.0001639497529917185
3.313995303144947e-08,0.0001593891111093208
3.314197897774348e-08,0.0001741967236701658
3.314385534249019e-08,0.00017535648326421
3.314553035393853e-08,0.0001896928256995784
3.314722292641728e-08,0.0001870005883689799
3.314893690686113e-08,0.0001965120752664598
3.315096682918533e-08,0.000188730184786494
3.315311381846475e-08,0.0001935703032623916
3.315610419712265e-08,0.000180752791493073
3.315837565972651e-08,0.0001836665772062383
3.316174085652385e-08,0.000169668706302866
3.316474211818439e-08,0.0001716500853852497
3.316823533138442e-08,0.0001589222044416212
3.31732971277332e-08,0.0001644232573587356
3.31753572705597e-08,0.0001659135718723895
3.31779316042092e-08,0.0001974124326944393
3.317946221381795e-08,0.0002213854933302458
3.318098252444058e-08,0.0002684692294545206
3.318252059255081e-08,0.000323183855676158
3.318376843903711e-08,0.0003920655079832533
3.318498395575802e-08,0.0004643718081333892
3.318702070990647e-08,0.0006378398422254498
3.318860897731835e-08,0.0008016809409610653
3.319042689439741e-08,0.00104587296901166
3.319338086666008e-08,0.001537387963117896
3.319563516007605e-08,0.002017473850410957
3.320014374690799e-08,0.003190799346734689
3.320466589466002e-08,0.004558836646183801
3.320788174129562e-08,0.005533849818808103
3.321132406472185e-08,0.006544701534098099
3.321549059166217e-08,0.007643823932269241
3.322001830219808e-08,0.00868422767824645
3.322389161174968e-08,0.009410968548238216
3.322955948891056e-08,0.01024739437080768
3.323392823565909e-08,0.01068837046558357
3.323937386160421e-08,0.01103450005248484
3.324640528760393e-08,0.01111851384516539
3.325280073807235e-08,0.01094915071692533
3.32599298207227e-08,0.01060601454103861
3.326748432071521e-08,0.01020551895929351
3.32747613087564e-08,0.009801004429244876
3.328209483782401e-08,0.009426274780692251
3.329095218199531e-08,0.008988636263227658
3.330097233270438e-08,0.008544586093933954
3.331155759115531e-08,0.008101406397462964
