Point,Corner,d0,d1,d2,d3,d4,temperature,delay,P_avg
4,tt_0,0,0,0,1,1,-55,5.00E-09,6.28E-06
12,tt_1,0,1,0,1,1,0,5.00E-09,4.07E-06
3,ff_0,0,0,0,1,0,-55,5.00E-09,5.43E-06
11,ff_2,0,1,0,1,0,80,5.02E-09,6.68E-06
17,sf_1,1,0,0,0,0,0,5.08E-09,1.74E-06
2,ss_1,0,0,0,0,1,0,5.08E-09,1.17E-05
16,sf_0,0,1,1,1,1,-55,5.08E-09,2.65E-06
11,ff_1,0,1,0,1,0,0,5.08E-09,5.97E-06
5,sf_2,0,0,1,0,0,80,5.11E-09,3.53E-06
6,fs_0,0,0,1,0,1,-55,5.12E-09,8.42E-06
14,fs_1,0,1,1,0,1,0,5.13E-09,6.79E-06
19,ff_0,1,0,0,1,0,-55,5.13E-09,5.82E-06
20,fs_2,1,0,0,1,1,80,5.15E-09,4.69E-06
20,tt_0,1,0,0,1,1,-55,5.16E-09,5.75E-06
28,tt_1,1,1,0,1,1,0,5.17E-09,3.52E-06
16,tt_2,0,1,1,1,1,80,5.18E-09,2.10E-06
1,sf_0,0,0,0,0,0,-55,5.24E-09,2.20E-06
9,sf_1,0,1,0,0,0,0,5.25E-09,2.23E-06
11,ff_0,0,1,0,1,0,-55,5.27E-09,6.19E-06
22,fs_0,1,0,1,0,1,-55,5.29E-09,7.91E-06
21,sf_2,1,0,1,0,0,80,5.30E-09,4.02E-06
18,ss_1,1,0,0,0,1,0,5.30E-09,1.10E-05
30,fs_1,1,1,1,0,1,0,5.30E-09,6.30E-06
6,ss_2,0,0,1,0,1,80,5.31E-09,8.10E-06
12,fs_2,0,1,0,1,1,80,5.32E-09,4.18E-06
12,tt_0,0,1,0,1,1,-55,5.33E-09,5.26E-06
8,tt_1,0,0,1,1,1,0,5.34E-09,3.05E-06
1,tt_2,0,0,0,0,0,80,5.35E-09,1.59E-06
17,sf_0,1,0,0,0,0,-55,5.41E-09,2.59E-06
7,ff_1,0,0,1,1,0,0,5.44E-09,6.71E-06
14,fs_0,0,1,1,0,1,-55,5.46E-09,7.39E-06
4,fs_1,0,0,0,1,1,0,5.47E-09,5.75E-06
7,ff_2,0,0,1,1,0,80,5.49E-09,7.54E-06
13,sf_2,0,1,1,0,0,80,5.49E-09,4.54E-06
28,fs_2,1,1,0,1,1,80,5.49E-09,3.66E-06
28,tt_0,1,1,0,1,1,-55,5.50E-09,4.70E-06
2,ss_0,0,0,0,0,1,-55,5.50E-09,1.24E-05
10,ss_1,0,1,0,0,1,0,5.51E-09,1.04E-05
17,tt_2,1,0,0,0,0,80,5.52E-09,2.00E-06
22,ss_2,1,0,1,0,1,80,5.52E-09,7.39E-06
7,ff_0,0,0,1,1,0,-55,5.55E-09,6.93E-06
9,sf_0,0,1,0,0,0,-55,5.58E-09,3.06E-06
5,sf_1,0,0,1,0,0,0,5.58E-09,3.24E-06
20,fs_1,1,0,0,1,1,0,5.64E-09,5.19E-06
