Vds,cap_im_nmos (Vlow=1.1),cap_im_nmos (Vlow=0)
0.6660804020100504,4.474289936548374e-17,7.99952404498458e-17
0.6688442211055277,4.4694969441732404e-17,8.006499988583149e-17
0.6716080402010051,4.464734452656898e-17,8.013416907123719e-17
0.6743718592964825,4.460002461999346e-17,8.020274800606286e-17
0.6771356783919599,4.455300972200584e-17,8.027073669030854e-17
0.6798994974874373,4.450629983260614e-17,8.03381351239742e-17
0.6826633165829146,4.445989495179434e-17,8.040494330705987e-17
0.685427135678392,4.4413795079570444e-17,8.047116123956553e-17
0.6881909547738694,4.436800021593446e-17,8.053678892149117e-17
0.6909547738693468,4.4322510360886376e-17,8.06018263528368e-17
0.6937185929648242,4.427732551442621e-17,8.066627353360244e-17
0.6964824120603016,4.4232445676553937e-17,8.073013046378807e-17
0.699246231155779,4.418787084726958e-17,8.079339714339368e-17
0.7020100502512563,4.4143601026573126e-17,8.08560735724193e-17
0.7047738693467337,4.409963621446458e-17,8.09181597508649e-17
0.7075376884422111,4.4055976410943937e-17,8.09796556787305e-17
0.7103015075376885,4.4012621616011204e-17,8.104056135601608e-17
0.7130653266331659,4.3969571829666376e-17,8.110087678272167e-17
0.7158291457286432,4.392682705190946e-17,8.116060195884724e-17
0.7185929648241207,4.3884387282740443e-17,8.121973688439281e-17
0.721356783919598,4.384225252215934e-17,8.127828155935836e-17
0.7241206030150754,4.380042277016613e-17,8.133623598374392e-17
0.7268844221105528,4.375889802676084e-17,8.139360015754947e-17
0.7296482412060302,4.371767829194345e-17,8.1450374080775e-17
0.7324120603015076,4.3676763565713975e-17,8.150655775342053e-17
0.7351758793969849,4.3636153848072397e-17,8.156215117548606e-17
0.7379396984924624,4.359584913901873e-17,8.161715434697158e-17
0.7407035175879397,4.355584943855297e-17,8.167156726787708e-17
0.7434673366834171,4.351615474667512e-17,8.172538993820257e-17
0.7462311557788945,4.3476765063385174e-17,8.177862235794808e-17
0.7489949748743719,4.343768038868313e-17,8.183126452711357e-17
0.7517587939698493,4.339890072256899e-17,8.188331644569904e-17
0.7545226130653266,4.336042606504277e-17,8.193477811370451e-17
0.757286432160804,4.3322256416104445e-17,8.198564953112998e-17
0.7600502512562815,4.3284391775754034e-17,8.203593069797544e-17
0.7628140703517589,4.3246832143991527e-17,8.208562161424089e-17
0.7655778894472363,4.3209577520816923e-17,8.213472227992632e-17
0.7683417085427137,4.3172627906230224e-17,8.218323269503177e-17
0.7711055276381911,4.313598330023144e-17,8.22311528595572e-17
0.7738693467336684,4.309964370282056e-17,8.227848277350262e-17
0.7766331658291458,4.3063609113997586e-17,8.232522243686802e-17
0.7793969849246232,4.302787953376252e-17,8.237137184965344e-17
0.7821608040201006,4.299245496211536e-17,8.241693101185884e-17
0.784924623115578,4.2957335399056103e-17,8.246189992348423e-17
0.7876884422110553,4.2922520844584757e-17,8.250627858452961e-17
0.7904522613065328,4.288801129870132e-17,8.255006699499499e-17
0.7932160804020101,4.285380676140578e-17,8.259326515488037e-17
0.7959798994974875,4.281990723269816e-17,8.263587306418573e-17
0.7987437185929649,4.2786312712578434e-17,8.267789072291108e-17
0.8015075376884423,4.275302320104662e-17,8.271931813105642e-17
0.8042713567839197,4.272003869810271e-17,8.276015528862177e-17
0.807035175879397,4.268735920374671e-17,8.280040219560711e-17
0.8097989949748745,4.265498471797861e-17,8.284005885201243e-17
0.8125628140703518,4.2622915240798425e-17,8.287912525783774e-17
0.8153266331658292,4.259115077220615e-17,8.291760141308306e-17
0.8180904522613066,4.255969131220177e-17,8.295548731774836e-17
0.8208542713567839,4.252853686078531e-17,8.299278297183367e-17
0.8236180904522614,4.249768741795674e-17,8.302948837533895e-17
0.8263819095477387,4.246714298371609e-17,8.306560352826423e-17
0.8291457286432161,4.243690355806334e-17,8.310112843060951e-17
0.8319095477386935,4.24069691409985e-17,8.313606308237479e-17
0.8346733668341709,4.2377339732521564e-17,8.317040748356004e-17
0.8374371859296483,4.234801533263253e-17,8.320416163416529e-17
0.8402010050251256,4.2318995941331416e-17,8.323732553419053e-17
0.8429648241206031,4.22902815586182e-17,8.326989918363578e-17
0.8457286432160804,4.226187218449289e-17,8.330188258250102e-17
0.8484924623115578,4.223376781895549e-17,8.333327573078624e-17
0.8512562814070352,4.2205968462006e-17,8.336407862849145e-17
0.8540201005025126,4.217847411364441e-17,8.339429127561666e-17
0.85678391959799,4.2151284773870724e-17,8.342391367216187e-17
0.8595477386934673,4.2124400442684955e-17,8.345294581812707e-17
0.8623115577889449,4.209782112008708e-17,8.348138771351225e-17
0.8650753768844222,4.207154680607712e-17,8.350923935831743e-17
0.8678391959798996,4.204557750065507e-17,8.353650075254261e-17
0.870603015075377,4.201991320382092e-17,8.356317189618777e-17
0.8733668341708543,4.199455391557468e-17,8.358925278925294e-17
0.8761306532663318,4.196949963591634e-17,8.361474343173809e-17
0.8788944723618091,4.194475036484592e-17,8.363964382364323e-17
0.8816582914572865,4.192030610236339e-17,8.366395396496836e-17
0.8844221105527639,4.189616684846877e-17,8.36876738557135e-17
0.8871859296482413,4.1872332603162067e-17,8.371080349587863e-17
0.8899497487437187,4.1848803366443266e-17,8.373334288546374e-17
0.892713567839196,4.182557913831237e-17,8.375529202446884e-17
0.8954773869346735,4.180265991876938e-17,8.377665091289394e-17
0.8982412060301508,4.17800457078143e-17,8.379741955073904e-17
0.9010050251256282,4.1757736505447127e-17,8.381759793800413e-17
0.9037688442211056,4.173573231166786e-17,8.383718607468921e-17
0.906532663316583,4.1714033126476494e-17,8.385618396079428e-17
0.9092964824120604,4.169263894987304e-17,8.387459159631934e-17
0.9120603015075377,4.167154978185749e-17,8.389240898126439e-17
0.9148241206030152,4.165076562242985e-17,8.390963611562945e-17
0.9175879396984925,4.163028647159011e-17,8.392627299941449e-17
0.9203517587939699,4.1610112329338286e-17,8.394231963261953e-17
0.9231155778894473,4.1590243195674364e-17,8.395777601524455e-17
0.9258793969849247,4.157067907059835e-17,8.397264214728957e-17
0.9286432160804021,4.1551419954110243e-17,8.398691802875458e-17
0.9314070351758794,4.153246584621004e-17,8.400060365963959e-17
0.9341708542713569,4.151381674689774e-17,8.40136990399446e-17
0.9369346733668342,4.1495472656173355e-17,8.402620416966959e-17
0.9396984924623116,4.147743357403687e-17,8.403811904881457e-17
0.942462311557789,4.14596995004883e-17,8.404944367737954e-17
0.9452261306532663,4.144227043552763e-17,8.406017805536451e-17
0.9479899497487438,4.1425146379154866e-17,8.407032218276948e-17
0.9507537688442211,4.140832733137001e-17,8.407987605959443e-17
0.9535175879396985,4.139181329217306e-17,8.408883968583939e-17
0.956281407035176,4.137560426156402e-17,8.409721306150432e-17
0.9590452261306533,4.135970023954288e-17,8.410499618658925e-17
0.9618090452261308,4.1344101226109654e-17,8.411218906109418e-17
0.964572864321608,4.1328807221264335e-17,8.41187916850191e-17
0.9673366834170856,4.1313818225006913e-17,8.412480405836401e-17
0.9701005025125629,4.129913423733741e-17,8.413022618112891e-17
0.9728643216080403,4.12847552582558e-17,8.413505805331382e-17
0.9756281407035177,4.127068128776211e-17,8.41392996749187e-17
0.9783919597989951,4.125691232585632e-17,8.414295104594358e-17
0.9811557788944725,4.124344837253844e-17,8.414601216638845e-17
0.9839195979899498,4.123028942780846e-17,8.414848303625332e-17
0.9866834170854273,4.121743549166639e-17,8.415036365553819e-17
0.9894472361809046,4.1204886564112226e-17,8.415165402424305e-17
0.992211055276382,4.119264264514597e-17,8.41523541423679e-17
0.9949748743718594,4.118070373476762e-17,8.415246400991273e-17
0.9977386934673367,4.116906983297718e-17,8.415198362687756e-17
1.0005025125628142,4.1157740939774643e-17,8.415091299326238e-17
1.0032663316582915,4.1146717055160017e-17,8.414925210906719e-17
1.006030150753769,4.1135998179133294e-17,8.4147000974292e-17
1.0087939698492463,4.1125584311694475e-17,8.414415958893681e-17
1.0115577889447236,4.111547545284357e-17,8.41407279530016e-17
1.014321608040201,4.110567160258056e-17,8.41367060664864e-17
1.0170854271356784,4.109617276090547e-17,8.413209392939118e-17
1.019849246231156,4.108697892781828e-17,8.412689154171595e-17
1.0226130653266332,4.1078090103319e-17,8.412109890346071e-17
1.0253768844221107,4.106950628740762e-17,8.411471601462548e-17
1.028140703517588,4.1061227480084155e-17,8.410774287521023e-17
1.0309045226130653,4.105325368134859e-17,8.410017948521498e-17
1.0336683417085428,4.1045584891200935e-17,8.409202584463971e-17
1.0364321608040201,4.103822110964118e-17,8.408328195348444e-17
1.0391959798994976,4.1031162336669343e-17,8.407394781174916e-17
1.041959798994975,4.102440857228541e-17,8.406402341943387e-17
1.0447236180904524,4.101795981648938e-17,8.405350877653858e-17
1.0474874371859297,4.1011816069281254e-17,8.404240388306327e-17
1.050251256281407,4.100597733066103e-17,8.403070873900798e-17
1.0530150753768845,4.1000443600628726e-17,8.401842334437266e-17
1.0557788944723618,4.0995214879184325e-17,8.400554769915735e-17
1.0585427135678391,4.099029116632783e-17,8.399208180336202e-17
1.0613065326633166,4.0985672462059233e-17,8.397802565698668e-17
1.0640703517587942,4.0981358766378556e-17,8.396337926003133e-17
1.0668341708542715,4.0977350079285777e-17,8.394814261249598e-17
1.0695979899497488,4.097364640078091e-17,8.393231571438062e-17
1.0723618090452263,4.097024773086395e-17,8.391589856568525e-17
1.0751256281407036,4.0967154069534887e-17,8.389889116640989e-17
1.0778894472361809,4.0964365416793736e-17,8.388129351655451e-17
1.0806532663316584,4.0961881772640494e-17,8.386310561611912e-17
1.0834170854271359,4.095970313707516e-17,8.384432746510372e-17
1.0861809045226132,4.095782951009773e-17,8.382495906350833e-17
1.0889447236180905,4.09562608917082e-17,8.380500041133292e-17
1.091708542713568,4.095499728190659e-17,8.37844515085775e-17
1.0944723618090453,4.095403868069288e-17,8.376331235524208e-17
1.0972361809045226,4.0953385088067075e-17,8.374158295132664e-17
1.1,4.0953036504029174e-17,8.37192632968312e-17
