"sample(delay(?wf1 v(""/in_DTC"" ?result ""tran"") ?value1 (VAR(""Vdd"") / 2) ?edge1 ""rising"" ?wf2 v(""/out_DTC"" ?result ""tran"") ?value2 (VAR(""Vdd"") / 2) ?edge2 ""falling"" ?multiple t) (2e-08 + (41 * VAR(""T""))) ((2025 * VAR(""T"")) + 2e-08) ""linear"" VAR(""T"")) X","sample(delay(?wf1 v(""/in_DTC"" ?result ""tran"") ?value1 (VAR(""Vdd"") / 2) ?edge1 ""rising"" ?wf2 v(""/out_DTC"" ?result ""tran"") ?value2 (VAR(""Vdd"") / 2) ?edge2 ""falling"" ?multiple t) (2e-08 + (41 * VAR(""T""))) ((2025 * VAR(""T"")) + 2e-08) ""linear"" VAR(""T"")) Y"
6.58E-06,1.221975470359E-09
6.60E-06,1.222943660285E-09
6.62E-06,1.223823581205E-09
6.64E-06,1.224751224265E-09
6.66E-06,1.225663341975E-09
6.68E-06,1.226570416589E-09
6.70E-06,1.227480594197E-09
6.72E-06,1.228330541411E-09
6.74E-06,1.229491098259E-09
6.76E-06,1.230270376695E-09
6.78E-06,1.231292063477E-09
6.80E-06,1.232110124697E-09
6.82E-06,1.233174962926E-09
6.84E-06,1.234034137010E-09
6.86E-06,1.235033546314E-09
6.88E-06,1.235973560384E-09
6.90E-06,1.236872872476E-09
6.92E-06,1.237773867206E-09
6.94E-06,1.238748701944E-09
6.96E-06,1.239549420023E-09
6.98E-06,1.240599604736E-09
7.00E-06,1.241472615882E-09
7.02E-06,1.242691418972E-09
7.04E-06,1.234185467638E-09
7.06E-06,1.235030889577E-09
7.08E-06,1.235879424731E-09
7.10E-06,1.236919548126E-09
7.12E-06,1.237778938331E-09
7.14E-06,1.238719641149E-09
7.16E-06,1.239653424727E-09
7.18E-06,1.240593205415E-09
7.20E-06,1.241477898594E-09
7.22E-06,1.242450854786E-09
7.24E-06,1.243321724981E-09
7.26E-06,1.244335674827E-09
7.28E-06,1.245176017690E-09
7.30E-06,1.246159391183E-09
7.32E-06,1.247063311882E-09
7.34E-06,1.247883768802E-09
7.36E-06,1.249000758572E-09
7.38E-06,1.249858500903E-09
7.40E-06,1.250763912964E-09
7.42E-06,1.251735813539E-09
7.44E-06,1.252684390180E-09
7.46E-06,1.253548849092E-09
7.48E-06,1.254584116237E-09
7.50E-06,1.255486620352E-09
7.52E-06,1.256434405758E-09
7.54E-06,1.257318190157E-09
7.56E-06,1.258260178250E-09
7.58E-06,1.259154993986E-09
7.60E-06,1.260152654428E-09
7.62E-06,1.260950717443E-09
7.64E-06,1.262134686984E-09
7.66E-06,1.252778560781E-09
7.68E-06,1.253571629801E-09
7.70E-06,1.254463063618E-09
7.72E-06,1.255422461769E-09
7.74E-06,1.256371971334E-09
7.76E-06,1.257276247828E-09
7.78E-06,1.258193813362E-09
7.80E-06,1.259190337339E-09
7.82E-06,1.260093647773E-09
7.84E-06,1.261060393313E-09
7.86E-06,1.261932791174E-09
7.88E-06,1.262892109669E-09
7.90E-06,1.263775229920E-09
7.92E-06,1.264718093603E-09
7.94E-06,1.265616810699E-09
7.96E-06,1.266498508179E-09
7.98E-06,1.267564464261E-09
8.00E-06,1.268420247536E-09
8.02E-06,1.269457902639E-09
8.04E-06,1.270262430273E-09
8.06E-06,1.271302212355E-09
8.08E-06,1.272165564097E-09
8.10E-06,1.273145175212E-09
8.12E-06,1.274121157211E-09
8.14E-06,1.275004545944E-09
8.16E-06,1.275923829553E-09
8.18E-06,1.276880168480E-09
8.20E-06,1.277774968509E-09
8.22E-06,1.278669012607E-09
8.24E-06,1.279535552912E-09
8.26E-06,1.280876336062E-09
8.28E-06,1.272403891945E-09
8.30E-06,1.273280489841E-09
8.32E-06,1.274066273085E-09
8.34E-06,1.275086073759E-09
8.36E-06,1.275978853187E-09
8.38E-06,1.276882605908E-09
8.40E-06,1.277864709599E-09
8.42E-06,1.278759597373E-09
8.44E-06,1.279625968222E-09
8.46E-06,1.280622868875E-09
8.48E-06,1.281506903979E-09
8.50E-06,1.282530628745E-09
8.52E-06,1.283345078284E-09
8.54E-06,1.284357080183E-09
8.56E-06,1.285226103320E-09
8.58E-06,1.286133344721E-09
8.60E-06,1.287170046374E-09
8.62E-06,1.288060977118E-09
8.64E-06,1.288949805038E-09
8.66E-06,1.289851046613E-09
8.68E-06,1.290906644466E-09
8.70E-06,1.291733172843E-09
8.72E-06,1.292787380898E-09
8.74E-06,1.293723639377E-09
8.76E-06,1.294643917227E-09
8.78E-06,1.295549789690E-09
8.80E-06,1.296531733265E-09
8.82E-06,1.297340804306E-09
8.84E-06,1.298256731321E-09
8.86E-06,1.299171330050E-09
8.88E-06,1.300389681672E-09
8.90E-06,1.291215935278E-09
8.92E-06,1.292123113265E-09
8.94E-06,1.292949471817E-09
8.96E-06,1.293944367017E-09
8.98E-06,1.294916907865E-09
9.00E-06,1.295779574230E-09
9.02E-06,1.296699149603E-09
9.04E-06,1.297692942500E-09
9.06E-06,1.298631923422E-09
9.08E-06,1.299575460630E-09
9.10E-06,1.300442395812E-09
9.12E-06,1.301386653120E-09
9.14E-06,1.302330653527E-09
9.16E-06,1.303272457908E-09
9.18E-06,1.304211611542E-09
9.20E-06,1.305057986404E-09
9.22E-06,1.306098961918E-09
9.24E-06,1.306976181029E-09
9.26E-06,1.307920827314E-09
9.28E-06,1.308837528426E-09
9.30E-06,1.309806904135E-09
9.32E-06,1.310691621258E-09
9.34E-06,1.311726220289E-09
9.36E-06,1.312668721732E-09
9.38E-06,1.313577262216E-09
9.40E-06,1.314468916124E-09
9.42E-06,1.315419119614E-09
9.44E-06,1.316313653776E-09
9.46E-06,1.317267157402E-09
9.48E-06,1.318147783731E-09
9.50E-06,1.319351203904E-09
9.52E-06,1.310664507110E-09
9.54E-06,1.311486615439E-09
9.56E-06,1.312405885212E-09
9.58E-06,1.313356466894E-09
9.60E-06,1.314208112501E-09
9.62E-06,1.315192600816E-09
9.64E-06,1.316113397292E-09
9.66E-06,1.317108828108E-09
9.68E-06,1.317963371935E-09
9.70E-06,1.318988265722E-09
9.72E-06,1.319851094469E-09
9.74E-06,1.320784955197E-09
9.76E-06,1.321760372081E-09
9.78E-06,1.322693142312E-09
9.80E-06,1.323579317424E-09
9.82E-06,1.324465672761E-09
9.84E-06,1.325506759943E-09
9.86E-06,1.326409392286E-09
9.88E-06,1.327347771127E-09
9.90E-06,1.328218167378E-09
9.92E-06,1.329213464552E-09
9.94E-06,1.330084680534E-09
9.96E-06,1.331137055884E-09
9.98E-06,1.332082108067E-09
1.00E-05,1.332945898847E-09
1.00E-05,1.333898319488E-09
