delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.2) X,delay (Vbp=1.2) Y,delay (Vbp=1.3) X,delay (Vbp=1.3) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y
2.68e-06,2.7935744250369e-09,2.68e-06,2.873453229590687e-09,2.68e-06,2.948919303428657e-09,2.68e-06,3.088683973119953e-09
2.7e-06,2.815135795365236e-09,2.7e-06,2.895608288934809e-09,2.7e-06,2.971151774283889e-09,2.7e-06,3.11223050902024e-09
2.72e-06,2.836993370928784e-09,2.72e-06,2.917821143531613e-09,2.72e-06,2.993822207365148e-09,2.72e-06,3.136693790230979e-09
2.74e-06,2.858533513695557e-09,2.74e-06,2.939888265962444e-09,2.74e-06,3.017186345853261e-09,2.74e-06,3.160744710972405e-09
2.76e-06,2.880604757287354e-09,2.76e-06,2.962316974498829e-09,2.76e-06,3.039374184351962e-09,2.76e-06,3.184419933312946e-09
2.78e-06,2.902077729561839e-09,2.78e-06,2.984489500518307e-09,2.78e-06,3.061685241114892e-09,2.78e-06,3.207778014836096e-09
2.8e-06,2.92373070228786e-09,2.8e-06,3.00694140024692e-09,2.8e-06,3.085321762218888e-09,2.8e-06,3.231012524779859e-09
2.82e-06,2.945535606886427e-09,2.82e-06,3.029009288789367e-09,2.82e-06,3.107059607500852e-09,2.82e-06,3.254567223474807e-09
2.84e-06,2.967252482820218e-09,2.84e-06,3.051088217154856e-09,2.84e-06,3.129672002661649e-09,2.84e-06,3.27820487807247e-09
2.86e-06,2.988942291196132e-09,2.86e-06,3.073034156442856e-09,2.86e-06,3.152314068291172e-09,2.86e-06,3.301175617888427e-09
2.88e-06,3.010589151834311e-09,2.88e-06,3.095489950655281e-09,2.88e-06,3.175026393841245e-09,2.88e-06,3.325184943145201e-09
2.9e-06,3.032556528452952e-09,2.9e-06,3.117607278916999e-09,2.9e-06,3.197775869815808e-09,2.9e-06,3.348556232300038e-09
2.92e-06,3.054020237459237e-09,2.92e-06,3.139801487891711e-09,2.92e-06,3.221202977707222e-09,2.92e-06,3.371860158246768e-09
2.94e-06,3.075599800529574e-09,2.94e-06,3.162093174219463e-09,2.94e-06,3.242787465933731e-09,2.94e-06,3.395682501619745e-09
2.96e-06,3.097518197324528e-09,2.96e-06,3.184393491251629e-09,2.96e-06,3.26651098141565e-09,2.96e-06,3.419289158137919e-09
2.98e-06,3.11894642846047e-09,2.98e-06,3.206332813371603e-09,2.98e-06,3.289067034578794e-09,2.98e-06,3.442672354425819e-09
3e-06,3.140753061200105e-09,3e-06,3.228672049200436e-09,3e-06,3.311697696625027e-09,3e-06,3.466767218502774e-09
3.02e-06,3.162387421516272e-09,3.02e-06,3.250606531535667e-09,3.02e-06,3.334210681082063e-09,3.02e-06,3.488995509956063e-09
3.04e-06,3.184250607445851e-09,3.04e-06,3.272901376666773e-09,3.04e-06,3.356970152264458e-09,3.04e-06,3.513180714797182e-09
3.06e-06,3.205356069291522e-09,3.06e-06,3.294835897428224e-09,3.06e-06,3.379215257587322e-09,3.06e-06,3.537515617288083e-09
3.08e-06,3.227521880667952e-09,3.08e-06,3.317090509617644e-09,3.08e-06,3.402206915010288e-09,3.08e-06,3.560393217048849e-09
3.1e-06,3.249210264597775e-09,3.1e-06,3.339307290135785e-09,3.1e-06,3.424605085848882e-09,3.1e-06,3.583251564277104e-09
3.12e-06,3.270742000384214e-09,3.12e-06,3.361344413338261e-09,3.12e-06,3.447353704241326e-09,3.12e-06,3.607071142151933e-09
3.14e-06,3.292281407995466e-09,3.14e-06,3.383684809308191e-09,3.14e-06,3.469447269503848e-09,3.14e-06,3.630599926525264e-09
3.16e-06,3.314038358011383e-09,3.16e-06,3.405726555013572e-09,3.16e-06,3.492118528014431e-09,3.16e-06,3.654180401524465e-09
3.18e-06,3.335559107327964e-09,3.18e-06,3.427483058906393e-09,3.18e-06,3.514857098493546e-09,3.18e-06,3.677449917667394e-09
3.2e-06,3.357274736710821e-09,3.2e-06,3.449758602942758e-09,3.2e-06,3.537480735050886e-09,3.2e-06,3.700912523451094e-09
3.22e-06,3.378994575150245e-09,3.22e-06,3.471898637065809e-09,3.22e-06,3.560071480490272e-09,3.22e-06,3.724140913523907e-09
3.24e-06,3.400451663569937e-09,3.24e-06,3.494407317522138e-09,3.24e-06,3.582739529084039e-09,3.24e-06,3.747576941157126e-09
3.26e-06,3.422227331329892e-09,3.26e-06,3.51624687595319e-09,3.26e-06,3.605550051047732e-09,3.26e-06,3.770834935638344e-09
3.28e-06,3.443831237467607e-09,3.28e-06,3.538679033586002e-09,3.28e-06,3.628049024530955e-09,3.28e-06,3.794598230469487e-09
3.3e-06,3.46509026511603e-09,3.3e-06,3.560673473682076e-09,3.3e-06,3.6506578720864e-09,3.3e-06,3.817739463691334e-09
3.32e-06,3.487194827330693e-09,3.32e-06,3.582741971483939e-09,3.32e-06,3.673347249119077e-09,3.32e-06,3.840613410834051e-09
3.34e-06,3.50849810699161e-09,3.34e-06,3.604812108764072e-09,3.34e-06,3.695747267540898e-09,3.34e-06,3.864579201346204e-09
3.36e-06,3.53022562186283e-09,3.36e-06,3.626897106445196e-09,3.36e-06,3.718539076523648e-09,3.36e-06,3.887936290077616e-09
3.38e-06,3.551689916714424e-09,3.38e-06,3.649091235011945e-09,3.38e-06,3.741026953665391e-09,3.38e-06,3.911631479155607e-09
3.4e-06,3.573100186733052e-09,3.4e-06,3.671433652262132e-09,3.4e-06,3.763667466240722e-09,3.4e-06,3.934898335226939e-09
3.42e-06,3.594828153823738e-09,3.42e-06,3.693273274032543e-09,3.42e-06,3.786130799545193e-09,3.42e-06,3.958537538428234e-09
3.44e-06,3.61635630923533e-09,3.44e-06,3.715545948043718e-09,3.44e-06,3.808580686984566e-09,3.44e-06,3.981455504614677e-09
3.46e-06,3.638190176734047e-09,3.46e-06,3.737382145094003e-09,3.46e-06,3.831072266832433e-09,3.46e-06,4.005411400362651e-09
3.48e-06,3.659461362210373e-09,3.48e-06,3.75957376488558e-09,3.48e-06,3.853840648490781e-09,3.48e-06,4.028494933355887e-09
3.5e-06,3.680946769607971e-09,3.5e-06,3.781507596853657e-09,3.5e-06,3.876267416736557e-09,3.5e-06,4.051420603639548e-09
3.52e-06,3.703006331866603e-09,3.52e-06,3.80358100753932e-09,3.52e-06,3.898812716033436e-09,3.52e-06,4.076457592536057e-09
3.54e-06,3.72460721997216e-09,3.54e-06,3.825616429358903e-09,3.54e-06,3.921191352141838e-09,3.54e-06,4.099466688585349e-09
3.56e-06,3.744932876431196e-09,3.56e-06,3.846424998809698e-09,3.56e-06,3.942575374189446e-09,3.56e-06,4.120918615025206e-09
