P_DTC_t (MC0=60) X,P_DTC_t (MC0=60) Y
1.035317557399518e-06,2.904988458885308e-05
1.035319074125265e-06,2.909394900001526e-05
1.035320047053318e-06,2.913717974161691e-05
1.03532097251234e-06,2.921468430161361e-05
1.035321981719944e-06,2.947510446546469e-05
1.035322946313291e-06,3.049405236014783e-05
1.035323611238726e-06,3.26513165623271e-05
1.035324363596487e-06,3.849331357169629e-05
1.035325101877697e-06,4.99203972261557e-05
1.03532631115225e-06,8.292671062308289e-05
1.03532743254763e-06,0.0001265087868337543
1.035328583593257e-06,0.0001778203915578986
1.035329833376163e-06,0.0002325604189973672
1.035331647919928e-06,0.0002931860775389992
1.03533331896519e-06,0.0003328074150425018
1.035334767502359e-06,0.0003875266513513801
1.035336294066479e-06,0.0004582214138535345
1.035337729166485e-06,0.0005057658091591709
1.035339031536826e-06,0.0005149245921400703
1.035340243025484e-06,0.0004862440425560168
1.035341261970255e-06,0.0004281958101263356
1.0353422034236e-06,0.0003657543421365602
1.03534288211228e-06,0.0003227103828913745
1.035343716835976e-06,0.0002776961140215916
1.035344623770506e-06,0.0002402368973431186
1.03534551755874e-06,0.0002115002945705442
1.035346463026121e-06,0.000185381645905493
1.035347435385222e-06,0.0001608426906913031
1.035348450729182e-06,0.0001373404586908655
1.035349538403695e-06,0.0001143758563277331
1.0353507314043e-06,9.18937854282238e-05
1.035352074292251e-06,7.13952100839544e-05
1.035353477830055e-06,5.668097459736889e-05
1.035354932677185e-06,4.663001775433975e-05
1.035356441215409e-06,3.936287087546105e-05
1.035357994744517e-06,3.452156566286786e-05
1.035359617852088e-06,3.164940280692477e-05
1.03536132989318e-06,3.014222116006352e-05
1.035363182959406e-06,2.94333782928059e-05
1.035365247977475e-06,2.914168001589204e-05
1.035367577280947e-06,2.905231150000334e-05
1.035370176280705e-06,2.963033556144293e-05
1.035373014842624e-06,4.986695452562481e-05
1.035375591829127e-06,0.0001314500191874388
1.035378475739316e-06,0.0002991471990679766
1.035381705197048e-06,0.000522824283037689
1.0353840881643e-06,0.000677281690453008
1.035387207580172e-06,0.0008325615800565682
1.035389981381668e-06,0.000913518462660632
1.035392926883078e-06,0.0009476637170042028
1.035396310051464e-06,0.0009391845808513746
1.035399813940474e-06,0.0008985533269153242
1.035403605628683e-06,0.0008376274904034931
1.035407910360154e-06,0.0007614837647568974
1.035412390339836e-06,0.0006817405869610602
1.035417694848538e-06,0.0005908973718180554
1.035423285298161e-06,0.0005007863250189029
1.035429744379723e-06,0.0004049691464483024
1.035436867417264e-06,0.000310560704615725
1.03544489159288e-06,0.0002206485508650927
1.035453999216401e-06,0.0001428854412734244
1.035464451814758e-06,8.580734029579354e-05
1.035475488836972e-06,5.426759337184816e-05
1.035488740253724e-06,3.836769090280536e-05
1.035502885973959e-06,3.251085822391155e-05
1.035519064194546e-06,3.03386378706219e-05
1.03553814159585e-06,2.949386588165607e-05
1.035557345136964e-06,2.919613778469378e-05
1.035583106662779e-06,2.905437489484426e-05
1.035609423350569e-06,2.901371266739819e-05
1.035641324296102e-06,2.900030641866128e-05
1.035678345276794e-06,2.8997674535117e-05
1.035719750089727e-06,2.899730226361616e-05
1.03576921065235e-06,2.899750344328503e-05
1.035825091813307e-06,2.899776363203842e-05
1.035890468907951e-06,2.899807437070916e-05
1.035965849470169e-06,2.899842287303623e-05
1.036053130218685e-06,2.899881378513891e-05
1.036154293057928e-06,2.899925219858429e-05
1.036271425336126e-06,2.899973895211661e-05
1.036407186448998e-06,2.900027826408974e-05
1.036564550150168e-06,2.900086970767835e-05
1.036746972695873e-06,2.900151458323582e-05
1.036958505835172e-06,2.900220924098389e-05
1.037203817340749e-06,2.900295069264201e-05
1.037488340076654e-06,2.90037299859689e-05
1.037818381629403e-06,2.900453815790184e-05
1.038201257005775e-06,2.900535973560402e-05
1.038645462482384e-06,2.900617928657527e-05
1.039160858531106e-06,2.900697567888164e-05
1.039580429265553e-06,2.900752087493587e-05
1.04e-06,2.900798699564179e-05
1.040036348130246e-06,2.899726614624095e-05
1.040097113668335e-06,2.900808240875047e-05
1.040170797737632e-06,2.900815398854948e-05
1.04020035282097e-06,2.900817920499433e-05
1.04021545218402e-06,2.900819426068081e-05
1.040228200414559e-06,2.900819547373485e-05
1.040243302523357e-06,2.900817835132857e-05
1.040256402107485e-06,2.90082024668992e-05
1.040263403254531e-06,2.900876837276745e-05
1.040269969526655e-06,2.901532977318557e-05
1.040277452127892e-06,2.906549953800883e-05
1.040284133417542e-06,3.130762642699657e-05
1.040288131170886e-06,5.463937824792403e-05
1.040290882991371e-06,0.0001176932601310663
1.040293501593446e-06,0.0002282610162171946
1.040296180528249e-06,0.0003699303859255811
1.040298939522388e-06,0.0005052500363041925
1.040302475058742e-06,0.0006745090222548711
1.040305482183678e-06,0.0008430545300265829
1.040307802644832e-06,0.000912506613089747
1.040309929277056e-06,0.0008942213711291557
1.040311466806131e-06,0.0008474747061132001
1.040313335963112e-06,0.0007677997652366265
1.040314835237217e-06,0.0006863437598995199
1.040315877628073e-06,0.0006320415346631797
1.040316935509879e-06,0.0005832066594898068
1.040318171714744e-06,0.0005363685570278032
1.040319356905102e-06,0.0005013867548651601
1.040320644475678e-06,0.0004727546201706432
1.040321972018137e-06,0.0004503996733951548
1.040323364086101e-06,0.0004301646791889627
1.040324836277039e-06,0.0004092245664340457
1.040326374971978e-06,0.0003868365921275037
1.040328017221863e-06,0.0003614845513436571
1.040329745414032e-06,0.0003322629329126127
1.040331592068625e-06,0.0002976721482111536
1.040333562180964e-06,0.0002583572352721126
1.04033569475342e-06,0.0002178275207015359
1.0403378786066e-06,0.0001838874903009719
1.040340431655783e-06,0.0001551971472526551
1.040342966250892e-06,0.0001351411756260122
1.040345776433291e-06,0.0001186295719987734
1.04034876061931e-06,0.0001059020309293704
1.04035194183595e-06,9.729368383419586e-05
1.040355367917828e-06,9.226883185897399e-05
1.040359051578022e-06,8.976870480489934e-05
1.040362939141201e-06,8.8704550145174e-05
1.040367148468548e-06,8.824893973844553e-05
1.040371581263802e-06,8.803164398980565e-05
1.040376330843351e-06,8.788278584417756e-05
1.040381372798224e-06,8.776626496173643e-05
1.040386745053037e-06,8.76629211192373e-05
1.04039246927989e-06,8.757561674165173e-05
1.04039857447836e-06,8.749370197863582e-05
1.040405093215109e-06,8.741952179533259e-05
