"P_inst (d0=0,d1=0,d2=0,d3=0) X","P_inst (d0=0,d1=0,d2=0,d3=0) Y","P_inst (d0=0,d1=0,d2=0,d3=1) X","P_inst (d0=0,d1=0,d2=0,d3=1) Y","P_inst (d0=0,d1=0,d2=1,d3=0) X","P_inst (d0=0,d1=0,d2=1,d3=0) Y","P_inst (d0=0,d1=0,d2=1,d3=1) X","P_inst (d0=0,d1=0,d2=1,d3=1) Y","P_inst (d0=0,d1=1,d2=0,d3=0) X","P_inst (d0=0,d1=1,d2=0,d3=0) Y","P_inst (d0=0,d1=1,d2=0,d3=1) X","P_inst (d0=0,d1=1,d2=0,d3=1) Y","P_inst (d0=0,d1=1,d2=1,d3=0) X","P_inst (d0=0,d1=1,d2=1,d3=0) Y","P_inst (d0=0,d1=1,d2=1,d3=1) X","P_inst (d0=0,d1=1,d2=1,d3=1) Y","P_inst (d0=1,d1=0,d2=0,d3=0) X","P_inst (d0=1,d1=0,d2=0,d3=0) Y","P_inst (d0=1,d1=0,d2=0,d3=1) X","P_inst (d0=1,d1=0,d2=0,d3=1) Y","P_inst (d0=1,d1=0,d2=1,d3=0) X","P_inst (d0=1,d1=0,d2=1,d3=0) Y","P_inst (d0=1,d1=0,d2=1,d3=1) X","P_inst (d0=1,d1=0,d2=1,d3=1) Y","P_inst (d0=1,d1=1,d2=0,d3=0) X","P_inst (d0=1,d1=1,d2=0,d3=0) Y","P_inst (d0=1,d1=1,d2=0,d3=1) X","P_inst (d0=1,d1=1,d2=0,d3=1) Y","P_inst (d0=1,d1=1,d2=1,d3=0) X","P_inst (d0=1,d1=1,d2=1,d3=0) Y","P_inst (d0=1,d1=1,d2=1,d3=1) X","P_inst (d0=1,d1=1,d2=1,d3=1) Y"
8.00125e-08,8.242483385901166e-06,8.012117872063979e-08,-1.140161190034127e-07,8.006739968030203e-08,-4.552026100352198e-05,8.011161481292473e-08,1.50446009775464e-08,8.007882998100309e-08,-5.369445040051976e-06,8.010825177583803e-08,-1.069451956431101e-07,8.008357569816165e-08,4.128053420594937e-06,8.313260887623066e-08,-3.421270667069741e-05,8.007427784707796e-08,-4.001688069236745e-05,8.010811440366147e-08,-1.170766062766196e-07,8.006012214028166e-08,-3.157170584365863e-05,8.23886096598071e-08,-6.901955679279045e-06,8.005000000000001e-08,-1.402739879428313e-05,8.18659999575078e-08,-4.719602874304535e-06,8.016227713357802e-08,-1.924035222913809e-07,  ,  
8.002900273174269e-08,7.719538307397244e-06,8.013575703220214e-08,-3.868412536558992e-08,8.007102319894183e-08,-5.051083381491936e-05,8.011792172644518e-08,-6.489470992188757e-08,8.008181171774716e-08,1.304514319667455e-08,8.011447198552602e-08,1.673613999682101e-08,8.008588970355913e-08,5.542642460705918e-06,8.314844676219717e-08,-2.897096629798865e-05,8.007682991412079e-08,-2.220218413679224e-05,8.011420146335898e-08,6.909434010914624e-09,8.006248725929124e-08,-3.581414293221677e-05,8.262187079184172e-08,-1.186018880714422e-05,8.005128015575314e-08,-1.656432593236372e-05,8.212718359500277e-08,-8.296780110836745e-06,8.021113598408796e-08,-1.486138825283735e-07,  ,  
8.003613409249805e-08,3.510321190616252e-06,8.016280637871886e-08,-1.182170156336555e-07,8.007385048908345e-08,-3.871923424543106e-05,8.013028881066624e-08,3.976029752560681e-09,8.008416810503201e-08,2.357148801444186e-06,8.012208919783132e-08,-7.315778624522524e-08,8.008879528347904e-08,4.631019994194506e-06,8.316404985355211e-08,-2.530678281274049e-05,8.007896728284072e-08,-6.920892630420217e-06,8.012173805475141e-08,-8.589398944612815e-08,8.006505682096502e-08,-4.069870050603538e-05,8.268694335986245e-08,-1.667572687284177e-05,8.00538404672594e-08,-2.160947142317903e-05,8.237551875206576e-08,-2.277644683225871e-05,8.030885368510785e-08,-3.09126617798484e-07,  ,  
8.004306704624903e-08,-7.174473820547721e-06,8.02113390505108e-08,-6.192042363794584e-08,8.007651232482545e-08,-1.854917740389678e-05,8.015418810713045e-08,-6.174819445769245e-08,8.008664715868844e-08,8.970324045600738e-07,8.013710135604238e-08,-3.44762531273209e-09,8.009400578413218e-08,5.652587409565672e-06,8.317780314520782e-08,-2.312767528064378e-05,8.008210532937514e-08,-2.586063533431507e-06,8.013659980440233e-08,-1.337197844311551e-08,8.006734057673673e-08,-4.4897732302371e-05,8.271947964387281e-08,-2.091511961871663e-05,8.005693670006938e-08,-2.718213633245281e-05,8.244110966595259e-08,-3.651077434229883e-05,8.049889216329047e-08,-5.386158069678114e-07,  ,  
8.004653352312452e-08,-1.443945647794921e-05,8.030784393243706e-08,-1.702434885983161e-07,8.007859428410448e-08,-4.645291283946603e-06,8.019839090466656e-08,2.033602032581382e-09,8.008981170654997e-08,2.720222740305148e-06,8.016438985624996e-08,-6.829370209556258e-08,8.01e-08,4.763443057891594e-06,8.319258783924865e-08,-2.086371658544564e-05,8.00844349767555e-08,2.597815037057517e-07,8.016384754361922e-08,-8.395144540291043e-08,8.007088778029746e-08,-4.99914950340759e-05,8.278455221189355e-08,-3.434482658414654e-05,8.006019303147072e-08,-3.328021979585169e-05,8.246881471040682e-08,-4.053755026851475e-05,8.085373305013661e-08,-2.086759090198365e-06,  ,  
8.005000000000001e-08,-2.291462785821493e-05,8.049381204362651e-08,-2.43454239591893e-07,8.008136725862758e-08,2.779964143595441e-06,8.02867964997388e-08,-6.2515550663009e-08,8.009490585327497e-08,9.795231513994566e-07,8.02125338021142e-08,-1.030989756835066e-08,8.010181989298273e-08,-1.10004034731254e-06,8.322215722733033e-08,-1.853524197146414e-05,8.008697759095129e-08,-1.948662141534698e-06,8.021226599864291e-08,-2.523134954653495e-08,8.007372267403506e-08,-3.927872614154059e-05,8.281121793610989e-08,-3.918037340908595e-05,8.006257248864709e-08,-3.751786078463137e-05,8.250409139948117e-08,-4.265549960055735e-05,8.114362576020464e-08,-4.617788541470079e-06,  ,  
8.005129720540541e-08,-2.545704822214813e-05,8.085818723174876e-08,-1.161424447888482e-06,8.008379845695009e-08,4.093207307450762e-06,8.046360768988326e-08,-3.543903543008516e-09,8.01e-08,2.831638516800186e-06,8.030673668823073e-08,-7.659071427790423e-08,8.010483337312822e-08,-8.9295439035332e-08,8.326113328367681e-08,-1.672006460836912e-05,8.009025312289612e-08,5.793129022627437e-07,8.030762048553901e-08,-1.057917262013274e-07,8.007642577401012e-08,-1.842257109227956e-05,8.284168594453577e-08,-4.198359925121891e-05,8.006514620085061e-08,-4.237723401611292e-05,8.253300749110933e-08,-4.27658678502626e-05,8.141309144983294e-08,-8.277161171247086e-06,  ,  
8.005389161621622e-08,-3.053066181639477e-05,8.120009344676346e-08,-3.341387735657326e-06,8.008618138449352e-08,4.136321142793341e-06,8.081723007017218e-08,-1.00199717749513e-07,8.010247863016763e-08,-4.277986000464107e-06,8.048425631145416e-08,-4.470509112838748e-08,8.01076668783543e-08,-3.218010760889621e-07,8.331286322453812e-08,-1.610677777134652e-05,8.009512656144806e-08,-1.864114181729337e-06,8.048868293987005e-08,-1.052769564961101e-07,8.007849371867154e-08,-4.980664720691289e-06,8.286543172229563e-08,-4.275133248996012e-05,8.006745878676653e-08,-4.658725227472256e-05,8.255784681680552e-08,-4.197716343508896e-05,8.165663010894934e-08,-2.135757878200881e-05,  ,  
8.005699028330235e-08,-3.60350863376552e-05,8.14910319091589e-08,-6.77855521207503e-06,8.008918975104829e-08,4.538583227627667e-06,8.128603167704401e-08,-3.457934273328329e-07,8.01054783799967e-08,-3.500211239135427e-06,8.082325832443914e-08,-2.768911386253482e-07,8.011333388880647e-08,-2.014831943660251e-07,8.338258948379207e-08,-1.471238776678845e-05,8.01e-08,6.969333039871643e-07,8.083685079987243e-08,-5.608604030119773e-07,8.008119334255046e-08,3.398829061220646e-06,8.289397895597793e-08,-4.265955205464072e-05,8.007116379484055e-08,-5.143331787933794e-05,8.258239146669725e-08,-3.969087977090104e-05,8.172576810560814e-08,-3.555702868626558e-05,  ,  
8.006029723932164e-08,-4.209771065602825e-05,8.174193482898604e-08,-1.222447259547326e-05,8.009503827471523e-08,4.239873641631726e-06,8.160421640791714e-08,-1.300480309823769e-06,8.010830274562213e-08,-3.689854394827682e-06,8.116547179685097e-08,-9.111653841747442e-07,8.01205965056406e-08,-3.08503844092963e-07,8.349197559564445e-08,-9.62506397292037e-06,8.010243774242911e-08,-6.783736244252142e-06,8.126291974152516e-08,-2.365704152601081e-06,8.008367134858658e-08,4.222250335557245e-06,8.291669612116699e-08,-4.161530683386721e-05,8.007398519488122e-08,-3.85013270529928e-05,8.259737209085583e-08,-3.563299471637611e-05,8.175401125252312e-08,-4.013389809254022e-05,  ,  
8.006269870249466e-08,-4.620488990666692e-05,8.18061546816396e-08,-1.739105662731674e-05,8.01e-08,4.661105147653446e-06,8.186863619037459e-08,-2.957947881584699e-06,8.011395147687298e-08,-3.660716268408154e-06,8.157417834487232e-08,-3.558235221061544e-06,8.013495206364912e-08,-2.391468131325682e-07,8.357748360188247e-08,-3.658120701058178e-06,8.01053752036612e-08,-6.011880925708368e-06,8.158315494892143e-08,-5.637668134272993e-06,8.00860170074238e-08,4.975203964560301e-06,8.294440632502049e-08,-3.815057989235931e-05,8.007660806274148e-08,-1.906808844804e-05,8.26142528221607e-08,-2.955655834466662e-05,8.179159971027572e-08,-4.259593467846027e-05,  ,  
8.006527918916746e-08,-5.08335630352774e-05,8.183826460796638e-08,-2.187974816490866e-05,8.010241887840341e-08,-1.726556425477568e-06,8.215764065081961e-08,-6.195189891093636e-06,8.012183817861512e-08,-3.807038701659411e-06,8.186468909249529e-08,-6.945512720685318e-06,8.016202431338716e-08,-3.5054219830516e-07,8.367317867294777e-08,-8.83284240168393e-07,8.010814803591169e-08,-6.202266927938104e-06,8.185355573303295e-08,-9.847825620972775e-06,8.008896841388503e-08,4.70054765942122e-06,8.295957983527538e-08,-3.224794818130381e-05,8.007870606448939e-08,-4.695596954238005e-06,8.262900943234903e-08,-2.601653819243462e-05,8.181919161549278e-08,-4.28370352017874e-05,  ,  
8.006763606830755e-08,-5.489161302165959e-05,8.190248446061994e-08,-3.545719797151631e-05,8.010541388931635e-08,-9.138398801074624e-07,8.239578289500868e-08,-1.008558584201661e-05,8.013761158209942e-08,-3.910379566104315e-06,8.212175117422829e-08,-1.381078565158493e-05,8.021127429221146e-08,-3.398314202828419e-07,8.375988116811906e-08,-1.562297129793907e-08,8.011369370041269e-08,-6.192516332427237e-06,8.191490422375413e-08,-1.206028019460761e-05,8.009445236269093e-08,5.082317011631228e-06,8.297484333274534e-08,-2.804768211905538e-05,8.008157049640665e-08,1.725922236538076e-06,8.264468949737266e-08,-2.332000815658713e-05,8.184549973544547e-08,-4.204399758533463e-05,  ,  
