P_inst (k_TG=3) X,P_inst (k_TG=3) Y
3.52806751041038e-08,-3.01411556887705e-05
3.528319761727873e-08,-2.915776555842292e-05
3.528551581634438e-08,-2.543383756238415e-05
3.528755813228772e-08,-2.197787338232155e-05
3.529004183128681e-08,-1.371417238880937e-05
3.529253056444779e-08,-1.250827905333023e-05
3.529474249204552e-08,-1.102722860405184e-05
3.529640111318524e-08,-8.17190565814876e-06
3.529775722989695e-08,-8.197424741354545e-06
3.5299089572993e-08,-5.344229554015107e-06
3.530153877198566e-08,-4.265125212711297e-06
3.530376120639633e-08,-1.978776630113954e-06
3.53061634648416e-08,-4.030094813667783e-06
3.530873417467483e-08,-5.376415395093716e-06
3.531160020418886e-08,-1.292278129179248e-05
3.531381160241365e-08,-1.619249349545584e-05
3.531568452099027e-08,-2.248588098905905e-05
3.531704636316383e-08,-3.795781025997207e-05
3.531849718389536e-08,-5.789894566692445e-05
3.531965919638339e-08,-6.636718494358513e-05
3.532127971887958e-08,-5.777268149993927e-05
3.532254099548313e-08,-4.519848615193917e-05
3.532404654784077e-08,-2.595644714716204e-05
3.532568380534305e-08,-1.308026221569324e-05
3.532714913104285e-08,-3.840905474402342e-06
3.532875228584948e-08,-6.940886630541939e-06
3.53308815430828e-08,-1.887201240988256e-05
3.533296006449144e-08,-3.621043426589739e-05
3.533495626439793e-08,-3.682116674529278e-05
3.533709378338086e-08,-2.453496177596498e-05
3.533971985522925e-08,4.003584603008839e-06
3.534090904069045e-08,5.924780260476204e-06
3.534219955796635e-08,1.423078600639842e-05
3.534372892696637e-08,2.259193919371135e-05
3.534455681941753e-08,3.416216721439909e-05
3.534543490369698e-08,3.914276013250332e-05
3.534661433665359e-08,5.54258647857078e-05
3.53476492829921e-08,6.132314045068963e-05
3.53488507567958e-08,7.487371400227999e-05
3.534997988597026e-08,7.707404500960988e-05
3.535118377990339e-08,8.53954728411992e-05
3.535225122875043e-08,8.292592262906852e-05
3.535348802683004e-08,8.740932895900514e-05
3.535463859292677e-08,8.205476744272451e-05
3.535601989579639e-08,8.388374513117471e-05
3.535751007412128e-08,7.592545194800859e-05
3.535913490659622e-08,7.569350344948492e-05
3.53610581046001e-08,6.557526071219442e-05
3.53629865486937e-08,6.43367532245863e-05
3.536491658687936e-08,5.466073015785681e-05
3.536683477756512e-08,5.435556347965185e-05
3.536874363863943e-08,4.555161452496103e-05
3.53704866987097e-08,4.636484509617127e-05
3.53722524739099e-08,3.82688434306144e-05
3.537389210306401e-08,3.963259038446864e-05
3.537550670381153e-08,3.196957061765439e-05
3.537710715199562e-08,3.362244788052895e-05
3.537872231703374e-08,2.604107777727356e-05
3.538045525295875e-08,2.766666176774281e-05
3.538240139989869e-08,1.966715124956144e-05
3.538484947469676e-08,2.041872846321941e-05
3.53876982669312e-08,1.135430465804864e-05
3.539113838999139e-08,1.120882505861186e-05
3.539531470223697e-08,1.039816707027303e-06
3.54003210175917e-08,-7.397659557474342e-08
3.540611811939682e-08,-1.076420441682592e-05
3.541207427225512e-08,-1.104500162290198e-05
3.541909365720647e-08,-2.056916773343042e-05
3.542599468069517e-08,-1.949357306723377e-05
3.5433579641847e-08,-2.74310314319272e-05
3.544123587125472e-08,-2.512893914869316e-05
3.544941432567841e-08,-3.188740498105892e-05
3.545747914670312e-08,-2.855036109686007e-05
3.546604045953316e-08,-3.437774035053674e-05
3.54744694153199e-08,-3.026462909824153e-05
3.548317400185432e-08,-3.540315144160759e-05
3.549181922158285e-08,-3.073891208099133e-05
3.55e-08,-3.543513110819834e-05
