P_inst (Vbp=1.1) X,P_inst (Vbp=1.1) Y,P_inst (Vbp=1.2) X,P_inst (Vbp=1.2) Y,P_inst (Vbp=1.3) X,P_inst (Vbp=1.3) Y,P_inst (Vbp=1.5) X,P_inst (Vbp=1.5) Y
1.010051619906859e-06,2.841859150983077e-06,1.010128457499229e-06,2.859787610397397e-06,1.010139127810171e-06,2.879814750366208e-06,1.010303609289185e-06,3.867307158438013e-05
1.010120568238929e-06,2.85208158176143e-06,1.010165189014505e-06,3.061980176513512e-06,1.01017891158169e-06,3.350310252982331e-06,1.010305733221427e-06,4.976290645574009e-05
1.010155042404964e-06,2.955376396315343e-06,1.010199338485325e-06,4.352806427611356e-06,1.01019880346745e-06,4.314927225952721e-06,1.010307338129841e-06,5.975972303495784e-05
1.010223990737035e-06,7.045989503239098e-06,1.010215570418242e-06,5.93380156538076e-06,1.010224363963369e-06,7.144737355563754e-06,1.010309223709513e-06,7.097105169041106e-05
1.010242406164474e-06,1.02805051164441e-05,1.01023363923129e-06,8.704732055237611e-06,1.010242407795444e-06,1.032293219010874e-05,1.010311109289185e-06,8.175249370300614e-05
1.010257945400613e-06,1.299793664748331e-05,1.010255901009737e-06,1.270849039588487e-05,1.010263426243733e-06,1.380029532458715e-05,1.010311443686408e-06,8.354757328652359e-05
1.010274448700076e-06,1.474635956561599e-05,1.010272084181122e-06,1.463047768041838e-05,1.010279688164924e-06,1.497063217452641e-05,1.010312112100526e-06,8.723744464321442e-05
1.010293974599567e-06,1.814615013261421e-05,1.010290657791467e-06,1.609951311266252e-05,1.010301373023016e-06,3.029487305065724e-05,1.010312706584651e-06,9.061016864984528e-05
1.010301140064987e-06,3.050972134666345e-05,1.010301184186322e-06,3.052313129279739e-05,1.010303873023016e-06,3.845470980122192e-05,1.010313895552903e-06,9.754993729556153e-05
1.010303640064987e-06,3.867289061149129e-05,1.010303684186322e-06,3.869955192911662e-05,1.010306481587202e-06,5.255002511872294e-05,1.010316273489406e-06,0.0001117700660991619
1.010305547638762e-06,4.843307487288647e-05,1.01030589407279e-06,5.032400712600175e-05,1.010309121758462e-06,6.863222037671907e-05,1.010321029362412e-06,0.0001383802147251575
1.010306948985749e-06,5.715563318448228e-05,1.010307626947801e-06,6.110535791642341e-05,1.010311373023016e-06,8.153801994529835e-05,1.010328998001401e-06,0.0001637933243153436
1.010309044525368e-06,6.974415401776125e-05,1.010309405567062e-06,7.163891610917011e-05,1.010311709615047e-06,8.334156323788519e-05,1.010337783955562e-06,0.0001740359760898854
1.010311140064987e-06,8.174031770397409e-05,1.010311184186322e-06,8.181553501641006e-05,1.01031238279911e-06,8.705126662292593e-05,1.010341420312406e-06,0.0002288989472304767
1.010311438268133e-06,8.333834579431783e-05,1.010311472039563e-06,8.336207794341375e-05,1.010313003964135e-06,9.0569521092618e-05,1.010344509137477e-06,0.0003084930424400481
1.010312034674424e-06,8.661583730207819e-05,1.010312047746043e-06,8.653112778002545e-05,1.010314246294183e-06,9.780759352031259e-05,1.0103480354758e-06,0.0003878767201432742
1.010312595178865e-06,8.97759051872061e-05,1.010312570860577e-06,8.948208794228123e-05,1.01031673095428e-06,0.0001125880271789764,1.010351230638035e-06,0.0004206723074128306
1.010313716187746e-06,9.62762043244567e-05,1.010313617089645e-06,9.554598280925621e-05,1.010321700274474e-06,0.0001397040704609116,1.010354452272244e-06,0.0004202070790466274
1.010315958205509e-06,0.0001096265365551429,1.010315709547781e-06,0.0001080189413737879,1.010329325076553e-06,0.0001620548420892131,1.010357810121318e-06,0.0004146318104634991
1.010320442241034e-06,0.0001349688289399706,1.010319894464053e-06,0.0001320857516091487,1.010337778478987e-06,0.0001739777693314664,1.010361185247729e-06,0.0004090751812232323
1.010327632706217e-06,0.0001607012712698971,1.010327200684487e-06,0.0001602143504727925,1.010341213490403e-06,0.0002256133033711248,1.010364179391375e-06,0.0004091549640706156
1.010335529963322e-06,0.0001635004587194958,1.010335167288102e-06,0.0001632292742464656,1.010344137736001e-06,0.000298773179099739,1.010366859157586e-06,0.0004213081727603008
1.010339535088067e-06,0.0001937929173707398,1.010339486283213e-06,0.0001928328501406526,1.010347471647084e-06,0.0003743900268398018,1.010370206391576e-06,0.0004415452651031214
1.010342504916185e-06,0.0002542903428275209,1.010342560994655e-06,0.0002555984147008071,1.010350465672812e-06,0.0004093196419405243,1.010373382365452e-06,0.0004565182238760131
1.01034621801311e-06,0.0003446981349822291,1.010346448137488e-06,0.0003510587374078893,1.010353318618804e-06,0.0004127969628476681,1.010376281517555e-06,0.000465414821271007
1.010349005223657e-06,0.0003897253868570385,1.010349309936867e-06,0.0003961103099586531,1.01035655016712e-06,0.0004054062956006883,1.010379821320271e-06,0.0004706733080583464
1.0103526724569e-06,0.0004048530583123068,1.0103531663442e-06,0.0004091030944639542,1.010359759391649e-06,0.0003994839212809318,1.010385803948623e-06,0.0004699689006805891
1.010355966019732e-06,0.0003956841007083018,1.010356505772483e-06,0.0004004646100946197,1.010362834405568e-06,0.0003948838021868098,1.010392997690337e-06,0.0004594287149034192
1.010359111022938e-06,0.0003887417921833515,1.010359736555117e-06,0.0003938499975087371,1.010365390714655e-06,0.0004005932790725912,1.010401241406256e-06,0.0004422082309022994
1.010362095348117e-06,0.000382002873137447,1.010362722778e-06,0.0003884354899649045,1.010368164922427e-06,0.0004157673696576754,1.010411219386681e-06,0.0004193342038515723
1.010364577700784e-06,0.0003833600409035132,1.010365210045027e-06,0.0003927731838257091,1.010370414902342e-06,0.0004280960895916662,1.010424413460575e-06,0.0003897871008214619
